Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/sigpro,4742.0,50775.0,A1,84.0,,1,journals/tit,A1,4777.0,,1,conf/isit,B1,0.500710227273
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/isit,B1,2115.0,,2,conf/itw,,0.389679715302
3,conf/nips,5684.0,404822.0,A1,66.0,,3,conf/icassp,A1,823.0,,3,journals/tit,A1,0.349528060291
4,conf/isit,4224.0,15815.0,B1,49.0,,4,journals/tcom,A1,784.0,,4,conf/allerton,,0.303341902314
5,conf/icassp,28525.0,238265.0,A1,47.0,,5,journals/tsp,A1,691.0,,5,conf/ita,,0.287037037037
6,conf/globecom,14010.0,105540.0,A1,45.0,,6,conf/globecom,A1,582.0,,6,conf/seta,,0.278048780488
7,conf/icc,14807.0,125393.0,A2,44.0,,7,conf/icc,A2,563.0,,7,conf/ciss,,0.139599170698
8,conf/cdc,8622.0,25900.0,B1,43.0,,8,journals/twc,A1,441.0,,8,conf/aaecc,B2,0.138543516874
9,conf/vtc,10987.0,36827.0,A1,42.0,,9,journals/jsac,A1,372.0,,9,conf/dcc,A2,0.12
10,conf/icip,17283.0,156642.0,A1,35.0,,10,conf/icip,A1,288.0,,10,journals/tcom,A1,0.0985048372911
11,conf/allerton,778.0,633.0,,33.0,,11,conf/allerton,,236.0,,11,conf/wiopt,B1,0.0975918884664
12,journals/dam,5729.0,70961.0,A2,31.0,,12,conf/dcc,A2,231.0,,12,conf/globalsip,,0.0909090909091
13,journals/dm,11762.0,98470.0,A2,29.0,,13,conf/itw,,219.0,,13,journals/dcc,B1,0.0806193272824
14,conf/itw,562.0,321.0,,28.0,,14,conf/ciss,,202.0,,14,journals/jstsp,A1,0.0791268758527
15,conf/iscas,16967.0,68042.0,A1,27.0,,15,conf/wcnc,A2,195.0,,15,journals/twc,A1,0.0769902234637
