Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/bioinformatics,A1,1902.0,,1,conf/ismb,A1,0.300395256917
2,conf/www,4501.0,120253.0,A1,83.0,,2,journals/nar,B1,849.0,,2,conf/wsdm,B1,0.27392120075
3,journals/ploscb,3878.0,85175.0,,80.0,,3,conf/www,A1,814.0,,3,conf/gcb,,0.257274119449
4,journals/bmcbi,7074.0,136587.0,A1,73.0,,4,journals/bmcbi,A1,786.0,,4,conf/psb,A1,0.207575757576
5,conf/nips,5684.0,404822.0,A1,66.0,,5,conf/cikm,A1,362.0,,5,journals/bioinformatics,A1,0.188934141254
6,conf/sigmod,3706.0,337960.0,A1,61.0,,6,conf/kdd,A1,294.0,,6,conf/www,A1,0.180848700289
7,conf/wsdm,533.0,8651.0,B1,54.0,,7,journals/ploscb,,276.0,,7,conf/recomb,A2,0.171052631579
8,conf/icde,4327.0,135333.0,A1,52.0,,8,conf/sigir,A1,251.0,,8,journals/jbcb,B1,0.166666666667
9,journals/jcisd,6138.0,73816.0,B1,51.0,,9,conf/semweb,,246.0,,9,conf/wabi,B1,0.164926931106
10,conf/sigir,3545.0,205477.0,A1,49.0,,10,conf/icde,A1,231.0,,10,journals/nar,B1,0.147575178168
11,conf/icwsm,797.0,7564.0,B1,48.0,,11,conf/ismb,A1,228.0,,11,conf/icwe,,0.129032258065
12,journals/bib,798.0,38929.0,,46.0,,12,conf/sigmod,A1,197.0,,12,journals/jcb,A1,0.127561136814
13,conf/ijcai,6188.0,295635.0,A1,46.0,,13,journals/jcb,A1,193.0,,13,journals/bmcbi,A1,0.111111111111
14,conf/soda,2924.0,204116.0,A1,43.0,,14,conf/icdm,A1,181.0,,14,conf/kdd,A1,0.102474729871
15,conf/esws,1308.0,12532.0,,38.0,,15,conf/vldb,A1,178.0,,15,conf/icwsm,B1,0.101631116688
16,journals/tcs,10811.0,391021.0,A1,38.0,,16,conf/recomb,A2,169.0,,16,conf/semweb,,0.0950908388094
17,conf/aaai,7555.0,234650.0,A1,37.0,,17,conf/gcb,,168.0,,17,journals/bib,,0.093984962406
18,conf/edbt,1462.0,28921.0,A2,36.0,,18,journals/tkde,A1,152.0,,18,journals/tcbb,A2,0.0916334661355
19,conf/sdm,1058.0,20754.0,A2,35.0,,19,conf/wsdm,B1,146.0,,19,conf/esws,,0.0863914373089
20,conf/vldb,2641.0,235473.0,A1,34.0,,20,conf/psb,A1,137.0,,20,journals/bmcsb,,0.0849056603774
21,conf/coling,3555.0,68639.0,A1,31.0,,21,conf/icwe,,136.0,,21,conf/cikm,A1,0.0835448880683
22,conf/psb,660.0,18545.0,A1,23.0,,22,conf/aaai,A1,135.0,,22,conf/sdm,A2,0.0727788279773
23,conf/icmcs,7286.0,55698.0,B3,23.0,,23,journals/bmcsb,,126.0,,23,journals/ploscb,,0.0711707065498
24,conf/webi,1781.0,10504.0,,22.0,,24,journals/jbcb,B1,122.0,,24,conf/ht,,0.0711030082042
25,journals/sigmod,1568.0,46055.0,A1,21.0,,25,conf/esws,,113.0,,25,conf/sigir,A1,0.0708039492243
26,conf/ht,1097.0,31272.0,,20.0,,26,journals/tcbb,A2,92.0,,26,conf/vldb,A1,0.0673987126089
27,journals/jbcb,732.0,9734.0,B1,19.0,,27,journals/expert,A1,90.0,,27,journals/pvldb,A1,0.0567184334909
28,conf/icwe,1054.0,5025.0,,19.0,,28,conf/soda,A1,87.0,,28,conf/icdm,A1,0.0554194733619
29,conf/bibm,1611.0,1614.0,B4,15.0,,29,conf/ijcai,A1,85.0,,29,journals/debu,,0.0547730829421
30,journals/bioinformatics,10067.0,582213.0,A1,,,30,conf/nips,A1,85.0,,30,conf/icde,A1,0.0533857175872
31,conf/cikm,4333.0,72291.0,A1,,,31,journals/pvldb,A1,84.0,,31,conf/sigmod,A1,0.0531570426336
32,conf/kdd,2869.0,148223.0,A1,,,32,conf/mm,A1,84.0,,32,journals/tkde,A1,0.0520013684571
33,conf/semweb,2587.0,52477.0,,,,33,conf/pkdd,A2,82.0,,33,conf/edbt,A2,0.0512995896033
34,conf/ismb,759.0,40807.0,A1,,,34,conf/icwsm,B1,81.0,,34,conf/bibm,B4,0.0496585971446
35,journals/jcb,1513.0,48286.0,A1,,,35,journals/tcs,A1,81.0,,35,journals/sigmod,A1,0.0484693877551
36,conf/icdm,3266.0,43188.0,A1,,,36,conf/stoc,A1,80.0,,36,conf/pkdd,A2,0.0477855477855
37,conf/recomb,988.0,43832.0,A2,,,37,conf/bibm,B4,80.0,,37,journals/expert,A1,0.0474934036939
38,conf/gcb,653.0,4424.0,,,,38,conf/pakdd,,79.0,,38,conf/pakdd,,0.040932642487
39,journals/tkde,2923.0,124112.0,A1,,,39,journals/jcisd,B1,79.0,,39,conf/webi,,0.0387422796182
40,journals/bmcsb,1484.0,15670.0,,,,40,conf/wabi,B1,79.0,,40,conf/soda,A1,0.0297537619699
41,journals/tcbb,1004.0,11473.0,A2,,,41,conf/icmcs,B3,79.0,,41,conf/stoc,A1,0.026525198939
42,journals/expert,1895.0,162391.0,A1,,,42,conf/ht,,78.0,,42,conf/coling,A1,0.0208157524613
43,journals/pvldb,1481.0,18238.0,A1,,,43,conf/sdm,A2,77.0,,43,conf/mm,A1,0.0202117420597
44,conf/mm,4156.0,84789.0,A1,,,44,journals/sigmod,A1,76.0,,44,conf/aaai,A1,0.017868960953
45,conf/pkdd,1716.0,25605.0,A2,,,45,conf/edbt,A2,75.0,,45,conf/acl,A1,0.016501650165
46,conf/stoc,3016.0,563585.0,A1,,,46,journals/bib,,75.0,,46,conf/nips,A1,0.0149542575651
47,conf/pakdd,1930.0,14336.0,,,,47,conf/coling,A1,74.0,,47,conf/ijcai,A1,0.0137362637363
48,conf/wabi,479.0,6217.0,B1,,,48,conf/acl,A1,70.0,,48,journals/jcisd,B1,0.0128706419029
49,conf/acl,4242.0,195392.0,A1,,,49,journals/debu,,70.0,,49,conf/icmcs,B3,0.0108427120505
50,journals/debu,1278.0,19702.0,,,,50,conf/webi,,69.0,,50,journals/tcs,A1,0.00749236888354
