Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/soda,A1,1623.0,,1,journals/talg,B1,0.570806100218
2,conf/balt,232.0,827.0,,132.0,,2,conf/stoc,A1,937.0,,2,conf/soda,A1,0.555061559508
3,journals/cma,4572.0,33510.0,,118.0,,3,journals/siamcomp,A1,908.0,,3,conf/wads,B1,0.460547504026
4,journals/cce,2581.0,35527.0,,118.0,,4,conf/focs,A1,887.0,,4,conf/compgeom,A2,0.452380952381
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/algorithmica,,823.0,,5,conf/esa,A2,0.423805913571
6,journals/cee,1272.0,4934.0,,118.0,,6,conf/compgeom,A2,741.0,,6,conf/swat,B1,0.408582089552
7,journals/pr,6744.0,201239.0,A1,118.0,,7,journals/tcs,A1,656.0,,7,conf/approx,B1,0.39586645469
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/icalp,A1,571.0,,8,journals/comgeo,,0.394784172662
9,conf/mmar,518.0,135.0,,113.0,,9,conf/esa,A2,559.0,,9,journals/algorithmica,,0.37648673376
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/ipl,A2,509.0,,10,conf/waoa,B4,0.348754448399
11,journals/information,150.0,275.0,,93.0,,11,journals/comgeo,,439.0,,11,conf/alenex,B1,0.326388888889
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/isaac,B1,433.0,,12,journals/ijcga,B1,0.311522048364
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/dcg,B1,378.0,,13,conf/stoc,A1,0.310676392573
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/cccg,B2,325.0,,14,conf/focs,A1,0.297850906649
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,journals/jcss,A2,317.0,,15,journals/siamcomp,A1,0.290653008963
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/jacm,A1,298.0,,16,conf/isaac,B1,0.271984924623
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/wads,B1,286.0,,17,conf/cccg,B2,0.264227642276
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/eccc,,283.0,,18,conf/iwpec,,0.25641025641
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/dam,A2,274.0,,19,journals/toc,,0.254437869822
20,journals/or,324.0,1008.0,,81.0,,20,journals/siamdm,B1,263.0,,20,conf/ipco,B1,0.251689189189
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/talg,B1,262.0,,21,journals/jgaa,,0.246418338109
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/approx,B1,249.0,,22,journals/jea,B3,0.245210727969
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/spaa,A2,246.0,,23,conf/cpm,B1,0.233473980309
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/stacs,A2,226.0,,24,conf/spaa,A2,0.21789193977
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/rsa,,225.0,,25,journals/rsa,,0.206232813932
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/ijcga,B1,219.0,,26,conf/latin,B1,0.202635914333
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/swat,B1,219.0,,27,conf/innovations,,0.200757575758
28,conf/dasip,258.0,161.0,,70.0,,28,journals/iandc,A2,188.0,,28,conf/spire,B1,0.195840554593
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/cocoon,B1,176.0,,29,journals/dcg,B1,0.18985434455
30,journals/bise,313.0,1427.0,,70.0,,30,journals/jct,,172.0,,30,conf/icalp,A1,0.183071497275
31,conf/icml,3294.0,290468.0,A1,69.0,,31,conf/cpm,B1,166.0,,31,journals/jda,B3,0.168634064081
32,conf/data,130.0,26.0,,69.0,,32,conf/gd,B2,164.0,,32,conf/ciac,,0.166666666667
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/dm,A2,159.0,,33,conf/gd,B2,0.160626836435
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/podc,A1,154.0,,34,conf/wine,,0.159246575342
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/dagstuhl,,152.0,,35,conf/sigecom,,0.15710723192
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/ipco,B1,149.0,,36,conf/wg,B1,0.154006243496
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/wg,B1,148.0,,37,conf/cocoon,B1,0.148272957035
38,journals/comsur,583.0,19860.0,A1,61.0,,38,conf/infocom,A1,147.0,,38,conf/wea,,0.140552995392
39,journals/simulation,1374.0,14076.0,B3,61.0,,39,conf/fsttcs,B1,143.0,,39,journals/siamdm,B1,0.134733606557
40,conf/or,809.0,2232.0,B4,61.0,,40,journals/mst,B2,137.0,,40,conf/stacs,A2,0.131319000581
41,conf/icra,16038.0,236265.0,A1,61.0,,41,journals/combinatorica,,131.0,,41,conf/aaim,B3,0.127717391304
42,conf/sigmod,3706.0,337960.0,A1,61.0,,42,conf/sigecom,,126.0,,42,conf/fsttcs,B1,0.123382226057
43,journals/ior,1480.0,54189.0,A1,61.0,,43,conf/mfcs,B1,126.0,,43,journals/cpc,,0.120038722168
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,journals/cpc,,124.0,,44,journals/jcss,A2,0.119894099849
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,conf/latin,B1,123.0,,45,journals/eccc,,0.110159595173
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/tit,A1,119.0,,46,journals/jacm,A1,0.109599117323
47,conf/se,978.0,773.0,,57.0,,47,conf/pods,A1,119.0,,47,conf/sirocco,B2,0.108910891089
48,journals/computing,2617.0,31198.0,B1,57.0,,48,conf/spire,B1,113.0,,48,conf/pods,A1,0.107497741644
49,journals/soco,1974.0,28145.0,B1,57.0,,49,journals/orl,B1,108.0,,49,journals/combinatorica,,0.0984222389181
50,conf/networking,1306.0,9360.0,B1,56.0,,50,journals/mp,A1,107.0,,50,journals/dc,B1,0.0964912280702
51,journals/itp,375.0,12276.0,,56.0,,51,conf/www,A1,105.0,,51,conf/podc,A1,0.094247246022
52,conf/wsdm,533.0,8651.0,B1,54.0,,52,conf/colt,A2,103.0,,52,conf/wabi,B1,0.0939457202505
53,conf/nsdi,481.0,17531.0,A1,54.0,,53,journals/jda,B3,100.0,,53,conf/colt,A2,0.0938069216758
54,conf/isca,1821.0,135083.0,A1,53.0,,54,conf/waoa,B4,98.0,,54,journals/jco,B1,0.0870870870871
55,conf/emnlp,1380.0,19971.0,A1,53.0,,55,conf/alenex,B1,94.0,,55,journals/mst,B2,0.0806831566549
56,conf/icde,4327.0,135333.0,A1,52.0,,56,conf/wine,,93.0,,56,conf/recomb,A2,0.0779352226721
57,journals/behaviourIT,1033.0,21287.0,,52.0,,57,journals/networks,B1,92.0,,57,conf/coco,,0.0755508919203
58,journals/nn,3310.0,136228.0,A1,52.0,,58,journals/jcb,A1,90.0,,58,journals/ipl,A2,0.0732268738311
59,journals/networks,1952.0,113935.0,B1,52.0,,59,journals/combinatorics,B2,88.0,,59,journals/mor,A2,0.0694626474443
60,journals/cl,552.0,5040.0,,51.0,,60,journals/jco,B1,87.0,,60,conf/wdag,,0.0685527747552
61,journals/jcisd,6138.0,73816.0,B1,51.0,,61,journals/jgt,B1,87.0,,61,journals/sigact,,0.067463706234
62,journals/toc,169.0,1011.0,,51.0,,62,journals/jgaa,,86.0,,62,journals/tcs,A1,0.0606789381186
63,conf/ifip8-3,245.0,254.0,,50.0,,63,journals/sigact,,79.0,,63,conf/fct,B2,0.0595238095238
64,journals/dss,2302.0,56927.0,A1,50.0,,64,conf/dcc,A2,79.0,,64,journals/jcb,A1,0.0594844679445
65,conf/ias,468.0,1722.0,B1,49.0,,65,conf/recomb,A2,77.0,,65,journals/orl,B1,0.0555269922879
66,conf/sigir,3545.0,205477.0,A1,49.0,,66,journals/tc,A1,75.0,,66,conf/mfcs,B1,0.0541702493551
67,journals/ir,432.0,42026.0,B1,49.0,,67,conf/coco,,72.0,,67,journals/iandc,A2,0.0504969110932
68,conf/iasam,951.0,3324.0,,49.0,,68,journals/endm,B3,71.0,,68,journals/dam,A2,0.0478268458719
69,journals/intr,662.0,27143.0,B1,49.0,,69,conf/ipps,A1,71.0,,69,journals/networks,B1,0.047131147541
70,conf/cn,214.0,241.0,,49.0,,70,journals/jea,B3,64.0,,70,conf/dcc,A2,0.041038961039
71,conf/isit,4224.0,15815.0,B1,49.0,,71,journals/gc,B2,63.0,,71,journals/gc,B2,0.0376569037657
72,journals/msom,382.0,7891.0,,49.0,,72,conf/wdag,,63.0,,72,conf/dagstuhl,,0.0346478231137
73,journals/fgcs,2265.0,38059.0,A2,48.0,,73,conf/wea,,61.0,,73,journals/ijfcs,B2,0.0342066957787
74,conf/naacl,1498.0,59153.0,A1,48.0,,74,conf/iwpec,,60.0,,74,journals/jgt,B1,0.0337601862631
75,conf/eurocrypt,1310.0,147911.0,A1,48.0,,75,conf/icde,A1,57.0,,75,journals/combinatorics,B2,0.0326046683957
76,journals/ec,474.0,66933.0,A1,48.0,,76,journals/bioinformatics,A1,55.0,,76,conf/gis,B1,0.0314960629921
77,conf/icwsm,797.0,7564.0,B1,48.0,,77,conf/fct,B2,55.0,,77,journals/mp,A1,0.0310504933256
78,conf/icassp,28525.0,238265.0,A1,47.0,,78,conf/sirocco,B2,55.0,,78,journals/endm,B3,0.028365960847
79,journals/jcc,4376.0,140430.0,A1,47.0,,79,conf/sigmod,A1,55.0,,79,journals/acta,B1,0.0282087447109
80,journals/mia,1047.0,45369.0,A1,47.0,,80,journals/dc,B1,55.0,,80,journals/jct,,0.0273885350318
81,journals/biosystems,997.0,8011.0,,46.0,,81,journals/mor,A2,53.0,,81,conf/www,A1,0.0233281493002
82,conf/indin,449.0,117.0,,46.0,,82,conf/innovations,,53.0,,82,conf/infocom,A1,0.02117240386
83,conf/soco,139.0,1132.0,,46.0,,83,conf/birthday,,48.0,,83,journals/ton,A1,0.0194260485651
84,journals/interactions,2020.0,25053.0,B2,46.0,,84,conf/gis,B1,48.0,,84,journals/tog,A1,0.0181358076761
85,conf/ijcai,6188.0,295635.0,A1,46.0,,85,conf/kdd,A1,48.0,,85,conf/vldb,A1,0.0174176448315
86,journals/ai,2580.0,376792.0,A1,46.0,,86,journals/cacm,A1,48.0,,86,conf/kdd,A1,0.0167305681422
87,journals/bib,798.0,38929.0,,46.0,,87,journals/ijfcs,B2,47.0,,87,conf/birthday,,0.0164214847759
88,conf/pldi,1303.0,110902.0,A1,46.0,,88,conf/aaim,B3,47.0,,88,journals/jpdc,A2,0.0150834403081
89,journals/fss,3354.0,58453.0,A1,45.0,,89,journals/jpdc,A2,47.0,,89,conf/sigmod,A1,0.0148407987048
90,journals/ijon,7349.0,79598.0,A1,45.0,,90,conf/vldb,A1,46.0,,90,journals/dm,A2,0.0135181091651
91,conf/iros,13604.0,126537.0,A1,45.0,,91,conf/wabi,B1,45.0,,91,conf/icde,A1,0.0131730991449
92,conf/popl,1511.0,171888.0,A1,45.0,,92,journals/ton,A1,44.0,,92,journals/cgf,A2,0.0130847235852
93,conf/dna,356.0,9770.0,B4,45.0,,93,journals/toc,,43.0,,93,journals/tc,A1,0.0113688040018
94,journals/mktsci,521.0,15994.0,,45.0,,94,journals/tog,A1,43.0,,94,conf/ipps,A1,0.00962320412036
95,journals/jet,1697.0,99914.0,,45.0,,95,conf/nips,A1,42.0,,95,journals/tit,A1,0.00870710470476
96,conf/globecom,14010.0,105540.0,A1,45.0,,96,conf/ciac,,40.0,,96,conf/nips,A1,0.00738916256158
97,conf/pdes,273.0,49.0,,45.0,,97,journals/cgf,A2,40.0,,97,journals/bioinformatics,A1,0.00546339525181
98,conf/cns,163.0,39.0,,45.0,,98,journals/acta,B1,40.0,,98,journals/cacm,A1,0.00456317140413
99,journals/kbs,2347.0,29383.0,,44.0,,99,journals/corr,,,,99,journals/nar,B1,
100,journals/isr,757.0,75607.0,,44.0,,100,conf/ssp,,,,100,conf/balt,,
101,conf/icc,14807.0,125393.0,A2,44.0,,101,conf/isit,B1,,,101,journals/cma,,
102,journals/algorithms,263.0,616.0,,44.0,,102,journals/tcom,A1,,,102,journals/cce,,
103,journals/prl,5475.0,100320.0,A1,44.0,,103,journals/twc,A1,,,103,conf/cvpr,A1,
104,journals/mcm,3045.0,22454.0,A2,43.0,,104,journals/jstsp,A1,,,104,journals/cee,,
105,journals/geb,1630.0,74115.0,,43.0,,105,conf/acssc,,,,105,journals/pr,A1,
106,conf/soda,2924.0,204116.0,A1,43.0,,106,journals/tmc,,,,106,journals/neuroimage,,
107,conf/cdc,8622.0,25900.0,B1,43.0,,107,journals/wc,,,,107,conf/mmar,,
108,journals/games,118.0,422.0,,43.0,,108,conf/icassp,A1,,,108,conf/icete,B4,
109,conf/ieeehpcs,490.0,792.0,,42.0,,109,conf/icc,A2,,,109,journals/information,,
110,journals/comcom,4829.0,48151.0,A2,42.0,,110,conf/allerton,,,,110,journals/scl,,
111,journals/semweb,157.0,886.0,,42.0,,111,conf/wcnc,A2,,,111,journals/eswa,A1,
112,journals/siamsc,1790.0,41616.0,A1,42.0,,112,journals/tsp,A1,,,112,journals/cm,A1,
113,conf/vtc,10987.0,36827.0,A1,42.0,,113,conf/ciss,,,,113,journals/automatica,A1,
114,journals/adhoc,1160.0,24419.0,B1,42.0,,114,conf/globecom,A1,,,114,journals/pieee,A1,
115,conf/IEEEcloud,598.0,2567.0,,42.0,,115,journals/tifs,,,,115,journals/sigpro,A1,
116,conf/adhocnets,181.0,361.0,,42.0,,116,journals/ejwcn,B1,,,116,journals/www,B1,
117,conf/hpca,787.0,26675.0,A1,42.0,,117,conf/crowncom,,,,117,journals/or,,
118,journals/ahswn,409.0,2580.0,,42.0,,118,journals/siamco,A2,,,118,journals/ploscb,,
119,journals/siamjo,1172.0,70795.0,A1,41.0,,119,conf/ita,,,,119,conf/coordination,,
120,conf/date,5135.0,52731.0,A1,41.0,,120,journals/icl,A1,,,120,journals/computer,,
121,conf/tools,1369.0,73919.0,B1,40.0,,121,journals/jsac,A1,,,121,journals/ml,A1,
122,conf/dac,6526.0,186313.0,A1,40.0,,122,conf/iccoms,,,,122,journals/bmcbi,A1,
123,journals/scientometrics,4199.0,122179.0,,40.0,,123,conf/globalsip,,,,123,journals/is,A2,
124,conf/micro,1409.0,59172.0,A1,40.0,,124,journals/ejasp,B1,,,124,conf/dasip,,
125,conf/uist,1219.0,52308.0,A1,40.0,,125,journals/tvt,,,,125,journals/isci,A1,
126,conf/ease,166.0,105.0,,39.0,,126,conf/camsap,,,,126,journals/bise,,
127,conf/ndss,538.0,23946.0,A1,39.0,,127,journals/spm,A1,,,127,conf/icml,A1,
128,journals/cluster,714.0,8003.0,B2,39.0,,128,conf/smartgridcomm,,,,128,conf/data,,
129,journals/sigmetrics,983.0,10914.0,,39.0,,129,journals/wpc,,,,129,journals/orgsci,,
130,journals/siamcomp,3124.0,269865.0,A1,39.0,,130,journals/automatica,A1,,,130,journals/jocn,,
131,journals/pe,1644.0,28533.0,A2,39.0,,131,conf/sigmetrics,A1,,,131,journals/interfaces,B2,
132,conf/sigmetrics,1490.0,70702.0,A1,39.0,,132,conf/vtc,A1,,,132,journals/mansci,B2,
133,journals/eaai,1516.0,14305.0,A2,39.0,,133,journals/prl,A1,,,133,journals/comsur,A1,
134,conf/models,1198.0,7856.0,,39.0,,134,journals/tac,A1,,,134,journals/simulation,B3,
135,conf/interspeech,17729.0,130378.0,A1,39.0,,135,journals/wcl,,,,135,conf/or,B4,
136,conf/cav,1290.0,101412.0,A1,38.0,,136,journals/tsg,,,,136,conf/icra,A1,
137,conf/hicss,11101.0,101629.0,A1,38.0,,137,conf/iccnc,,,,137,journals/ior,A1,
138,journals/cogsci,1155.0,136657.0,,38.0,,138,conf/cdc,B1,,,138,conf/isscc,B1,
139,conf/esws,1308.0,12532.0,,38.0,,139,conf/wpmc,,,,139,conf/eccv,A1,
140,conf/fse,555.0,28756.0,A2,38.0,,140,journals/ett,,,,140,conf/smc,B2,
141,journals/siamnum,1758.0,54659.0,A1,38.0,,141,journals/spl,A1,,,141,conf/se,,
142,journals/tcs,10811.0,391021.0,A1,38.0,,142,journals/anor,A2,,,142,journals/computing,B1,
143,conf/complex,269.0,322.0,,38.0,,143,conf/eusipco,,,,143,journals/soco,B1,
144,journals/integration,954.0,6860.0,B2,38.0,,144,conf/wicon,B3,,,144,conf/networking,B1,
145,journals/neco,2472.0,320711.0,A1,38.0,,145,conf/fusion,,,,145,journals/itp,,
146,journals/ras,2342.0,58693.0,A2,37.0,,146,journals/phycomm,,,,146,conf/wsdm,B1,
147,journals/joi,545.0,8025.0,,37.0,,147,journals/scl,,,,147,conf/nsdi,A1,
148,conf/cscw,1792.0,98709.0,A1,37.0,,148,journals/mcss,,,,148,conf/isca,A1,
149,conf/fast,354.0,10728.0,A1,37.0,,149,journals/mmor,B2,,,149,conf/emnlp,A1,
150,conf/bmvc,2532.0,51771.0,A2,37.0,,150,conf/valuetools,,,,150,journals/behaviourIT,,
151,journals/cad,2736.0,55554.0,,37.0,,151,journals/ijdmbc,,,,151,journals/nn,A1,
152,conf/cloudcom,757.0,3093.0,B2,37.0,,152,journals/eor,A1,,,152,journals/cl,,
153,conf/aaai,7555.0,234650.0,A1,37.0,,153,journals/neco,A1,,,153,journals/jcisd,B1,
154,journals/dc,570.0,17470.0,B1,36.0,,154,journals/iet-com,,,,154,conf/ifip8-3,,
155,conf/edbt,1462.0,28921.0,A2,36.0,,155,journals/adt,,,,155,journals/dss,A1,
156,journals/csi,921.0,8151.0,,36.0,,156,conf/mlsp,,,,156,conf/ias,B1,
