Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/IEEEicci,,524.0,,1,journals/ijssci,,0.677685950413
2,conf/balt,232.0,827.0,,132.0,,2,journals/cogsci,,387.0,,2,journals/ijcini,,0.573099415205
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/nips,A1,173.0,,3,conf/IEEEicci,,0.516765285996
4,journals/pr,6744.0,201239.0,A1,118.0,,4,conf/robio,B1,118.0,,4,journals/cogsci,,0.335064935065
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/iccsa,B1,118.0,,5,journals/tcos,B5,0.154838709677
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/isci,A1,110.0,,6,conf/rskt,,0.128608923885
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/isnn,,109.0,,7,conf/rsfdgrc,,0.0820512820513
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/ijcai,A1,106.0,,8,conf/its,B2,0.0793522267206
9,conf/mmar,518.0,135.0,,113.0,,9,journals/ijon,A1,106.0,,9,conf/rsctc,,0.0785619174434
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/ijcini,,98.0,,10,conf/edm,B3,0.0690537084399
11,journals/information,150.0,275.0,,93.0,,11,conf/rskt,,98.0,,11,journals/cogsr,,0.0641975308642
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/its,B2,98.0,,12,conf/grc,,0.0636604774536
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/grc,,96.0,,13,conf/aied,B1,0.0634920634921
14,journals/cm,1467.0,7672.0,A1,86.0,,14,journals/tsmc,,96.0,,14,conf/cscwd,,0.0439868975199
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,conf/cscwd,,94.0,,15,conf/skg,,0.0369487485101
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/smc,B2,90.0,,16,conf/isnn,,0.0323826500297
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/ijssci,,82.0,,17,conf/iri,B2,0.031007751938
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/igarss,B1,76.0,,18,conf/nips,A1,0.030436312456
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/aaai,A1,75.0,,19,conf/robio,B1,0.0296631473102
20,journals/or,324.0,1008.0,,81.0,,20,conf/ifip12,,66.0,,20,conf/forte,B1,0.0290697674419
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/icdm,A1,65.0,,21,conf/iccsa,B1,0.027550782162
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/icip,A1,63.0,,22,journals/tfs,A1,0.0273590173088
23,journals/computer,4766.0,261329.0,,76.0,,23,conf/iros,A1,63.0,,23,journals/soco,B1,0.0273556231003
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/aied,B1,60.0,,24,conf/webi,,0.0252667040988
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/rsctc,,59.0,,25,conf/ifip12,,0.0252100840336
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/eswa,A1,59.0,,26,conf/ismis,B2,0.0241351568785
