Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/ploscb,,990.0,,1,conf/recomb,A2,0.541497975709
2,conf/balt,232.0,827.0,,132.0,,2,journals/bioinformatics,A1,866.0,,2,journals/jcb,A1,0.304692663582
3,journals/cma,4572.0,33510.0,,118.0,,3,conf/recomb,A2,535.0,,3,conf/wabi,B1,0.298538622129
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/jcb,A1,461.0,,4,journals/ploscb,,0.255286230015
5,conf/cvpr,6874.0,379400.0,A1,118.0,,5,journals/bmcbi,A1,362.0,,5,conf/eccb,B1,0.242937853107
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/nar,B1,342.0,,6,conf/cpm,B1,0.150492264416
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/nips,A1,326.0,,7,conf/gcb,,0.137825421133
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/neuroimage,,159.0,,8,journals/almob,A1,0.131474103586
9,conf/mmar,518.0,135.0,,113.0,,9,journals/neco,A1,151.0,,9,conf/iccabs,B5,0.122529644269
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/wabi,B1,143.0,,10,conf/isbra,B3,0.118343195266
11,journals/information,150.0,275.0,,93.0,,11,journals/bmcsb,,125.0,,11,journals/tcbb,A2,0.097609561753
12,journals/scl,1739.0,26654.0,,89.0,,12,journals/ijon,A1,118.0,,12,journals/bioinformatics,A1,0.0860236416013
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,conf/uai,A1,110.0,,13,journals/bmcsb,,0.0842318059299
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/cpm,B1,107.0,,14,journals/jbcb,B1,0.0833333333333
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,journals/tcbb,A2,98.0,,15,journals/ficn,,0.0798192771084
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/siamcomp,A1,97.0,,16,journals/neco,A1,0.0610841423948
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/gcb,,90.0,,17,journals/nar,B1,0.0594472449157
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/icml,A1,84.0,,18,conf/nips,A1,0.0573539760732
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/soda,A1,81.0,,19,conf/uai,A1,0.0559796437659
20,journals/or,324.0,1008.0,,81.0,,20,journals/tcs,A1,79.0,,20,journals/fini,,0.0557491289199
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/stoc,A1,77.0,,21,journals/bmcbi,A1,0.0511733107153
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/focs,A1,71.0,,22,journals/bib,,0.0488721804511
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/algorithmica,,63.0,,23,journals/ni,A1,0.0484693877551
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,journals/nn,A1,62.0,,24,conf/aistats,,0.0459363957597
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/jmlr,A1,61.0,,25,conf/bcb,B4,0.0457317073171
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/jbcb,B1,61.0,,26,journals/jcns,,0.0443181818182
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/bc,A1,61.0,,27,conf/wads,B1,0.0338164251208
28,journals/isci,7032.0,124049.0,A1,70.0,,28,journals/jacm,A1,58.0,,28,conf/colt,A2,0.0327868852459
29,conf/dasip,258.0,161.0,,70.0,,29,journals/jcss,A2,56.0,,29,journals/siamcomp,A1,0.0310499359795
30,journals/bise,313.0,1427.0,,70.0,,30,journals/ficn,,53.0,,30,journals/bc,A1,0.0288825757576
31,conf/data,130.0,26.0,,69.0,,31,journals/dam,A2,51.0,,31,journals/algorithmica,,0.0288197621226
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/jcisd,B1,50.0,,32,journals/jmlr,A1,0.0281755196305
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/aaai,A1,50.0,,33,conf/soda,A1,0.0277017783858
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/icalp,A1,49.0,,34,conf/stoc,A1,0.0255305039788
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/ipl,A2,48.0,,35,conf/icml,A1,0.0255009107468
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/eccb,B1,43.0,,36,journals/jda,B3,0.0252951096121
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/jcc,A1,40.0,,37,conf/cocoon,B1,0.0252737994945
38,journals/ior,1480.0,54189.0,A1,61.0,,38,conf/isbra,B3,40.0,,38,journals/neuroimage,,0.024882629108
39,journals/comsur,583.0,19860.0,A1,61.0,,39,journals/jcns,,39.0,,39,conf/focs,A1,0.0238415043653
40,conf/or,809.0,2232.0,B4,61.0,,40,journals/bib,,39.0,,40,journals/ml,A1,0.022154316272
41,conf/icra,16038.0,236265.0,A1,61.0,,41,conf/kdd,A1,39.0,,41,journals/jacm,A1,0.0213313718279
42,conf/sigmod,3706.0,337960.0,A1,61.0,,42,conf/icann,B1,37.0,,42,journals/jcss,A2,0.0211800302572
43,journals/simulation,1374.0,14076.0,B3,61.0,,43,conf/colt,A2,36.0,,43,journals/nn,A1,0.0187311178248
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,journals/jocn,,36.0,,44,conf/esa,A2,0.0181956027293
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/globecom,A1,36.0,,45,conf/bibe,B1,0.0175824175824
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/almob,A1,33.0,,46,journals/jocn,,0.0174081237911
47,journals/computing,2617.0,31198.0,B1,57.0,,47,journals/iandc,A2,33.0,,47,journals/ijon,A1,0.016056606341
48,conf/se,978.0,773.0,,57.0,,48,conf/iccabs,B5,31.0,,48,conf/icalp,A1,0.0157101635139
49,journals/soco,1974.0,28145.0,B1,57.0,,49,conf/icassp,A1,31.0,,49,journals/rsa,,0.0146654445463
50,conf/networking,1306.0,9360.0,B1,56.0,,50,conf/bcb,B4,30.0,,50,conf/bibm,B4,0.0142768466791
51,journals/itp,375.0,12276.0,,56.0,,51,conf/cocoon,B1,30.0,,51,conf/icann,B1,0.0139045471627
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,conf/cvpr,A1,30.0,,52,conf/kdd,A1,0.0135935866155
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,journals/ml,A1,29.0,,53,conf/spaa,A2,0.0132860938884
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/dagstuhl,,28.0,,54,journals/siamdm,B1,0.0128073770492
55,conf/isca,1821.0,135083.0,A1,53.0,,55,journals/eccc,,26.0,,55,conf/isaac,B1,0.0125628140704
56,conf/icde,4327.0,135333.0,A1,52.0,,56,journals/cacm,A1,26.0,,56,journals/jcamd,A1,0.0108765195138
57,journals/behaviourIT,1033.0,21287.0,,52.0,,57,conf/aistats,,26.0,,57,journals/eccc,,0.0101206695212
58,journals/nn,3310.0,136228.0,A1,52.0,,58,journals/siamdm,B1,25.0,,58,journals/candc,A2,0.010063559322
59,journals/networks,1952.0,113935.0,B1,52.0,,59,conf/ijcai,A1,25.0,,59,journals/ai,A1,0.0093023255814
60,journals/toc,169.0,1011.0,,51.0,,60,conf/bibe,B1,24.0,,60,journals/jcc,A1,0.0091407678245
