Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/iccS,A2,1075.0,,1,journals/aghcs,,0.251572327044
2,conf/balt,232.0,827.0,,132.0,,2,conf/iccsa,B1,415.0,,2,conf/iccS,A2,0.241193628001
3,journals/cee,1272.0,4934.0,,118.0,,3,journals/siamsc,A1,396.0,,3,journals/siamsc,A1,0.221229050279
4,journals/pr,6744.0,201239.0,A1,118.0,,4,journals/jcphy,,281.0,,4,conf/pvm,,0.154942965779
5,journals/cma,4572.0,33510.0,,118.0,,5,conf/ipps,A1,241.0,,5,journals/jocs,,0.147909967846
6,conf/cvpr,6874.0,379400.0,A1,118.0,,6,conf/europar,,228.0,,6,journals/nla,,0.142414860681
7,journals/cce,2581.0,35527.0,,118.0,,7,journals/fgcs,A2,193.0,,7,journals/tcos,B5,0.125806451613
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/concurrency,,182.0,,8,conf/ppam,,0.1157455683
9,conf/mmar,518.0,135.0,,113.0,,9,conf/sc,A1,177.0,,9,journals/ijitdm,,0.115141955836
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/procedia,C ,171.0,,10,conf/vecpar,B4,0.110112359551
11,journals/information,150.0,275.0,,93.0,,11,conf/pvm,,163.0,,11,conf/bife,,0.105809128631
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/siamnum,A1,143.0,,12,journals/ijhpca,,0.105463786531
13,journals/scl,1739.0,26654.0,,89.0,,13,journals/pc,A2,114.0,,13,conf/para,,0.101804123711
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/ppam,,111.0,,14,conf/iccsa,B1,0.0968946999767
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,journals/jpdc,A2,107.0,,15,conf/grid,A2,0.0959183673469
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/igarss,B1,103.0,,16,conf/itqm,,0.0936454849498
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/jscic,,84.0,,17,journals/sp,,0.0862422997947
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/ijhpca,,83.0,,18,journals/fgcs,A2,0.0852097130243
19,conf/www,4501.0,120253.0,A1,83.0,,19,journals/tjs,B2,83.0,,19,journals/procedia,C ,0.0851169736187
20,journals/or,324.0,1008.0,,81.0,,20,journals/tpds,A1,82.0,,20,journals/mmas,,0.0847058823529
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/para,,79.0,,21,journals/siamnum,A1,0.0813424345848
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/ccgrid,A1,77.0,,22,conf/eScience,B1,0.0775656324582
23,journals/computer,4766.0,261329.0,,76.0,,23,journals/ijitdm,,73.0,,23,journals/concurrency,,0.0763743180864
24,conf/infocom,6943.0,350398.0,A1,76.0,,24,conf/icpp,A2,73.0,,24,conf/europar,,0.0700676090965
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/cscwd,,70.0,,25,journals/jscic,,0.0684039087948
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,conf/hpdc,A1,70.0,,26,conf/parco,B3,0.0679012345679
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/pdp,B1,68.0,,27,conf/simultech,,0.0656934306569
28,conf/dasip,258.0,161.0,,70.0,,28,conf/cluster,A2,66.0,,28,journals/siammax,,0.0620549338759
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/parco,B3,66.0,,29,conf/hpdc,A1,0.0614035087719
30,journals/bise,313.0,1427.0,,70.0,,30,conf/eScience,B1,65.0,,30,journals/cai,B3,0.059186189889
31,conf/data,130.0,26.0,,69.0,,31,conf/miccai,A1,65.0,,31,conf/cluster,A2,0.058407079646
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/siammax,,61.0,,32,conf/sc,A1,0.0573372206025
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/icdm,A1,60.0,,33,journals/jcphy,,0.0571138211382
34,conf/nips,5684.0,404822.0,A1,66.0,,34,journals/toms,A2,59.0,,34,conf/icuimc,,0.0546265328874
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/amc,A2,59.0,,35,conf/ccgrid,A1,0.0491698595147
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/isnn,,58.0,,36,journals/cluster,B2,0.0490196078431
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/hpcc,,54.0,,37,journals/pc,A2,0.0460234154219
38,journals/simulation,1374.0,14076.0,B3,61.0,,38,journals/cma,,53.0,,38,journals/tjs,B2,0.0431392931393
39,conf/sigmod,3706.0,337960.0,A1,61.0,,39,conf/bife,,51.0,,39,journals/jossac,,0.0426409903714
40,journals/ior,1480.0,54189.0,A1,61.0,,40,journals/ijon,A1,51.0,,40,journals/toms,A2,0.0423850574713
41,conf/or,809.0,2232.0,B4,61.0,,41,journals/ieicet,,50.0,,41,conf/pdp,B1,0.0407918416317
42,conf/icra,16038.0,236265.0,A1,61.0,,42,conf/icuimc,,49.0,,42,conf/ica3pp,B3,0.0385756676558
43,journals/comsur,583.0,19860.0,A1,61.0,,43,journals/jcam,A2,49.0,,43,conf/hipc,B1,0.036018957346
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,conf/vecpar,B4,49.0,,44,conf/cso,B5,0.0359712230216
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,journals/moc,A2,48.0,,45,conf/cts,,0.0348557692308
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/cai,B3,48.0,,46,journals/jpdc,A2,0.0343388960205
47,journals/soco,1974.0,28145.0,B1,57.0,,47,conf/otm,,47.0,,47,conf/hpcc,,0.0339836375079
48,conf/se,978.0,773.0,,57.0,,48,conf/grid,A2,47.0,,48,conf/cscwd,,0.0327562002808
49,journals/computing,2617.0,31198.0,B1,57.0,,49,journals/nla,,46.0,,49,conf/ipps,A1,0.0326646787747
50,journals/itp,375.0,12276.0,,56.0,,50,journals/jocs,,46.0,,50,conf/ics,A2,0.0320512820513
51,conf/networking,1306.0,9360.0,B1,56.0,,51,conf/icoin,B1,45.0,,51,journals/cse,,0.0316027088036
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,conf/ics,A2,45.0,,52,conf/icoin,B1,0.0297422339722
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,conf/iat,B1,45.0,,53,conf/ispa,B3,0.0296712109062
54,conf/isca,1821.0,135083.0,A1,53.0,,54,journals/eor,A1,45.0,,54,conf/arcs,B2,0.0295983086681
55,conf/emnlp,1380.0,19971.0,A1,53.0,,55,journals/isci,A1,44.0,,55,journals/tpds,A1,0.0248635536689
56,journals/nn,3310.0,136228.0,A1,52.0,,56,conf/iwann,B2,44.0,,56,conf/iat,B1,0.0230061349693
57,conf/icde,4327.0,135333.0,A1,52.0,,57,journals/tc,A1,43.0,,57,journals/moc,A2,0.0214765100671
58,journals/behaviourIT,1033.0,21287.0,,52.0,,58,journals/sp,,42.0,,58,conf/aiccsa,B1,0.0213414634146
59,journals/networks,1952.0,113935.0,B1,52.0,,59,journals/eswa,A1,41.0,,59,conf/icpp,A2,0.0212642004078
60,journals/jcisd,6138.0,73816.0,B1,51.0,,60,journals/aghcs,,40.0,,60,conf/fgit,,0.0212454212454
61,journals/cl,552.0,5040.0,,51.0,,61,journals/tcos,B5,39.0,,61,conf/iwann,B2,0.0207841284837
62,journals/toc,169.0,1011.0,,51.0,,62,conf/hipc,B1,38.0,,62,conf/otm,,0.0202673566192
63,conf/ifip8-3,245.0,254.0,,50.0,,63,journals/computing,B1,38.0,,63,conf/icdm,A1,0.0183710961421
64,journals/dss,2302.0,56927.0,A1,50.0,,64,conf/ispa,B3,37.0,,64,journals/sigsoft,,0.0179786200194
65,journals/intr,662.0,27143.0,B1,49.0,,65,journals/sigsoft,,37.0,,65,journals/mcs,,0.0177372962608
66,journals/ir,432.0,42026.0,B1,49.0,,66,journals/mcs,,37.0,,66,conf/isnn,,0.0172311348782
67,conf/sigir,3545.0,205477.0,A1,49.0,,67,conf/smc,B2,37.0,,67,journals/jcam,A2,0.0165652467884
68,conf/cn,214.0,241.0,,49.0,,68,journals/mmas,,36.0,,68,journals/chinaf,,0.0150446638458
69,conf/ias,468.0,1722.0,B1,49.0,,69,conf/sac,A1,35.0,,69,journals/siamrev,,0.0148107515085
70,journals/msom,382.0,7891.0,,49.0,,70,journals/cluster,B2,35.0,,70,journals/computing,B1,0.0145204432556
71,conf/iasam,951.0,3324.0,,49.0,,71,conf/icc,A2,34.0,,71,journals/jnw,,0.0138657792568
72,conf/isit,4224.0,15815.0,B1,49.0,,72,conf/icassp,A1,33.0,,72,conf/miccai,A1,0.0137044064938
73,conf/eurocrypt,1310.0,147911.0,A1,48.0,,73,journals/bmcbi,A1,32.0,,73,conf/IEEEcit,,0.0126454223571
74,journals/ec,474.0,66933.0,A1,48.0,,74,journals/chinaf,,32.0,,74,journals/cma,,0.0115923009624
75,journals/fgcs,2265.0,38059.0,A2,48.0,,75,journals/jossac,,31.0,,75,journals/cphysics,A1,0.00849762066621
76,conf/naacl,1498.0,59153.0,A1,48.0,,76,conf/fskd,B2,31.0,,76,conf/igarss,B1,0.00765628484353
77,conf/icwsm,797.0,7564.0,B1,48.0,,77,conf/globecom,A1,30.0,,77,conf/aina,A2,0.00707547169811
78,journals/jcc,4376.0,140430.0,A1,47.0,,78,conf/cso,B5,30.0,,78,journals/ijon,A1,0.00693971968975
79,conf/icassp,28525.0,238265.0,A1,47.0,,79,conf/aina,A2,30.0,,79,journals/tc,A1,0.00651811429438
80,journals/mia,1047.0,45369.0,A1,47.0,,80,conf/hicss,A1,29.0,,80,conf/fskd,B2,0.00637860082305
81,journals/ai,2580.0,376792.0,A1,46.0,,81,conf/cts,,29.0,,81,conf/sac,A1,0.00636132315522
82,journals/bib,798.0,38929.0,,46.0,,82,conf/fgit,,29.0,,82,journals/isci,A1,0.00625711035267
83,conf/ijcai,6188.0,295635.0,A1,46.0,,83,journals/cse,,28.0,,83,conf/isbi,B1,0.00622903689506
84,conf/pldi,1303.0,110902.0,A1,46.0,,84,conf/arcs,B2,28.0,,84,journals/eor,A1,0.00473036896878
85,journals/biosystems,997.0,8011.0,,46.0,,85,conf/itqm,,28.0,,85,journals/eswa,A1,0.00458818263205
86,conf/indin,449.0,117.0,,46.0,,86,conf/aiccsa,B1,28.0,,86,journals/bmcbi,A1,0.00452360757704
87,journals/interactions,2020.0,25053.0,B2,46.0,,87,journals/siamrev,,27.0,,87,journals/amc,A2,0.00447919829942
88,conf/soco,139.0,1132.0,,46.0,,88,conf/simultech,,27.0,,88,conf/smc,B2,0.00394120153387
89,conf/cns,163.0,39.0,,45.0,,89,conf/icip,A1,26.0,,89,journals/ieicet,,0.00295141963284
90,conf/iros,13604.0,126537.0,A1,45.0,,90,conf/isbi,B1,26.0,,90,conf/hicss,A1,0.00261237726331
91,journals/ijon,7349.0,79598.0,A1,45.0,,91,conf/ica3pp,B3,26.0,,91,conf/icc,A2,0.00229621125144
92,journals/fss,3354.0,58453.0,A1,45.0,,92,journals/jnw,,25.0,,92,conf/vtc,A1,0.0022754164012
93,journals/jet,1697.0,99914.0,,45.0,,93,conf/vtc,A1,25.0,,93,conf/globecom,A1,0.00214132762313
94,conf/dna,356.0,9770.0,B4,45.0,,94,conf/IEEEcit,,25.0,,94,conf/icip,A1,0.00150436845455
95,conf/popl,1511.0,171888.0,A1,45.0,,95,journals/cphysics,A1,25.0,,95,conf/icassp,A1,0.00115687992989
96,journals/mktsci,521.0,15994.0,,45.0,,96,journals/corr,,,,96,journals/nar,B1,
97,conf/globecom,14010.0,105540.0,A1,45.0,,97,conf/ssp,,,,97,conf/balt,,
98,conf/pdes,273.0,49.0,,45.0,,98,conf/isit,B1,,,98,journals/cee,,
99,conf/icc,14807.0,125393.0,A2,44.0,,99,journals/tcom,A1,,,99,journals/pr,A1,
100,journals/isr,757.0,75607.0,,44.0,,100,journals/twc,A1,,,100,conf/cvpr,A1,
101,journals/kbs,2347.0,29383.0,,44.0,,101,journals/jstsp,A1,,,101,journals/cce,,
102,journals/prl,5475.0,100320.0,A1,44.0,,102,conf/acssc,,,,102,journals/neuroimage,,
103,journals/algorithms,263.0,616.0,,44.0,,103,journals/tmc,,,,103,conf/mmar,,
104,conf/cdc,8622.0,25900.0,B1,43.0,,104,journals/tit,A1,,,104,conf/icete,B4,
105,journals/mcm,3045.0,22454.0,A2,43.0,,105,journals/wc,,,,105,journals/information,,
106,journals/games,118.0,422.0,,43.0,,106,conf/allerton,,,,106,journals/scl,,
107,journals/geb,1630.0,74115.0,,43.0,,107,conf/wcnc,A2,,,107,journals/cm,A1,
108,conf/soda,2924.0,204116.0,A1,43.0,,108,journals/tsp,A1,,,108,journals/automatica,A1,
109,journals/ahswn,409.0,2580.0,,42.0,,109,conf/infocom,A1,,,109,journals/pieee,A1,
110,conf/adhocnets,181.0,361.0,,42.0,,110,conf/ciss,,,,110,journals/sigpro,A1,
111,journals/adhoc,1160.0,24419.0,B1,42.0,,111,journals/tifs,,,,111,journals/www,B1,
112,conf/vtc,10987.0,36827.0,A1,42.0,,112,journals/ejwcn,B1,,,112,conf/www,A1,
113,conf/IEEEcloud,598.0,2567.0,,42.0,,113,conf/crowncom,,,,113,journals/or,,
114,journals/comcom,4829.0,48151.0,A2,42.0,,114,journals/siamco,A2,,,114,journals/ploscb,,
115,journals/semweb,157.0,886.0,,42.0,,115,conf/ita,,,,115,conf/coordination,,
116,journals/siamsc,1790.0,41616.0,A1,42.0,,116,conf/dcc,A2,,,116,journals/computer,,
117,conf/ieeehpcs,490.0,792.0,,42.0,,117,journals/icl,A1,,,117,conf/infocom,A1,
