Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/tvcg,A1,1290.0,,1,journals/tvcg,A1,0.543615676359
2,conf/balt,232.0,827.0,,132.0,,2,conf/siggraph,A2,1199.0,,2,journals/tog,A1,0.441585828764
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/tog,A1,1047.0,,3,conf/apvis,,0.39896373057
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,journals/cgf,A2,949.0,,4,conf/sca,A2,0.351535836177
5,journals/cee,1272.0,4934.0,,118.0,,5,journals/vc,B1,353.0,,5,conf/egpgv,,0.340909090909
6,journals/cma,4572.0,33510.0,,118.0,,6,journals/cga,A2,288.0,,6,conf/vmv,,0.316279069767
7,journals/pr,6744.0,201239.0,A1,118.0,,7,journals/cg,,283.0,,7,conf/ieeevast,,0.311983471074
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/chi,A1,268.0,,8,journals/cgf,A2,0.310435067059
9,conf/mmar,518.0,135.0,,113.0,,9,conf/vr,A2,251.0,,9,conf/npar,A2,0.28
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/vmv,,204.0,,10,conf/si3d,,0.27731092437
11,journals/information,150.0,275.0,,93.0,,11,conf/cvpr,A1,204.0,,11,conf/siggraph,A2,0.252900232019
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/jvca,,200.0,,12,conf/graphicsinterface,,0.223974763407
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/si3d,,165.0,,13,journals/jvca,,0.218102508179
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/apvis,,154.0,,14,journals/ivs,B1,0.216828478964
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/ieeevast,,151.0,,15,conf/sbm,B3,0.212598425197
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/cad,,143.0,,16,journals/jgtools,,0.194078947368
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/graphicsinterface,,142.0,,17,journals/vc,B1,0.188467698879
18,conf/www,4501.0,120253.0,A1,83.0,,18,conf/dagstuhl,,140.0,,18,conf/vr,A2,0.188438438438
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/ismar,A2,116.0,,19,journals/cga,A2,0.188112344873
20,journals/or,324.0,1008.0,,81.0,,20,conf/icip,A1,115.0,,20,conf/sccg,,0.187327823691
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/cvgip,,112.0,,21,journals/jwscg,,0.182352941176
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/vrst,B1,110.0,,22,conf/vrst,B1,0.153846153846
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/uist,A1,110.0,,23,conf/aughuman,,0.148148148148
24,journals/computer,4766.0,261329.0,,76.0,,24,journals/cagd,A2,109.0,,24,conf/egh,,0.136
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/sca,A2,103.0,,25,conf/sg,,0.123134328358
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/miccai,A1,97.0,,26,conf/ismar,A2,0.11848825332
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/iccv,A1,93.0,,27,conf/apgv,B2,0.115294117647
28,journals/bise,313.0,1427.0,,70.0,,28,conf/isvc,,88.0,,28,conf/mig,,0.115044247788
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/sibgrapi,B1,85.0,,29,conf/3dui,B2,0.112021857923
30,conf/dasip,258.0,161.0,,70.0,,30,conf/ACMace,,82.0,,30,conf/tpcg,,0.111607142857
31,conf/data,130.0,26.0,,69.0,,31,conf/hci,A2,73.0,,31,journals/cg,,0.100497159091
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/bildmed,,72.0,,32,conf/sibgrapi,B1,0.0995316159251
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/icra,A1,69.0,,33,conf/curac,,0.0915750915751
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/sccg,,68.0,,34,conf/uist,A1,0.090237899918
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/ivs,B1,67.0,,35,conf/wscg,B1,0.0899705014749
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/haptics,B1,63.0,,36,conf/ACMace,,0.0888407367281
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/eccv,A1,62.0,,37,journals/cvgip,,0.080229226361
38,conf/icra,16038.0,236265.0,A1,61.0,,38,conf/wscg,B1,61.0,,38,conf/grapp,B4,0.0787878787879
39,journals/comsur,583.0,19860.0,A1,61.0,,39,conf/egpgv,,60.0,,39,journals/cagd,A2,0.0754847645429
40,journals/simulation,1374.0,14076.0,B3,61.0,,40,journals/jgtools,,59.0,,40,conf/3dim,B1,0.068515497553
41,journals/ior,1480.0,54189.0,A1,61.0,,41,conf/iv,B1,58.0,,41,conf/cadgraphics,,0.0661322645291
42,conf/or,809.0,2232.0,B4,61.0,,42,conf/sc,A1,58.0,,42,conf/avi,A2,0.0614457831325
43,conf/sigmod,3706.0,337960.0,A1,61.0,,43,conf/mm,A1,57.0,,43,journals/presence,,0.058886509636
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,journals/presence,,55.0,,44,journals/cad,,0.0522660818713
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,conf/grapp,B4,52.0,,45,conf/isvc,,0.0521018354056
46,conf/smc,9388.0,28167.0,B2,58.0,,46,conf/avi,A2,51.0,,46,conf/vrcai,B2,0.0514950166113
47,conf/se,978.0,773.0,,57.0,,47,journals/computer,,50.0,,47,conf/tabletop,,0.0481695568401
48,journals/computing,2617.0,31198.0,B1,57.0,,48,journals/pami,A1,50.0,,48,conf/bildmed,,0.0455120101138
49,journals/soco,1974.0,28145.0,B1,57.0,,49,conf/apgv,B2,49.0,,49,conf/iwec,,0.0449612403101
50,conf/networking,1306.0,9360.0,B1,56.0,,50,conf/npar,A2,49.0,,50,conf/cw,,0.0432632880099
51,journals/itp,375.0,12276.0,,56.0,,51,journals/cacm,A1,45.0,,51,journals/cse,,0.038374717833
52,conf/wsdm,533.0,8651.0,B1,54.0,,52,conf/compgeom,A2,43.0,,52,conf/haptics,B1,0.0364794441228
53,conf/nsdi,481.0,17531.0,A1,54.0,,53,conf/icmcs,B3,43.0,,53,conf/dagstuhl,,0.0319124686574
54,conf/isca,1821.0,135083.0,A1,53.0,,54,conf/3dim,B1,42.0,,54,conf/iv,B1,0.031538879826
55,conf/emnlp,1380.0,19971.0,A1,53.0,,55,conf/isbi,B1,42.0,,55,conf/iccv,A1,0.0308560053086
56,journals/nn,3310.0,136228.0,A1,52.0,,56,conf/3dui,B2,41.0,,56,conf/cvpr,A1,0.0296770439337
57,journals/behaviourIT,1033.0,21287.0,,52.0,,57,conf/aughuman,,40.0,,57,conf/compgeom,A2,0.0262515262515
58,journals/networks,1952.0,113935.0,B1,52.0,,58,conf/interact,B1,37.0,,58,conf/chi,A1,0.0250537533888
59,conf/icde,4327.0,135333.0,A1,52.0,,59,conf/iros,A1,36.0,,59,conf/nime,B1,0.0218068535826
60,journals/toc,169.0,1011.0,,51.0,,60,journals/tcsv,A1,36.0,,60,conf/miccai,A1,0.0204511912292
61,journals/cl,552.0,5040.0,,51.0,,61,conf/cw,,35.0,,61,conf/interact,B1,0.0204081632653
62,journals/jcisd,6138.0,73816.0,B1,51.0,,62,journals/ijcv,A1,35.0,,62,journals/ijcv,A1,0.0200573065903
63,conf/ifip8-3,245.0,254.0,,50.0,,63,conf/egh,,34.0,,63,conf/sc,A1,0.0187884677681
64,journals/dss,2302.0,56927.0,A1,50.0,,64,journals/cse,,34.0,,64,conf/eccv,A1,0.0186242114749
65,conf/cn,214.0,241.0,,49.0,,65,journals/jcst,B2,33.0,,65,journals/jcst,B2,0.0173319327731
66,conf/iasam,951.0,3324.0,,49.0,,66,conf/cadgraphics,,33.0,,66,journals/tmm,A1,0.0171091445428
67,journals/intr,662.0,27143.0,B1,49.0,,67,conf/sg,,33.0,,67,conf/mm,A1,0.0137151106833
68,journals/msom,382.0,7891.0,,49.0,,68,journals/jwscg,,31.0,,68,journals/tcsv,A1,0.0119402985075
69,conf/ias,468.0,1722.0,B1,49.0,,69,conf/vrcai,B2,31.0,,69,journals/it,,0.0118884316415
70,conf/sigir,3545.0,205477.0,A1,49.0,,70,conf/iwec,,29.0,,70,journals/computer,,0.0104909777591
71,conf/isit,4224.0,15815.0,B1,49.0,,71,journals/tmm,A1,29.0,,71,conf/isbi,B1,0.010062290369
72,journals/ir,432.0,42026.0,B1,49.0,,72,conf/nime,B1,28.0,,72,journals/pami,A1,0.00985610092647
73,conf/icwsm,797.0,7564.0,B1,48.0,,73,journals/tmi,A1,27.0,,73,journals/tmi,A1,0.00876623376623
74,journals/ec,474.0,66933.0,A1,48.0,,74,conf/hicss,A1,27.0,,74,conf/hci,A2,0.00722128796122
75,journals/fgcs,2265.0,38059.0,A2,48.0,,75,conf/sbm,B3,27.0,,75,conf/icip,A1,0.00665393739513
76,conf/eurocrypt,1310.0,147911.0,A1,48.0,,76,journals/it,,26.0,,76,conf/icmcs,B3,0.00590172934395
77,conf/naacl,1498.0,59153.0,A1,48.0,,77,conf/mig,,26.0,,77,conf/icra,A1,0.00430228208006
78,journals/jcc,4376.0,140430.0,A1,47.0,,78,conf/tpcg,,25.0,,78,journals/cacm,A1,0.00427797319137
79,conf/icassp,28525.0,238265.0,A1,47.0,,79,conf/curac,,25.0,,79,conf/icpr,A1,0.00278644672314
80,journals/mia,1047.0,45369.0,A1,47.0,,80,conf/icpr,A1,25.0,,80,conf/iros,A1,0.00264628050573
81,journals/biosystems,997.0,8011.0,,46.0,,81,conf/tabletop,,25.0,,81,conf/hicss,A1,0.00243221331412
82,conf/soco,139.0,1132.0,,46.0,,82,conf/icassp,A1,24.0,,82,conf/icassp,A1,0.000841367221735
