Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/cvpr,A1,3458.0,,1,conf/iccv,A1,0.506303915063
2,conf/balt,232.0,827.0,,132.0,,2,journals/pami,A1,1693.0,,2,conf/cvpr,A1,0.503054989817
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/iccv,A1,1526.0,,3,journals/ijcv,A1,0.444699140401
4,journals/cce,2581.0,35527.0,,118.0,,4,conf/eccv,A1,1443.0,,4,conf/eccv,A1,0.433463502553
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/icpr,A1,1144.0,,5,journals/pami,A1,0.33372757737
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/icip,A1,1104.0,,6,conf/emmcvpr,,0.287356321839
7,journals/cee,1272.0,4934.0,,118.0,,7,journals/ijcv,A1,776.0,,7,conf/bmvc,A2,0.268562401264
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/bmvc,A2,680.0,,8,conf/fgr,,0.26581027668
9,conf/mmar,518.0,135.0,,113.0,,9,journals/pr,A1,572.0,,9,conf/wacv,B1,0.263483642794
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/miccai,A1,540.0,,10,journals/cviu,A1,0.23600844773
11,journals/information,150.0,275.0,,93.0,,11,journals/tip,A1,455.0,,11,conf/icb,,0.233711048159
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/cviu,A1,447.0,,12,conf/accv,,0.227298050139
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/nips,A1,437.0,,13,conf/3dim,B1,0.168026101142
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/icmcs,B3,419.0,,14,journals/tog,A1,0.12821594264
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/mm,A1,413.0,,15,journals/ivc,A1,0.127626459144
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/accv,,408.0,,16,conf/icpr,A1,0.127507802051
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/icassp,A1,389.0,,17,conf/mcs,,0.126849894292
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/ivc,A1,328.0,,18,conf/sspr,B1,0.125
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/prl,A1,312.0,,19,journals/cvgip,,0.113896848138
20,journals/or,324.0,1008.0,,81.0,,20,journals/tog,A1,304.0,,20,conf/miccai,A1,0.11385199241
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/wacv,B1,298.0,,21,journals/mva,B1,0.105403011515
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/icra,A1,292.0,,22,conf/ismar,A2,0.102145045965
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/fgr,,269.0,,23,conf/mm,A1,0.0993743984601
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/isbi,B1,244.0,,24,conf/vmv,,0.0992248062016
25,journals/bmcbi,7074.0,136587.0,A1,73.0,,25,conf/iros,A1,221.0,,25,conf/drr,,0.0970149253731
26,journals/ml,1309.0,184440.0,A1,73.0,,26,conf/icdar,A2,201.0,,26,journals/mia,A1,0.0916905444126
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/tsmc,,181.0,,27,journals/tmm,A1,0.0908554572271
28,conf/dasip,258.0,161.0,,70.0,,28,journals/tcsv,A1,177.0,,28,journals/tip,A1,0.0890062597809
29,journals/isci,7032.0,124049.0,A1,70.0,,29,conf/dagm,,168.0,,29,conf/ipmi,,0.088996763754
30,journals/bise,313.0,1427.0,,70.0,,30,conf/icb,,165.0,,30,conf/mir,,0.0881542699725
31,conf/icml,3294.0,290468.0,A1,69.0,,31,journals/cvgip,,159.0,,31,conf/scalespace,,0.0851063829787
32,conf/data,130.0,26.0,,69.0,,32,journals/tmm,A1,154.0,,32,journals/pr,A1,0.0848161328588
33,journals/orgsci,621.0,19294.0,,68.0,,33,journals/cgf,A2,145.0,,33,conf/scia,,0.0830769230769
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/aaai,A1,140.0,,34,journals/ieeemm,A2,0.0790216368768
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/icml,A1,138.0,,35,conf/avss,,0.0784114052953
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/tmi,A1,128.0,,36,conf/dagm,,0.0772058823529
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/siggraph,A2,125.0,,37,conf/caip,B2,0.0769230769231
38,journals/ior,1480.0,54189.0,A1,61.0,,38,journals/mva,B1,119.0,,38,conf/nips,A1,0.0768824771288
39,conf/icra,16038.0,236265.0,A1,61.0,,39,conf/sspr,B1,110.0,,39,conf/icfhr,,0.0758620689655
40,journals/comsur,583.0,19860.0,A1,61.0,,40,conf/mva,B3,107.0,,40,journals/jmiv,B1,0.0744985673352
41,conf/or,809.0,2232.0,B4,61.0,,41,conf/pcm,,106.0,,41,conf/icdar,A2,0.072773352643
42,journals/simulation,1374.0,14076.0,B3,61.0,,42,conf/3dim,B1,103.0,,42,conf/icvgip,,0.0723270440252
43,conf/sigmod,3706.0,337960.0,A1,61.0,,43,conf/ismar,A2,100.0,,43,conf/icmi,A2,0.07156133829
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,conf/emmcvpr,,100.0,,44,conf/pcm,,0.0654320987654
45,conf/isscc,1967.0,13365.0,B1,59.0,,45,conf/caip,B2,98.0,,45,journals/tifs,,0.0642201834862
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/ijprai,B1,97.0,,46,conf/icip,A1,0.0638777989932
47,journals/soco,1974.0,28145.0,B1,57.0,,47,journals/mia,A1,96.0,,47,conf/iciap,B1,0.0631434454358
48,conf/se,978.0,773.0,,57.0,,48,conf/ijcai,A1,94.0,,48,conf/mva,B3,0.0621370499419
49,journals/computing,2617.0,31198.0,B1,57.0,,49,conf/iciap,B1,92.0,,49,conf/iswc,A1,0.0590062111801
50,journals/itp,375.0,12276.0,,56.0,,50,journals/ijon,A1,84.0,,50,journals/tcsv,A1,0.0587064676617
51,conf/networking,1306.0,9360.0,B1,56.0,,51,journals/ieeemm,A2,84.0,,51,conf/isbi,B1,0.0584571154768
52,conf/nsdi,481.0,17531.0,A1,54.0,,52,journals/jmlr,A1,82.0,,52,conf/icmcs,B3,0.0575075487236
53,conf/wsdm,533.0,8651.0,B1,54.0,,53,journals/jmiv,B1,78.0,,53,journals/prl,A1,0.0569863013699
54,conf/emnlp,1380.0,19971.0,A1,53.0,,54,conf/icmi,A2,77.0,,54,journals/ijprai,B1,0.0532967032967
55,conf/isca,1821.0,135083.0,A1,53.0,,55,conf/avss,,77.0,,55,journals/cgf,A2,0.0474321229964
56,conf/icde,4327.0,135333.0,A1,52.0,,56,conf/isvc,,75.0,,56,conf/dicta,,0.0449826989619
57,journals/behaviourIT,1033.0,21287.0,,52.0,,57,conf/iscas,A1,73.0,,57,conf/isvc,,0.044404973357
58,journals/networks,1952.0,113935.0,B1,52.0,,58,journals/tnn,,72.0,,58,conf/icml,A1,0.0418943533698
59,journals/nn,3310.0,136228.0,A1,52.0,,59,journals/tifs,,70.0,,59,journals/tmi,A1,0.0415584415584
60,journals/toc,169.0,1011.0,,51.0,,60,conf/smc,B2,69.0,,60,journals/jmlr,A1,0.0378752886836
61,journals/jcisd,6138.0,73816.0,B1,51.0,,61,journals/trob,A1,69.0,,61,conf/mmsp,B2,0.0330578512397
62,journals/cl,552.0,5040.0,,51.0,,62,journals/tvcg,A1,66.0,,62,journals/ijrr,A1,0.03125
63,conf/ifip8-3,245.0,254.0,,50.0,,63,conf/vmv,,64.0,,63,journals/tvcg,A1,0.0278128950695
64,journals/dss,2302.0,56927.0,A1,50.0,,64,conf/mir,,64.0,,64,conf/siggraph,A2,0.0263657456233
65,conf/iasam,951.0,3324.0,,49.0,,65,conf/icdm,A1,63.0,,65,journals/cga,A2,0.0254735467015
66,conf/isit,4224.0,15815.0,B1,49.0,,66,conf/mcs,,60.0,,66,journals/tsmc,,0.0240531561462
67,conf/sigir,3545.0,205477.0,A1,49.0,,67,conf/ipmi,,55.0,,67,journals/trob,A1,0.0230153435624
68,conf/cn,214.0,241.0,,49.0,,68,conf/scia,,54.0,,68,conf/visapp,B3,0.0229817324691
