Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/ccs,A1,649.0,,1,conf/sp,B1,0.58543983822
2,conf/balt,232.0,827.0,,132.0,,2,conf/sp,B1,579.0,,2,conf/ndss,A1,0.412639405204
3,journals/cce,2581.0,35527.0,,118.0,,3,journals/iacr,,531.0,,3,conf/csfw,A1,0.401785714286
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/uss,,339.0,,4,journals/tissec,,0.391849529781
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/acsac,A1,235.0,,5,conf/dimva,B1,0.384615384615
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/csfw,A1,225.0,,6,conf/raid,A2,0.358490566038
7,journals/cee,1272.0,4934.0,,118.0,,7,conf/ndss,A1,222.0,,7,conf/uss,,0.345565749235
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/cacm,A1,222.0,,8,conf/pet,,0.321585903084
9,conf/mmar,518.0,135.0,,113.0,,9,conf/dbsec,,194.0,,9,journals/jcs,,0.311158798283
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/esorics,A2,192.0,,10,conf/ccs,A1,0.280952380952
11,journals/information,150.0,275.0,,93.0,,11,journals/ieeesp,,156.0,,11,conf/dbsec,,0.278335724534
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/jcs,,145.0,,12,conf/acsac,A1,0.270737327189
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/crypto,A1,137.0,,13,conf/wpes,,0.246913580247
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,conf/raid,A2,133.0,,14,conf/esorics,A2,0.244585987261
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/tissec,,125.0,,15,conf/nspw,,0.232484076433
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/eurocrypt,A1,123.0,,16,conf/sacmat,A1,0.224598930481
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/spw,B4,123.0,,17,conf/spw,B4,0.19806763285
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/tse,A1,111.0,,18,conf/codaspy,B4,0.178010471204
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/fc,B1,103.0,,19,journals/ijisec,B1,0.167664670659
20,journals/or,324.0,1008.0,,81.0,,20,journals/tkde,A1,92.0,,20,conf/fc,B1,0.165861513688
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/sigsoft,,91.0,,21,journals/tdsc,B1,0.16393442623
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/entcs,B1,89.0,,22,conf/iciss,B3,0.139194139194
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,conf/infocom,A1,88.0,,23,conf/securecomm,B1,0.136752136752
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/sacmat,A1,84.0,,24,conf/acns,B1,0.125925925926
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/icde,A1,75.0,,25,conf/isw,,0.120075046904
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,conf/nspw,,73.0,,26,journals/ieeesp,,0.113785557987
27,journals/is,1504.0,32461.0,A2,72.0,,27,conf/pet,,73.0,,27,conf/tcc,A2,0.103448275862
28,journals/isci,7032.0,124049.0,A1,70.0,,28,conf/popl,A1,72.0,,28,conf/crypto,A1,0.0984195402299
29,journals/bise,313.0,1427.0,,70.0,,29,journals/tdsc,B1,70.0,,29,conf/eurocrypt,A1,0.093893129771
30,conf/dasip,258.0,161.0,,70.0,,30,journals/compsec,,70.0,,30,conf/sosp,A1,0.0933852140078
31,conf/data,130.0,26.0,,69.0,,31,journals/cn,A1,67.0,,31,conf/imc,A1,0.0923076923077
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/tcs,A1,64.0,,32,conf/icics,B1,0.089527027027
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/isw,,64.0,,33,conf/ih,B1,0.0855106888361
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/sigcomm,A1,63.0,,34,conf/policy,A2,0.0851648351648
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/wpes,,60.0,,35,conf/nsdi,A1,0.0810810810811
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/dimva,B1,60.0,,36,conf/hotos,A2,0.0794520547945
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/icdcs,A1,59.0,,37,conf/ctrsa,,0.078431372549
38,conf/or,809.0,2232.0,B4,61.0,,38,journals/ijisec,B1,56.0,,38,journals/joc,A2,0.0756302521008
39,journals/ior,1480.0,54189.0,A1,61.0,,39,conf/dsn,A1,56.0,,39,conf/pkc,A2,0.073476702509
40,conf/sigmod,3706.0,337960.0,A1,61.0,,40,conf/sec,B1,56.0,,40,journals/tocs,A2,0.0729411764706
41,journals/simulation,1374.0,14076.0,B3,61.0,,41,conf/www,A1,55.0,,41,conf/fse,A2,0.0720720720721
42,journals/comsur,583.0,19860.0,A1,61.0,,42,conf/asiacrypt,A1,54.0,,42,conf/sec,B1,0.0673886883273
43,conf/icra,16038.0,236265.0,A1,61.0,,43,conf/icics,B1,53.0,,43,journals/iacr,,0.0643324448752
44,conf/isscc,1967.0,13365.0,B1,59.0,,44,journals/computer,,51.0,,44,conf/asiacrypt,A1,0.0610859728507
45,conf/eccv,3329.0,159515.0,A1,59.0,,45,conf/acns,B1,51.0,,45,conf/mobisys,A1,0.0481203007519
46,conf/smc,9388.0,28167.0,B2,58.0,,46,journals/comcom,A2,49.0,,46,conf/popl,A1,0.0476505625414
47,journals/soco,1974.0,28145.0,B1,57.0,,47,conf/sosp,A1,48.0,,47,conf/colcom,,0.046783625731
48,journals/computing,2617.0,31198.0,B1,57.0,,48,conf/imc,A1,48.0,,48,journals/toplas,A2,0.0463242698892
49,conf/se,978.0,773.0,,57.0,,49,conf/securecomm,B1,48.0,,49,conf/dsn,A1,0.0449438202247
50,journals/itp,375.0,12276.0,,56.0,,50,conf/pldi,A1,48.0,,50,journals/sigsoft,,0.0442176870748
