Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/eor,A1,1972.0,,1,journals/eor,A1,0.207295280143
2,conf/balt,232.0,827.0,,132.0,,2,journals/cor,,704.0,,2,journals/scheduling,B1,0.193359375
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,journals/anor,A2,306.0,,3,journals/heuristics,A2,0.182994454713
4,journals/cce,2581.0,35527.0,,118.0,,4,journals/eswa,A1,202.0,,4,journals/4or,,0.181818181818
5,journals/cee,1272.0,4934.0,,118.0,,5,journals/dam,A2,188.0,,5,conf/hm,,0.177777777778
6,journals/cma,4572.0,33510.0,,118.0,,6,journals/orl,B1,143.0,,6,conf/or,B4,0.175525339926
7,journals/pr,6744.0,201239.0,A1,118.0,,7,conf/or,B4,142.0,,7,journals/infor,,0.166666666667
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/jors,,138.0,,8,journals/cor,,0.151920586966
9,conf/mmar,518.0,135.0,,113.0,,9,journals/networks,B1,135.0,,9,journals/transci,B2,0.151343705799
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/informs,A2,129.0,,10,journals/cejor,,0.131805157593
11,journals/information,150.0,275.0,,93.0,,11,conf/wsc,A1,127.0,,11,journals/anor,A2,0.129606099111
12,journals/scl,1739.0,26654.0,,89.0,,12,journals/ress,,125.0,,12,journals/jors,,0.119170984456
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/candie,,118.0,,13,journals/informs,A2,0.115487914056
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/mmor,B2,107.0,,14,journals/or,,0.114197530864
15,journals/cm,1467.0,7672.0,A1,86.0,,15,journals/transci,B2,107.0,,15,conf/atmos,,0.111842105263
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,journals/ior,A1,103.0,,16,conf/asmta,,0.103092783505
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/heuristics,A2,99.0,,17,conf/ae,,0.096
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/scheduling,B1,99.0,,18,journals/disopt,B1,0.0901856763926
19,journals/www,423.0,7421.0,B1,83.0,,19,journals/mp,A1,95.0,,19,journals/ijitdm,,0.089905362776
20,journals/or,324.0,1008.0,,81.0,,20,journals/dss,A1,94.0,,20,conf/antsw,,0.0836501901141
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/jgo,A2,92.0,,21,conf/bife,,0.0829875518672
22,conf/coordination,377.0,6017.0,,78.0,,22,journals/amc,A2,73.0,,22,conf/lion,,0.0798479087452
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,journals/tsmc,,69.0,,23,journals/rairo,,0.0792540792541
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/evoW,,69.0,,24,journals/mmor,B2,0.0751932536894
25,journals/ml,1309.0,184440.0,A1,73.0,,25,journals/ipl,A2,67.0,,25,journals/orl,B1,0.0735218508997
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,journals/4or,,64.0,,26,journals/ior,A1,0.0695945945946
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/tr,A2,58.0,,27,journals/networks,B1,0.0691598360656
28,conf/dasip,258.0,161.0,,70.0,,28,journals/ijitdm,,57.0,,28,journals/jmma,,0.0674486803519
29,journals/isci,7032.0,124049.0,A1,70.0,,29,journals/ijsysc,A2,57.0,,29,journals/apjor,,0.0622568093385
30,journals/bise,313.0,1427.0,,70.0,,30,journals/fss,A1,56.0,,30,journals/dsj,,0.0622489959839
31,conf/data,130.0,26.0,,69.0,,31,journals/isci,A1,54.0,,31,journals/igtr,,0.0592592592593
32,conf/icml,3294.0,290468.0,A1,69.0,,32,conf/gecco,A1,50.0,,32,journals/jgo,A2,0.0587109125718
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/smc,B2,48.0,,33,journals/candie,,0.0527020991514
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/hicss,A1,47.0,,34,conf/rsctc,,0.051930758988
35,journals/jocn,2068.0,89870.0,,64.0,,35,journals/endm,B3,46.0,,35,conf/emo,,0.0501089324619
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,journals/cejor,,46.0,,36,journals/ress,,0.0498802873105
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,journals/pe,A2,41.0,,37,conf/mim,,0.0483870967742
38,conf/sigmod,3706.0,337960.0,A1,61.0,,38,journals/mansci,B2,40.0,,38,journals/ol,,0.0470139771283
39,conf/or,809.0,2232.0,B4,61.0,,39,conf/bife,,40.0,,39,journals/tr,A2,0.0458135860979
40,journals/comsur,583.0,19860.0,A1,61.0,,40,conf/rsctc,,39.0,,40,journals/jossac,,0.0426409903714
