Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/ipps,A1,2366.0,,1,journals/tpds,A1,0.356882959369
2,conf/balt,232.0,827.0,,132.0,,2,journals/tpds,A1,1177.0,,2,conf/ipps,A1,0.320683111954
3,journals/cee,1272.0,4934.0,,118.0,,3,conf/icpp,A2,1011.0,,3,conf/icpp,A2,0.294494611127
4,journals/cce,2581.0,35527.0,,118.0,,4,journals/jpdc,A2,817.0,,4,conf/lcpc,B4,0.289693593315
5,journals/pr,6744.0,201239.0,A1,118.0,,5,journals/tc,A1,779.0,,5,journals/jpdc,A2,0.262195121951
6,journals/cma,4572.0,33510.0,,118.0,,6,conf/sc,A1,615.0,,6,conf/hipc,B1,0.247393364929
7,conf/cvpr,6874.0,379400.0,A1,118.0,,7,conf/europar,,550.0,,7,conf/hpdc,A1,0.238596491228
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/infocom,A1,512.0,,8,conf/ics,A2,0.230769230769
9,conf/mmar,518.0,135.0,,113.0,,9,conf/icdcs,A1,356.0,,9,conf/cluster,A2,0.230088495575
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/globecom,A1,330.0,,10,journals/ijhpca,,0.217280813215
11,journals/information,150.0,275.0,,93.0,,11,conf/ics,A2,324.0,,11,conf/sc,A1,0.199222546161
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,journals/pc,A2,311.0,,12,journals/cluster,B2,0.1918767507
13,journals/scl,1739.0,26654.0,,89.0,,13,journals/tjs,B2,305.0,,13,conf/IEEEpact,,0.183950617284
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/concurrency,,301.0,,14,journals/ppl,B2,0.183606557377
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/icc,A2,288.0,,15,conf/pvm,,0.181558935361
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ccgrid,A1,272.0,,16,conf/ppopp,A2,0.181012658228
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/hpdc,A1,272.0,,17,conf/cf,B1,0.175700934579
18,journals/www,423.0,7421.0,B1,83.0,,18,conf/icpads,B1,269.0,,18,conf/ccgrid,A1,0.173690932312
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/hipc,B1,261.0,,19,conf/europar,,0.169022741242
20,journals/or,324.0,1008.0,,81.0,,20,conf/cluster,A2,260.0,,20,journals/tjs,B2,0.158523908524
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/lcpc,B4,208.0,,21,conf/icppw,,0.158088235294
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/pvm,,191.0,,22,journals/sp,,0.154004106776
23,conf/infocom,6943.0,350398.0,A1,76.0,,23,journals/fgcs,A2,190.0,,23,conf/grid,A2,0.151020408163
24,journals/computer,4766.0,261329.0,,76.0,,24,conf/iccS,A2,186.0,,24,conf/mass,B1,0.148538961039
25,journals/ml,1309.0,184440.0,A1,73.0,,25,conf/mass,B1,183.0,,25,conf/icdcs,A1,0.144833197722
26,journals/bmcbi,7074.0,136587.0,A1,73.0,,26,conf/date,A1,173.0,,26,conf/hpca,A1,0.141041931385
27,journals/is,1504.0,32461.0,A2,72.0,,27,journals/comcom,A2,173.0,,27,journals/paapp,B2,0.133633633634
28,conf/dasip,258.0,161.0,,70.0,,28,conf/icppw,,172.0,,28,journals/ijpp,B2,0.129970902037
29,journals/isci,7032.0,124049.0,A1,70.0,,29,journals/ijhpca,,171.0,,29,journals/concurrency,,0.12631137222
30,journals/bise,313.0,1427.0,,70.0,,30,journals/ppl,B2,168.0,,30,journals/pc,A2,0.125555106984
31,conf/data,130.0,26.0,,69.0,,31,conf/isca,A1,157.0,,31,conf/icpads,B1,0.119555555556
32,conf/icml,3294.0,290468.0,A1,69.0,,32,journals/tmc,,155.0,,32,journals/tc,A1,0.118083977566
33,journals/orgsci,621.0,19294.0,,68.0,,33,conf/wcnc,A2,150.0,,33,conf/nca,B1,0.117552334944
34,conf/nips,5684.0,404822.0,A1,66.0,,34,conf/fpl,A2,149.0,,34,conf/rtas,A2,0.101769911504
35,journals/jocn,2068.0,89870.0,,64.0,,35,conf/IEEEpact,,149.0,,35,journals/tmc,,0.100064557779
36,journals/interfaces,714.0,4506.0,B2,63.0,,36,conf/pdp,B1,148.0,,36,conf/ispa,B3,0.0954290296712
37,journals/mansci,2100.0,125312.0,B2,62.0,,37,conf/icccn,B1,146.0,,37,conf/mascots,A2,0.0953822861469
38,conf/sigmod,3706.0,337960.0,A1,61.0,,38,conf/ppopp,A2,143.0,,38,journals/ijfcs,B2,0.0924308588064
39,journals/ior,1480.0,54189.0,A1,61.0,,39,journals/computer,,139.0,,39,conf/parco,B3,0.0915637860082
40,conf/icra,16038.0,236265.0,A1,61.0,,40,journals/cluster,B2,137.0,,40,conf/mswim,B1,0.0915354330709
41,journals/simulation,1374.0,14076.0,B3,61.0,,41,journals/tkde,A1,135.0,,41,conf/rtss,A1,0.0902777777778
42,journals/comsur,583.0,19860.0,A1,61.0,,42,journals/ijpp,B2,134.0,,42,conf/pdp,B1,0.0887822435513
43,conf/or,809.0,2232.0,B4,61.0,,43,journals/ipl,A2,134.0,,43,conf/sdm,A2,0.0879017013233
44,conf/eccv,3329.0,159515.0,A1,59.0,,44,conf/dac,A1,132.0,,44,conf/isca,A1,0.0862163646348
