Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/rtss,A1,771.0,,1,conf/rtss,A1,0.669270833333
2,conf/balt,232.0,827.0,,132.0,,2,conf/rtas,A2,433.0,,2,conf/rtas,A2,0.638643067847
3,journals/cee,1272.0,4934.0,,118.0,,3,conf/ecrts,A2,404.0,,3,journals/rts,B1,0.594155844156
4,conf/cvpr,6874.0,379400.0,A1,118.0,,4,conf/rtcsa,B1,394.0,,4,conf/ecrts,A2,0.527415143603
5,journals/pr,6744.0,201239.0,A1,118.0,,5,conf/infocom,A1,373.0,,5,conf/rtns,,0.490566037736
6,journals/cce,2581.0,35527.0,,118.0,,6,journals/rts,B1,366.0,,6,conf/rtcsa,B1,0.415173867229
7,journals/cma,4572.0,33510.0,,118.0,,7,journals/tc,A1,345.0,,7,conf/iccps,,0.383886255924
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,conf/icdcs,A1,245.0,,8,conf/wcet,,0.340425531915
9,conf/mmar,518.0,135.0,,113.0,,9,journals/tpds,A1,243.0,,9,journals/sigbed,,0.306358381503
10,conf/icete,769.0,1194.0,B4,94.0,,10,conf/ipps,A1,220.0,,10,conf/emsoft,A2,0.273305084746
11,journals/information,150.0,275.0,,93.0,,11,conf/date,A1,213.0,,11,conf/jtres,,0.253333333333
12,journals/eswa,8936.0,109580.0,A1,89.0,,12,conf/isorc,B1,161.0,,12,conf/sies,B3,0.219584569733
13,journals/scl,1739.0,26654.0,,89.0,,13,conf/etfa,,141.0,,13,conf/lctrts,,0.189448441247
14,journals/automatica,7338.0,229957.0,A1,86.0,,14,journals/tecs,B1,137.0,,14,journals/tecs,B1,0.184139784946
15,journals/cm,1467.0,7672.0,A1,86.0,,15,conf/emsoft,A2,129.0,,15,conf/isorc,B1,0.167185877466
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/dac,A1,114.0,,16,conf/adaEurope,,0.147812971342
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,conf/sensys,A1,108.0,,17,conf/ipsn,A1,0.114149821641
18,journals/www,423.0,7421.0,B1,83.0,,18,journals/sigbed,,106.0,,18,journals/tosn,,0.109137055838
19,conf/www,4501.0,120253.0,A1,83.0,,19,conf/icpp,A2,103.0,,19,conf/sensys,A1,0.10546875
20,journals/or,324.0,1008.0,,81.0,,20,journals/tse,A1,102.0,,20,conf/codes,,0.10513739546
21,journals/ploscb,3878.0,85175.0,,80.0,,21,conf/adaEurope,,98.0,,21,conf/icdcs,A1,0.09967453214
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/ipsn,A1,96.0,,22,conf/dcoss,,0.0892116182573
