Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,conf/wsc,A1,3399.0,,1,conf/wsc,A1,0.408092207948
2,conf/balt,232.0,827.0,,132.0,,2,journals/simulation,B3,205.0,,2,journals/tomacs,,0.359823399558
3,conf/cvpr,6874.0,379400.0,A1,118.0,,3,conf/pads,B1,182.0,,3,conf/pads,B1,0.351351351351
4,journals/cee,1272.0,4934.0,,118.0,,4,journals/tomacs,,163.0,,4,journals/jos,,0.298701298701
5,journals/cce,2581.0,35527.0,,118.0,,5,journals/eor,A1,161.0,,5,journals/simulation,B3,0.149199417758
6,journals/pr,6744.0,201239.0,A1,118.0,,6,conf/springsim,,157.0,,6,conf/dsrt,,0.145695364238
7,journals/cma,4572.0,33510.0,,118.0,,7,journals/informs,A2,112.0,,7,conf/springsim,,0.13282571912
8,journals/neuroimage,6390.0,202819.0,,117.0,,8,journals/simpra,,107.0,,8,conf/scsc,,0.10736196319
9,conf/mmar,518.0,135.0,,113.0,,9,journals/ior,A1,77.0,,9,journals/informs,A2,0.100268576544
10,conf/icete,769.0,1194.0,B4,94.0,,10,journals/cor,,76.0,,10,journals/simpra,,0.0716677829873
11,journals/information,150.0,275.0,,93.0,,11,conf/dsrt,,66.0,,11,journals/deds,,0.0668151447661
12,journals/scl,1739.0,26654.0,,89.0,,12,conf/hicss,A1,57.0,,12,conf/alt,B1,0.063829787234
13,journals/eswa,8936.0,109580.0,A1,89.0,,13,journals/anor,A2,51.0,,13,conf/simutools,,0.0542797494781
14,journals/cm,1467.0,7672.0,A1,86.0,,14,conf/alt,B1,48.0,,14,journals/ior,A1,0.052027027027
15,journals/automatica,7338.0,229957.0,A1,86.0,,15,journals/jos,,46.0,,15,conf/ecbs,B1,0.0493685419059
16,journals/pieee,1039.0,18961.0,A1,85.0,,16,conf/ecbs,B1,43.0,,16,journals/ejis,,0.0401662049861
17,journals/sigpro,4742.0,50775.0,A1,84.0,,17,journals/tsmc,,42.0,,17,journals/heuristics,A2,0.0388170055453
18,conf/www,4501.0,120253.0,A1,83.0,,18,journals/jpdc,A2,42.0,,18,conf/mascots,A2,0.0302800908403
19,journals/www,423.0,7421.0,B1,83.0,,19,conf/mascots,A2,40.0,,19,conf/simultech,,0.029197080292
20,journals/or,324.0,1008.0,,81.0,,20,journals/mansci,B2,39.0,,20,journals/transci,B2,0.026874115983
21,journals/ploscb,3878.0,85175.0,,80.0,,21,journals/orl,B1,39.0,,21,journals/tase,,0.025462962963
22,conf/coordination,377.0,6017.0,,78.0,,22,conf/case,,38.0,,22,journals/jors,,0.0250431778929
