,Rank,Key,ScoreNorm,Score
0,1,Book Chapter,1.0,0.045706371191136026
1,2,Book,0.43434343434343425,0.019852262234533825
2,3,Journal of Information and Data Management - JIDM,0.37373737373737376,0.01708217913204074
3,4,Simposio Brasileiro de Redes de Computadores e Sistemas Distribuidos,0.24242424242424224,0.011080332409972362
4,5,Simposio Brasileiro de Pesquisa Operacional,0.2222222222222226,0.010156971375808023
5,6,Simposio Brasileiro Banco Dados,0.18181818181818168,0.008310249307479272
6,7,Discrete Applied Mathematics,0.17171717171717216,0.007848568790397116
7,8,Journal of the Brazilian Computer Society (Impresso),0.15151515151515157,0.006925207756232734
8,8,Simposio Brasileiro de Qualidade de Software,0.15151515151515177,0.006925207756232742
9,10,Brazilian Symposium Programming Languages,0.14141414141414121,0.00646352723915054
10,11,Simposio Brasileiro Bancos Dados,0.12121212121212128,0.005540166204986189
11,12,Simposio Fatores Humanos Sistemas Computacionais IHC,0.11111111111111101,0.005078485687903998
12,13,SIBGRAPI Conference Graphics Patterns Images,0.10101010101010122,0.0046168051708218305
13,13,Simposio Brasileiro de Sistemas Colaborativos,0.10101010101010079,0.0046168051708218106
14,13,Simposio Brasileiro Redes Computadores Sistemas Distribuidos SBRC,0.1010101010101011,0.004616805170821825
15,16,Brazilian Symposium Software Engineering SBES,0.09090909090909088,0.004155124653739638
16,16,Computer Networks (1999),0.09090909090909102,0.004155124653739644
17,16,IEEE Congress Evolutionary Computation CEC,0.0909090909090909,0.0041551246537396384
18,16,International Conference Computer Supported Cooperative Work Design CSCWD,0.0909090909090913,0.004155124653739657
19,16,International Conference Enterprise Information Systems ICEIS,0.09090909090909087,0.004155124653739637
20,16,The Journal of Systems and Software,0.09090909090909098,0.004155124653739642
21,22,Simposio Brasileiro Sistemas Multimidia Web,0.08080808080808073,0.0036934441366574533
22,22,WORLDCOMP World Congress Computer Science Computer Engineering Applied Computing,0.08080808080808115,0.0036934441366574724
23,24,Information Sciences,0.07070707070707068,0.0032317636195752734
24,24,International Symposium on Combinatorial Optimization,0.07070707070707076,0.003231763619575277
25,24,Latin American Workshop Cliques Graphs,0.07070707070707101,0.0032317636195752886
26,24,Simposio Brasileiro Automatica,0.07070707070707066,0.0032317636195752725
27,24,Simposio Brasileiro Geoinformatica GeoInfo,0.07070707070707058,0.003231763619575269
28,24,Simposium Virtual Augmented Reality SVR,0.0707070707070705,0.0032317636195752647
29,30,ACM IEEE Joint Conference on Digital Libraries,0.06060606060606057,0.002770083102493091
30,30,Computers & Operations Research,0.06060606060606066,0.002770083102493095
31,30,Conferencia Latinoamericana Informatica CLEI,0.060606060606060795,0.0027700831024931013
32,30,Congresso Brasileiro de Automatica,0.06060606060606057,0.002770083102493091
33,30,European Conference Operational Programming,0.06060606060606087,0.0027700831024931047
34,30,European Conference Software Maintenance Reengineering CSMR,0.060606060606060524,0.0027700831024930887
35,30,IEEE International Conference Computer Supported Cooperative Work Design CSCWD,0.06060606060606087,0.0027700831024931047
36,30,IEEE Symposium on Computers and Communications,0.06060606060606057,0.002770083102493091
37,30,International Symposium Computer Architecture High Performance Computing,0.060606060606060615,0.002770083102493093
38,30,Simposio Brasileiro Jogos Entretenimento Digital SBGames,0.06060606060606057,0.002770083102493091
39,40,ACM SIGSoft Brazilian Symposium Software Engineering SBES,0.050505050505050345,0.002308402585410903
40,40,ALIO INFORMS Joint International Meeting,0.05050505050505062,0.0023084025854109157
41,40,BMC Genomics,0.05050505050505047,0.0023084025854109087
42,40,Brazilian Robotics Symposium Latin American Robotics Symposium SBRLARS,0.05050505050505047,0.0023084025854109087
43,40,Brazilian Symposium Software Components Architectures Reuse SBCARS,0.0505050505050506,0.002308402585410915
44,40,CLAIO SBPO,0.050505050505050726,0.0023084025854109205
45,40,Concurrency and Computation,0.05050505050505067,0.002308402585410918
46,40,IADIS International Conference WWW Internet,0.05050505050505047,0.0023084025854109087
47,40,IEEE Congress on Evolutionary Computation,0.05050505050505047,0.0023084025854109087
48,40,IEEE Internet Computing,0.05050505050505047,0.0023084025854109087
49,40,International Conference on the Quality of Information and Communications Technology,0.050505050505050726,0.0023084025854109205
50,40,International Provenance and Annotation Workshop,0.050505050505050726,0.0023084025854109205
51,40,International Transactions in Operational Research,0.0505050505050506,0.002308402585410915
52,40,Journal of Global Optimization,0.05050505050505067,0.002308402585410918
53,40,Journal of Universal Computer Science (Print),0.050505050505050636,0.0023084025854109166
54,40,Latin--American Algorithms Graphs and Optimization Symposium,0.05050505050505057,0.002308402585410913
55,40,SBQS Simposio Brasileiro Qualidade Software,0.05050505050505062,0.0023084025854109157
56,40,Seminario Integrado Software Hardware SEMISH,0.05050505050505044,0.0023084025854109074
57,40,Simposio Brasileiro de Automacao Inteligente,0.05050505050505047,0.0023084025854109087
