Sigla	Nome	H-index	Class
INFOCOM 	Annual Joint Conference of the IEEE Computer and Communications Societies 	204	A1
CVPR 	IEEE Conference on Computer Vision and Pattern Recognition 	167	A1
ISCAS 	IEEE International Symposium on Circuits and Systems 	159	A1
SIGMOD 	ACM SIGMOD International Conference on Management of Data Conference 	151	A1
CHI 	Conference on Human Factors in Computing Systems 	147	A1
SIGCOMM 	ACM Special Interest Group on Data Communications Conference 	145	A1
WWW 	International World Wide Web Conference 	145	A1
KDD 	ACM SIGKDD Conference on Knowledge Discovery and Data Mining 	133	A1
ICML 	International Conference on Machine Learning 	124	A1
SIGIR 	Annual International ACM SIGIR Conference on Research & Development in Information Retrieval 	122	A1
ICCV 	IEEE International Conference on Computer Vision 	120	A1
ICSE 	ACM/IEEE International Conference on Software Engineering 	117	A1
ICRA 	IEEE International Conference on Robotics and Automation 	116	A1
ICDE 	IEEE International Conference on Data Engineering 	113	A1
MOBICOM 	ACM International Conference on Mobile Computing and Networking 	112	A1
ACL 	International Conference of the Association of Computational Linguistics 	110	A1
ISCA 	ACM International Symposium on Computer Architecture 	110	A1
MOBIHOC 	ACM Symposium of Mobile and Ad-­‐hoc Computing 	110	A1
S&P 	IEEE Symposium on Security and Privacy S&P) 	110	A1
DAC 	Design Automation Conference 	102	A1
CCS 	ACM Conference on Computer and Communications Security 	100	A1
STOC 	ACM Symposium on Theory of Computing 	100	A1
PLDI 	ACM SIGPLAN conference on Programming Language Design and Implementation 	98	A1
VTC 	IEEE Vehicular Technology Conference 	98	A1
EuroCrypt 	International Conference on the Theory and Application of Cryptographic Techniques 	97	A1
HICSS 	Annual Hawaii International Conference on System Sciences 	97	A1
ECCV 	European Conference on Computer Vision 	95	A1
FOCS 	IEEE Symposium on Foundations of Computer Science 	94	A1
AAAI 	Conference on Artificial Intelligence 	93	A1
IMC 	ACM SIGCOMM Internet Measurement Conference 	93	A1
CRYPTO 	Annual International Cryptology Conference 	92	A1
ISMB 	Intelligent Systems in Molecular Biology 	91	A1
GLOBECOM 	IEEE Global Telecommunications Conference 	90	A1
IJCAI 	International Joint Conference on Artificial Intelligence 	90	A1
ISWC 	International Semantic Web Conference 	89	A1
POPL 	ACM SIGPLAN-­‐SIGACT Symposium on Principles of Programming Languages 	89	A1
IPSN 	International Symposium on Information Processing in Sensor Networks 	88	A1
NIPS 	Neural Information Processing Systems 	88	A1
MICRO 	International Symposium on Microarchitecture 	86	A1
SENSYS 	ACM Conference on Embedded Networked Sensor Systems 	86	A1
CIKM 	International Conference on Information and Knowledge Management 	85	A1
SODA 	ACM-­‐SIAM Symposium on Discrete Algorithms 	85	A1
AAMAS 	International Joint Conference on Autonomous Agents and Multiagents Systems 	84	A1
ICASSP 	International Conference on Acoustics, Speech, and Signal Processing 	84	A1
Multimedia 	ACM Multimedia Conference 	83	A1
CAV 	International Conference on Computer Aided Verification 	82	A1
ICPR 	International Conference on Pattern Recognition 	81	A1
SECURITY 	Usenix Security Symposium 	81	A1
Interspeech 	International Conference on Spoken Language Processing 	80	A1
DATE 	Design, Automation and Test in Europe Conference and Exhibition 	79	A1
CSCW 	ACM Conference on Computer Supported Cooperative Work 	78	A1
HLT 	Human Language Technology Conference 	78	A1
ICDCS 	IEEE International Conference on Distributed Computing Systems 	78	A1
ICDM 	IEEE International Conference on Data Mining 	77	A1
UIST 	ACM Symposium on USer Interface Software and Technology 	77	A1
ACC 	American Control Conference 	76	A1
OOPSLA 	ACM SIGPLAN International Conference on Object-­‐Oriented Programming, Systems, Languages, and Applications 	76	A1
OSDI 	Usenix Symposium on Operating Systems Design and Implementation 	76	A1
SC 	ACM/IEEE Conference on High Performance Networking and Computing 	76	A1
SUPER 	ACM/IEEE Supercomputing Conference 	76	A1
ICCAD 	International Conference on Computer-­‐Aided Design 	75	A1
HPCA 	International Symposium on High-­‐Performance Computer Architecture 	73	A1
IPDPS 	IEEE International Parallel and Distributed Processing Symposium 	73	A1
NAACL 	North American Chapter of the Association for Computational Linguistics Annual Meeting 	73	A1
SIGMETRICS 	ACM Conference on Measurement and Modelling of Computing Systems 	73	A1
ASPLOS 	International Conference on Architectural Support for Programming Languages and Operating Systems 	72	A1
EMNLP 	Conference on Empirical Methods in Natural Language Processing 	72	A1
IPPS 	International Parallel Processing Symposium 	71	A1
SOSP 	ACM Symposium on Operating Systems Principles 	71	A1
FG 	International Conference on Automatic Face and Gesture Recognition 	70	A1
UAI 	Conference in Uncertainty in Artifical Intelligence 	70	A1
UbiComp 	International Conference on Ubiquitous Computing 	70	A1
ASIACRYPT 	International Conference on the Theory and Application of Cryptology and Information Security 	69	A1
ICIP 	IEEE International Conference on Image Processing 	69	A1
NSDI 	Symposium on Networked Systems: Design and Implementation 	69	A1
PODS 	ACM SIGACT-­‐SIGMOD-­‐SIGART Symposium on Principles of Database Systems 	69	A1
TACAS 	International Conference on Tools and Algorithms for the Construction and Analysis of Systems 	68	A1
USENIX 	USENIX Annual Technical Conference 	67	A1
GECCO 	Genetic and Evolutionary Computation Conference 	66	A1
ICME 	IEEE International Conference on Multimedia and Expo 	66	A1
ISLPED 	International Symposium on Low Power Electronics and Design 	66	A1
MobiSys 	International Conference on Mobile Systems, Applications, and Services 	66	A1
CHES 	Workshop on Cryptographic Hardware and Embedded Systems 	65	A1
DSN 	International Conference on Dependable Systems and Networks 	65	A1
ICNP 	IEEE International Conference on Network Protocols 	65	A1
NDSS 	Usenix Networked and Distributed System Security Symposium 	64	A1
ACSAC 	Annual Computer Security Applications Conference 	63	A1
IEEEIT 	IEEE Symposium on Information Theory 	63	A1
IPTPS 	International Workshop on Peer-­‐to-­‐Peer Systems 	63	A1
COLING 	International Conference on Computational Linguistics 	62	A1
HPDC 	IEEE International Symposium on High Performance Distributed Computing 	62	A1
ITC 	International Test Conference 	62	A1
IUI 	International Conference on Intelligent User Interfaces 	62	A1
ECOOP 	European Conference on Object-­‐oriented Programming 	61	A1
ICALP 	International Colloquium on Automata Languages and Programming 	61	A1
ISMIR 	International Conference on Music Information Retrieval 	61	A1
PODC 	ACM Symposium on Principles of Distributed Computing 	61	A1
SAC 	ACM Symposium on Applied Computing 	61	A1
CCGrid 	IEEE/ACM International Symposium on Cluster Computing and the Grid 	60	A1
PIMRC 	IEEE International Symposium on Personal and Indoor Mobile Radio Conference 	60	A1
SInT 	IEEE International Symposium on Information Theory 	60	A1
FSE_A 	ACM SIGSOFT Conference on the Foundations of Software Engineering 	59	A1
EC 	ACM Conference on Electronic Commerce 	58	A1
ICWS 	IEEE International Conference on Web Services 	58	A1
IROS 	IEEE/RJS International Conference on Intelligent Robots and Systems 	58	A1
CSFW 	IEEE Computer Security Foundations Workshop 	57	A1
ESWC 	European Semantic Web Conference 	57	A1
PSB 	Pacific Symposium on Biocomputing 	57	A1
RTSS 	Real Time Systems Symposium 	57	A1
MICCAI 	International Conference on Medical Image Computing and Computer Assisted Intervention 	56	A1
WSC 	Winter Simulation Conference 	56	A1
AOSD 	International Conference on Aspect-­‐Oriented Software Development 	55	A1
ASE 	IEEE/ACM International Conference on Automated Software Engineering 	55	A1
FAST 	USENIX Conference on File and Storage Technologies 	55	A1
RE 	IEEE International Requirements Engineering Conference 	55	A1
SACMAT 	ACM Symposium on Access Control Models and Technologies 	55	A1
MODELS 	ACM/IEEE International Conference on Model-­‐Driven Engineering Languages and Systems 	54	A2
