0001-2343	ARSP. Archiv fur Rechts- und Sozialphilosophie	A1	DIREITO	Atualizado
1807-7692	BAR. Brazilian Administration Review	A1	DIREITO	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	A1	DIREITO	Atualizado
1413-8123	Ciência e Saúde Coletiva (Impresso)	A1	DIREITO	Atualizado
0010-4140	Comparative Political Studies	A1	DIREITO	Atualizado
0010-8812	Cornell International Law Journal	A1	DIREITO	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	DIREITO	Atualizado
0038-884X	Der Staat	A1	DIREITO	Atualizado
0214-8676	Doxa (Alicante)	A1	DIREITO	Atualizado
0769-3362	Droit et Société (Paris. 1985)	A1	DIREITO	Atualizado
0718-0195	Estudios Constitucionales	A1	DIREITO	Atualizado
0304-4130	European Journal of Political Research	A1	DIREITO	Atualizado
0015-704X	Fordham Law Review	A1	DIREITO	Atualizado
1942-9193	Gonzaga Journal of International Law	A1	DIREITO	Atualizado
1465-4466	Historical Materialism	A1	DIREITO	Atualizado
0952-8059	International Journal for the Semiotics of Law	A1	DIREITO	Atualizado
1816-3831	International Review of the Red Cross (2005)	A1	DIREITO	Atualizado
0075-2517	Jahrbuch des Offentlichen Rechts der Gegenwart	A1	DIREITO	Atualizado
0021-8170	Journal du Droit International	A1	DIREITO	Atualizado
1287-7352	Journal International de Bioéthique (1998)	A1	DIREITO	Atualizado
1350-1763	Journal of European Public Policy (Print)	A1	DIREITO	Atualizado
0022-216X	Journal of Latin American Studies (Print)	A1	DIREITO	Atualizado
0022-2267	Journal of Linguistics (Print)	A1	DIREITO	Atualizado
0305-7240	Journal of Moral Education	A1	DIREITO	Atualizado
1011-6702	Journal of World Trade	A1	DIREITO	Atualizado
0167-5249	Law and Philosophy	A1	DIREITO	Atualizado
0023-9216	Law & Society Review	A1	DIREITO	Atualizado
0102-6445	Lua Nova (Impresso)	A1	DIREITO	Atualizado
0104-9313	Mana (UFRJ. Impresso)	A1	DIREITO	Atualizado
1120-9607	Materiali per una Storia della Cultura Giuridica	A1	DIREITO	Atualizado
0102-7972	Psicologia: Reflexão e Crítica (UFRGS. Impresso)	A1	DIREITO	Atualizado
0033-3298	Public Administration (Print)	A1	DIREITO	Atualizado
1619-4993	Rechtsgeschichte (Frankfurt)	A1	DIREITO	Atualizado
0034-7329	Revista Brasileira de Política Internacional (Impresso)	A1	DIREITO	Atualizado
1516-4446	Revista Brasileira de Psiquiatria (São Paulo. 1999. Impresso)	A1	DIREITO	Atualizado
1413-1439	Revista de Direito Ambiental	A1	DIREITO	Atualizado
1415-7705	Revista de Direito do Consumidor	A1	DIREITO	Atualizado
0124-0064	Revista de Salud Publica	A1	DIREITO	Atualizado
0034-8910	Revista de Saúde Pública (Impresso)	A1	DIREITO	Atualizado
1808-2432	Revista Direito GV	A1	DIREITO	Atualizado
0874-1336	Revista Portuguesa de História do Livro	A1	DIREITO	Atualizado
1593-7135	RIFD. Rivista Internazionale di Filosofia del Diritto	A1	DIREITO	Atualizado
0049-089X	Social Science Research (Print)	A1	DIREITO	Atualizado
1517-4522	Sociologias (UFRGS. Impresso)	A1	DIREITO	Atualizado
0103-2070	Tempo Social (USP. Impresso)	A1	DIREITO	Atualizado
0002-919X	The American Journal of Comparative Law	A1	DIREITO	Atualizado
0002-7162	The Annals of the American Academy of Political and Social Science	A1	DIREITO	Atualizado
0016-8076	The George Washington Law Review	A1	DIREITO	Atualizado
1657-9267	Universitas Psychologica	A1	DIREITO	Atualizado
0930-861X	Zeitschrift fur Auslandisches und Internationales Arbeits- und Sozialrecht	A1	DIREITO	Atualizado
1863-6470	Zeitschrift fur Internationale Strafrechtsdogmatik	A1	DIREITO	Atualizado
2027-1131	ACDI	A2	DIREITO	Atualizado
1019-7168	Advances in Computational Mathematics	A2	DIREITO	Atualizado
0066-3085	Annuaire Français de Droit International	A2	DIREITO	Atualizado
1870-4654	Anuario Mexicano de Derecho Internacional	A2	DIREITO	Atualizado
1886-4805	Architecture, City and Environment	A2	DIREITO	Atualizado
0300-9084	Biochimie (Paris. Print)	A2	DIREITO	Atualizado
1519-6984	Brazilian Journal of Biology (Impresso)	A2	DIREITO	Atualizado
0100-879X	Brazilian Journal of Medical and Biological Research (Impresso)	A2	DIREITO	Atualizado
0068-4023	Bulletin de Philosophie Médiévale	A2	DIREITO	Atualizado
1521-9615	Computing in Science & Engineering (Print)	A2	DIREITO	Atualizado
0165-1765	Economics Letters	A2	DIREITO	Atualizado
1566-0141	Emerging Markets Review	A2	DIREITO	Atualizado
0103-4014	Estudos Avançados (USP. Impresso)	A2	DIREITO	Atualizado
1351-847X	European Journal of Finance (Print)	A2	DIREITO	Atualizado
1819-3889	FamZ (Wien)	A2	DIREITO	Atualizado
0786-6453	Finnish Yearbook of International Law	A2	DIREITO	Atualizado
0018-8158	Hydrobiologia (The Hague. Print)	A2	DIREITO	Atualizado
0262-8856	Image and Vision Computing	A2	DIREITO	Atualizado
1871-9740	International Community Law Review (Print)	A2	DIREITO	Atualizado
1567-536X	International Criminal Law Review	A2	DIREITO	Atualizado
1995-2929	Ius et Veritas	A2	DIREITO	Atualizado
