0165-9227	Grazer Philosophische Studien	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1413-2982	Literatura e Sociedade (USP)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0100-6045	Manuscrito (UNICAMP)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1414-7165	Matraga (Rio de Janeiro)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1460-2113	Mind Online	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0342-1422	Nietzsche-Studien	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0031-8116	Philosophical Studies	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1553-7390	PLOS Genetics	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1806-3446	Psicologia: Teoria e Pesquisa (Brasília. Online)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0034-0006	Ratio (Oxford. Print)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0035-1571	Revue de Métaphysique et de Morale	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0035-3841	Revue Philosophique de Louvain (Imprimé)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0039-3215	Studia Logica	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0039-7857	Synthese (Dordrecht)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1079-8986	The Bulletin of Symbolic Logic	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0042-7543	Vivarium (Assen. Print)	A1	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1983-4683	Acta Scientiarum. Language and Culture (Online)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1414-3003	Analytica (UFRJ)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0005-0601	Aut Aut: rivista di filosofia e di cultura	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1583-8617	Chôra. Revue détudes anciennes et médiévales	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0102-8529	Contexto Internacional (PUCRJ. Impresso)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0011-1503	Crítica (México)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0012-2173	Dialogue - Canadian Philosophical Association	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0015-9018	Foundations of Physics	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0921-5891	Hobbes studies	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0967-2559	International Journal of Philosophical Studies (Print)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0020-7578	International Journal of Psycho-Analysis	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
1130-2097	Isegoría (Madrid)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0898-929X	Journal of Cognitive Neuroscience	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0955-792X	Journal of Logic and Computation (Print)	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
0007-1773	Journal of the British Society for Phenomenology	A2	FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA	Atualizado
