"ConfCategoryID","DomainID","SubDomainID"
"1","2","0"
"2","2","18"
"3","2","15"
"4","2","18"
"5","2","15"
"6","2","16"
"7","2","5"
"8","2","5"
"9","2","1"
"10","2","5"
"11","2","3"
"12","2","6"
"13","2","5"
"14","2","14"
"15","2","3"
"16","2","16"
"17","2","5"
"17","2","6"
"17","2","21"
"18","2","24"
"19","2","5"
"19","2","16"
"20","2","11"
"21","2","16"
"22","2","7"
"22","2","18"
"23","2","7"
"24","2","18"
"25","2","4"
"26","2","18"
"27","2","5"
"28","2","24"
"29","2","18"
"30","2","2"
"31","2","24"
"32","2","13"
"33","2","3"
"34","2","12"
"35","2","5"
"35","2","6"
"36","2","18"
"37","2","16"
"38","2","5"
"39","2","16"
"40","2","4"
"41","2","4"
"42","2","18"
"43","2","4"
"44","2","5"
"45","2","12"
"46","2","15"
"47","2","23"
"48","2","14"
"49","2","15"
"50","2","5"
"51","2","18"
"52","2","7"
"53","2","18"
"54","2","13"
"55","2","18"
"56","2","5"
"57","2","4"
"58","2","24"
"59","2","4"
"60","2","5"
"61","2","18"
"62","2","18"
"63","2","15"
"64","2","5"
"65","2","18"
"66","2","5"
"67","2","24"
"68","2","14"
"69","2","14"
"70","2","2"
"71","2","8"
"72","2","23"
"73","2","10"
"74","2","15"
"75","2","18"
"76","2","12"
"77","2","3"
"78","2","16"
"79","2","14"
"80","2","16"
"81","2","18"
"82","2","16"
"83","2","5"
"84","2","1"
"85","2","2"
"86","2","3"
"87","2","4"
"87","2","24"
"88","2","5"
"89","2","3"
"90","2","10"
"91","2","5"
"92","2","3"
"93","2","14"
"94","2","18"
"95","2","16"
"95","2","19"
"96","2","3"
"97","2","3"
"98","2","1"
"98","2","22"
"99","2","4"
"100","2","1"
"101","2","4"
"102","2","12"
"103","2","12"
"104","2","8"
"105","2","18"
"106","2","4"
"107","2","18"
"108","2","4"
"109","2","18"
"110","2","4"
"110","2","24"
"111","2","14"
"112","2","16"
"113","2","18"
"114","2","18"
"115","2","8"
"116","2","5"
"117","2","24"
"118","2","18"
"119","2","16"
"120","2","7"
"121","2","12"
"122","2","5"
"123","2","1"
"124","2","14"
"125","2","5"
"126","2","0"
"127","2","5"
"128","2","18"
"129","2","15"
"130","2","9"
"131","2","1"
"132","2","16"
"133","2","16"
"134","2","19"
"135","2","4"
"135","2","24"
"136","2","1"
"137","2","24"
"138","2","1"
"139","2","18"
"140","2","24"
"141","2","4"
"141","2","24"
"142","2","24"
"143","2","1"
"144","2","24"
"145","2","5"
"146","2","24"
"147","2","22"
"148","2","5"
"149","2","14"
"150","2","6"
"151","2","12"
"152","2","14"
"153","2","24"
"154","2","12"
"155","2","24"
"156","2","21"
"157","2","4"
"158","2","1"
"159","2","18"
"160","2","13"
"161","2","3"
"162","2","3"
"163","2","16"
"164","2","13"
"165","2","6"
"165","2","7"
"166","2","6"
"167","2","13"
"168","2","14"
"169","2","13"
"170","2","14"
"171","2","4"
"172","2","14"
"173","2","5"
"174","2","4"
"174","2","24"
"175","2","20"
"176","2","23"
"177","2","5"
"178","2","16"
"179","2","3"
"180","2","18"
"181","2","6"
"182","2","6"
"183","2","2"
"184","2","14"
"185","2","18"
"186","2","18"
"187","2","6"
"187","2","9"
"188","2","9"
"188","2","18"
"189","2","9"
"190","2","5"
"191","2","14"
"191","2","17"
"192","2","18"
"193","2","18"
"194","2","2"
"195","2","18"
"196","2","4"
"196","2","24"
"197","2","4"
"197","2","24"
"198","2","17"
"199","2","16"
"200","2","3"
"200","2","16"
"201","2","16"
"202","2","24"
"203","2","20"
"204","2","7"
"205","2","4"
"206","2","18"
"207","2","16"
"208","2","16"
"209","2","4"
"210","2","16"
"211","2","16"
"212","2","16"
"213","2","24"
"214","2","16"
"215","2","24"
"216","2","14"
"217","2","7"
"217","2","18"
"217","2","24"
"218","2","2"
"219","2","7"
"220","2","24"
"221","2","24"
"222","2","16"
"223","2","18"
"224","2","14"
"225","2","24"
"226","2","18"
"228","2","24"
"229","2","16"
"230","2","16"
"230","2","22"
"231","2","5"
"232","2","5"
"233","2","14"
"234","2","10"
"235","2","15"
"236","2","5"
"237","2","12"
"238","2","4"
"239","2","1"
"240","2","0"
"241","2","18"
"242","2","18"
"243","2","5"
"244","2","5"
"245","2","3"
"246","2","4"
"246","2","24"
"247","2","19"
"248","2","19"
"249","2","18"
"250","2","19"
"251","2","5"
"252","2","24"
"253","2","1"
"254","2","5"
"255","2","5"
"256","2","12"
"257","2","0"
"258","2","11"
"259","2","2"
"260","2","9"
"261","2","18"
"262","2","23"
"263","2","0"
"264","2","16"
"265","2","2"
"266","2","3"
"267","2","1"
"267","2","3"
"267","2","16"
"268","2","24"
"269","2","18"
"270","2","18"
"271","2","18"
"272","2","18"
"273","2","1"
"274","2","18"
"275","2","24"
"276","2","18"
"277","2","5"
"278","2","2"
"279","2","18"
"280","2","24"
"281","2","1"
"282","2","18"
"283","2","16"
"284","2","5"
"285","2","1"
"286","2","5"
"287","2","5"
"288","2","5"
"289","2","14"
"290","2","5"
"290","2","22"
"291","2","24"
"292","2","24"
"293","2","1"
"294","2","4"
"295","2","13"
"296","2","11"
"297","2","20"
"298","2","4"
"298","2","24"
"299","2","21"
"300","2","24"
"301","2","24"
"302","2","18"
"303","2","1"
"304","2","4"
"305","2","15"
"306","2","16"
"307","2","18"
"308","2","4"
"308","2","24"
"309","2","2"
"310","2","1"
"311","2","1"
"311","2","17"
"311","2","19"
"312","2","3"
"313","2","3"
"313","2","17"
"314","2","12"
"315","2","5"
"316","2","14"
"317","2","3"
"318","2","5"
"319","2","12"
"320","2","13"
"321","2","12"
"322","2","13"
"323","2","1"
"324","2","4"
"325","2","2"
"326","2","2"
"327","2","2"
"327","2","4"
"328","2","1"
"328","2","6"
"328","2","21"
"329","2","3"
"330","2","4"
"331","2","14"
"332","2","2"
"333","2","3"
"334","2","5"
"335","2","4"
"336","2","18"
"337","2","5"
"338","2","16"
"339","2","5"
"340","2","11"
"341","2","18"
"342","2","4"
"342","2","24"
"343","2","16"
"344","2","9"
"345","2","4"
"346","2","14"
"347","2","4"
"348","2","14"
"349","2","7"
"350","2","4"
"351","2","5"
"352","2","18"
"353","2","2"
"354","2","2"
"355","2","4"
"356","2","4"
"357","2","4"
"358","2","4"
"359","2","18"
"360","2","15"
"360","2","18"
"361","2","4"
"362","2","5"
"363","2","4"
"364","2","24"
"365","2","10"
"366","2","10"
"367","2","24"
"368","2","8"
"369","2","14"
"369","2","17"
"370","2","18"
"371","2","17"
"373","2","14"
"374","2","13"
"375","2","1"
"376","2","14"
"377","2","4"
"378","2","1"
"379","2","1"
"380","2","4"
"381","2","17"
"382","2","16"
"383","2","16"
"384","2","8"
"385","2","4"
"386","2","16"
"387","2","18"
"388","2","18"
"389","2","4"
"390","2","1"
"391","2","4"
"392","2","1"
"393","2","12"
"394","2","1"
"395","2","14"
"396","2","5"
"397","2","4"
"398","2","1"
"399","2","1"
"400","2","12"
"401","2","18"
"402","2","4"
"403","2","5"
"404","2","16"
"405","2","18"
"406","2","13"
"407","2","18"
"408","2","18"
"409","2","14"
"410","2","4"
"411","2","4"
"411","2","23"
"412","2","18"
"413","2","11"
"414","2","1"
"415","2","1"
"416","2","24"
"417","2","5"
"418","2","1"
"419","2","1"
"419","2","3"
"420","2","1"
"420","2","3"
"421","2","16"
"422","2","8"
"423","2","16"
"424","2","9"
"425","2","7"
"426","2","1"
"427","2","5"
"427","2","6"
"428","2","12"
"428","2","14"
"429","2","4"
"429","2","24"
"430","2","12"
"431","2","12"
"432","2","5"
"433","2","5"
"434","2","14"
"435","2","12"
"436","2","1"
"437","2","4"
"437","2","24"
"438","2","4"
"438","2","24"
"439","2","18"
"440","2","0"
"441","2","2"
"442","2","17"
"443","2","15"
"444","2","10"
"444","2","21"
"445","2","12"
"446","2","18"
"447","2","16"
"448","2","18"
"449","2","12"
"450","2","18"
"451","2","10"
"452","2","10"
"453","2","13"
"454","2","10"
"455","2","10"
"456","2","24"
"457","2","13"
"458","2","18"
"459","2","3"
"460","2","3"
"461","2","10"
"462","2","4"
"463","2","10"
"464","2","10"
