"CJourID","DomainID","SubDomainID"
"1","2","4"
"2","2","5"
"3","2","0"
"4","2","0"
"5","2","4"
"6","2","21"
"7","2","14"
"8","2","0"
"9","2","14"
"10","2","5"
"11","2","0"
"12","2","18"
"13","2","16"
"14","2","5"
"15","2","15"
"16","2","14"
"17","2","4"
"18","2","0"
"19","2","2"
"20","2","1"
"21","2","21"
"22","2","7"
"22","2","18"
"23","2","11"
"23","2","22"
"24","2","14"
"25","2","6"
"26","2","16"
"26","2","17"
"27","2","4"
"28","2","3"
"29","2","10"
"30","2","1"
"30","15","0"
"31","2","11"
"32","2","10"
"33","2","18"
"35","2","0"
"35","15","3"
"36","2","0"
"37","2","19"
"39","2","0"
"40","2","1"
"41","2","4"
"42","2","2"
"43","2","7"
"43","2","8"
"43","15","0"
"44","2","2"
"45","2","8"
"46","2","7"
"46","2","8"
"47","2","8"
"48","2","8"
"48","2","9"
"49","2","0"
"50","2","18"
"51","2","8"
"52","2","4"
"52","2","15"
"53","2","4"
"53","2","15"
"54","2","1"
"55","2","1"
"56","2","5"
"57","2","7"
"58","2","5"
"59","2","5"
"60","2","5"
"61","2","12"
"62","2","14"
"63","2","0"
"64","2","8"
"65","2","6"
"66","2","4"
"67","2","5"
"68","2","1"
"70","2","0"
"72","2","18"
"73","2","1"
"74","2","12"
"74","6","22"
"75","2","12"
"75","6","22"
"76","2","20"
"77","2","5"
"78","6","14"
"79","2","24"
"80","2","4"
"81","2","5"
"82","2","1"
"82","2","5"
"83","2","15"
"84","2","15"
"85","2","15"
"87","2","0"
"88","2","0"
"89","2","0"
"90","2","1"
"91","2","1"
"92","2","1"
"92","15","0"
"93","2","5"
"94","2","24"
"95","2","5"
"96","2","3"
"96","2","17"
"96","2","19"
"97","2","1"
"97","15","6"
"97","15","7"
"98","2","1"
"98","15","4"
"99","2","12"
"100","2","23"
"100","22","13"
"101","2","0"
"102","2","1"
"102","2","22"
"103","2","14"
"104","2","0"
"105","2","2"
"106","2","2"
"107","2","18"
"108","2","0"
"109","2","1"
"110","2","23"
"111","2","7"
"111","2","15"
"113","2","1"
"114","2","5"
"115","2","24"
"116","2","24"
"117","2","1"
"118","2","16"
"119","2","5"
"120","2","0"
"121","2","0"
"123","2","24"
"124","2","1"
"125","2","1"
"126","2","6"
"127","2","1"
"128","2","24"
"129","2","4"
"130","2","16"
"131","2","24"
"132","2","9"
"133","2","0"
"134","2","5"
"135","2","4"
"136","2","22"
"137","2","22"
"137","15","0"
"138","2","4"
"139","2","4"
"140","2","0"
"141","2","8"
"142","2","0"
"143","2","0"
"144","2","12"
"145","2","10"
"146","2","15"
"147","2","1"
"147","2","22"
"148","2","18"
"149","2","1"
"150","2","18"
"151","2","7"
"151","2","18"
"152","2","7"
"153","2","18"
"155","2","5"
"156","2","5"
"157","2","6"
"158","2","24"
"159","2","8"
"159","22","12"
"160","2","9"
"161","2","22"
"162","2","4"
"163","2","24"
"164","2","22"
"165","2","11"
"166","2","0"
"167","2","1"
"167","15","0"
"168","2","1"
"169","2","1"
"170","2","1"
"171","2","5"
"172","7","13"
"173","2","14"
"174","2","20"
"175","2","12"
"176","2","13"
"177","2","13"
"178","2","1"
"178","2","22"
"180","2","14"
"181","2","14"
"182","2","14"
"183","2","6"
"184","2","1"
"184","2","22"
"185","2","13"
"186","2","0"
"188","4","10"
"188","5","19"
"189","2","14"
"189","2","18"
"190","2","17"
"192","2","16"
"193","2","18"
"194","2","16"
"195","2","16"
"196","2","6"
"197","2","0"
"198","2","14"
"198","2","17"
"199","2","24"
"200","2","24"
"201","2","0"
"202","2","14"
"203","2","1"
"203","15","4"
"203","15","12"
"204","2","19"
"205","2","4"
"207","2","0"
"208","2","5"
"209","2","0"
"210","2","0"
"211","2","0"
"213","2","18"
"215","2","24"
"216","2","0"
"218","2","9"
"219","2","1"
"220","2","12"
"221","2","16"
"221","2","17"
"222","2","18"
"223","2","3"
"224","2","19"
"225","2","10"
"226","2","4"
"227","2","1"
"227","2","5"
"228","2","1"
"229","2","0"
"230","2","5"
"231","2","5"
"232","2","5"
"233","2","5"
"234","2","1"
"235","2","1"
"236","2","0"
"237","2","1"
"237","15","0"
"238","2","4"
"239","2","5"
"240","2","1"
"240","2","5"
"240","2","22"
"241","2","1"
"241","15","0"
"242","2","5"
"243","2","5"
"244","2","5"
"244","6","0"
"245","2","5"
"246","2","5"
"247","2","4"
"248","1","0"
"249","2","0"
"250","2","8"
"251","2","7"
"253","2","18"
"254","2","20"
"255","2","0"
"256","2","4"
"257","2","4"
"258","2","4"
"259","2","4"
"260","2","4"
"261","2","4"
"265","2","4"
"266","2","4"
"267","2","14"
"268","2","0"
"269","2","1"
"270","2","1"
"271","2","1"
"271","15","4"
"273","2","10"
"274","2","7"
"274","2","18"
"275","2","14"
"276","2","0"
"277","2","7"
"277","2","15"
"278","2","21"
"279","2","1"
"279","2","4"
"280","2","21"
"281","2","0"
"282","2","16"
"283","2","2"
"283","15","5"
"284","6","14"
"284","6","22"
"285","2","22"
"286","2","0"
"286","15","3"
"286","15","7"
"286","15","8"
"286","15","11"
"287","2","1"
"287","15","0"
"288","2","15"
"289","7","13"
"290","2","1"
"290","2","22"
"291","2","1"
"291","2","22"
"292","2","1"
"293","2","3"
"294","2","14"
"295","2","14"
"296","2","10"
"297","2","0"
"298","2","17"
"298","2","24"
"299","2","22"
"300","2","12"
"301","2","4"
"302","2","12"
"303","2","0"
"304","2","17"
"305","2","1"
"306","2","5"
"307","2","4"
"309","2","1"
"310","2","8"
"311","2","18"
"312","2","18"
"313","2","18"
"314","2","18"
"315","2","0"
"316","2","22"
"318","2","1"
"318","2","22"
"319","2","11"
"319","2","22"
"320","2","16"
"321","2","15"
"322","2","15"
"323","2","18"
"324","2","4"
"324","2","11"
"325","2","1"
"325","2","22"
"326","2","5"
"327","2","15"
"328","2","4"
"329","2","1"
"330","2","14"
"330","2","22"
"331","2","18"
"331","10","0"
"333","2","0"
"334","2","0"
"335","2","1"
"335","2","22"
"336","2","5"
"337","2","1"
"337","2","14"
"338","2","15"
"339","2","0"
"340","2","18"
"341","2","2"
"342","2","0"
"343","2","0"
"345","2","0"
"346","2","11"
"347","2","1"
"348","2","0"
"349","2","5"
"350","2","0"
"350","15","4"
"350","15","12"
"351","2","7"
"352","2","16"
"353","2","1"
"353","15","0"
"354","2","14"
"355","2","1"
"356","2","4"
"357","2","4"
"358","2","23"
"358","22","13"
"359","2","5"
"360","2","0"
"361","2","0"
"362","2","9"
"363","2","16"
"364","2","13"
"365","7","16"
"366","2","5"
"367","2","0"
"368","2","4"
"368","2","5"
"369","2","9"
"370","2","20"
"371","2","10"
"372","2","0"
"373","2","11"
