,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/3dgis,3D Geoinformation Systems,,3D-GIS,
conf/3dic,3D System Integration,,3DIC,20.0
conf/3dica,Three-Dimensional Image Capture and Applications,,,
conf/3dim,3D Vision,,3DV,
conf/3dor,3D Object Retrieval,,3DOR,
conf/3dph,3D Physiological Human Workshop,,3DPH,
conf/3dpvt,3D Data Processing Visualization and Transmission,,3DPVT,
conf/3dtv,3DTV Conference,,3DTV,10.0
conf/3dui,3D User Interfaces,,3DUI,15.0
conf/3pgcic,"P2P, Parallel, Grid, Cloud and Internet Computing",,3PGCIC,9.0
conf/ACISicis,International Conference on Computer and Information Science,,ICIS,13.0
conf/ACMace,Advances in Computer Entertainment Technology,,ACE,12.0
conf/ACMdis,Designing Interactive Systems,,DIS,17.0
conf/ACMicec,International Conference on Electronic Commerce,,ICEC,7.0
conf/ACMmsp,Memory System Performance,,MSP,
conf/ACMpolicy,ACM Policy,,,
conf/ACMse,ACM Southeast Regional Conference,,,
conf/Dstep,STeSoftware Technologies and Processes,,STeP,
conf/EUprojects,EU Projects,,,
conf/IEEEants,Advanced Networks and Telecommuncations Systems,,ANTS,
conf/IEEEares,"Availability, Reliability and Security",,ARES,20.0
conf/IEEEcca,Conference on Control Applications,,CCA,16.0
conf/IEEEcgiv,"Computer Graphics, Imaging and Visualization",,CGIV,9.0
conf/IEEEcit,Computer and Information Technology,,CIT,19.0
conf/IEEEcloud,International Conference on Cloud Computing,,CLOUD,42.0
conf/IEEEcsa,Computer Science and its Applications,,CSA,8.0
conf/IEEEcsc,Cloud and Service Computing,,CSC,8.0
conf/IEEEias,Information Assurance and Security,,IAS,14.0
conf/IEEEicci,ICCI*International Conference on Cognitive Informatics and Cognitive Computing,,ICCI*CC,
conf/IEEEinteract,Workshop on Interaction between Compilers and Computer Architectures,,INTERACT,24.0
conf/IEEEpact,International Conference on Parallel Architectures and Compilation Techniques,,PACT,32.0
conf/IEEEscc,International Conference on Services Computing,,SCC,25.0
conf/ISCAicis,International Conference on Intelligent Systems,,ICIS,15.0
conf/ISCApdcs,Parallel and Distributed Computing Systems (ISCA),,PDCS,
conf/ITGspeech,ITG Conference on Speech Communication,,,
conf/Lsystems,L systems,,,
conf/RelMiCS,RelMiRelational Methods in Computer Science,,RelMiCS,
conf/a2cwic,A2CWiAmrita ACM-W Celebration on Women in Computing in India,,A2CWiC,
conf/aPcsac,Asia-Pacific Computer Systems Architecture Conference,,ACSAC,
conf/aaa-idea,Advanced Architectures and Algorithms for Internet Delivery and Applications,,AAA-IDEA,
conf/aaai,National Conference on Artificial Intelligence,,AAAI,37.0
conf/aaaifs,AAAI Fall Symposia,,,
conf/aaaiss,AAAI Spring Symposia,,,20.0
conf/aacc,Asian Applied Computing Conference,,AACC,
conf/aadebug,Automated and Algorithmic Debugging,,AADEBUG,
conf/aadios,Algebraic and Algorithmic Aspects of Differential and Integral Operators,,AADIOS,
conf/aaecc,"Applied Algebra, Algebraic Algorithms and Error-Correcting Codes",,AAECC,
conf/aafd,Apprentissage Artificiel et Fouille de Données,,AAFD,
conf/aaim,Algorithmic Applications in Management,,AAIM,9.0
conf/aaip,Approaches and Applications of Inductive Programming,,AAIP,
conf/aamas,Adaptive Agents and Multi-Agent Systems,,AAMAS,
conf/ab,Algebraic Biology,,AB,2.0
conf/abials,ABiAnticipatory Behavior in Adaptive Learning Systems,,ABiALS,
conf/abict,Advances in Business ICT,,ABICT,
conf/abp,Automatische Bewertung von Programmieraufgaben,,ABP,
conf/ac,Advanced Courses,,AC,22.0
conf/acai,Advances in Computing and Artificial Intelligence,,ACAI,
