Key,ShortName,Name,HIndex,Qualis
dblp:conf/stoc,STOC (C),,100,A1
dblp:conf/focs,FOCS (C),,94,A1
dblp:journals/cacm,CACM (J),,,A1
dblp:conf/nips,NIPS (C),,88,A1
dblp:conf/aaai,AAAI (C),,93,A1
dblp:conf/cvpr,CVPR (C),,167,A1
dblp:journals/siamcomp,SIAMCOMP (J),,,A1
dblp:conf/icra,ICRA (C),,116,A1
dblp:conf/soda,SODA (C),,85,A1
dblp:conf/ijcai,IJCAI (C),,90,A1
dblp:conf/sigmod,SIGMOD (C),,151,A1
dblp:journals/tog,TOG (J),,,A1
dblp:journals/jacm,JACM (J),,,A1
dblp:conf/infocom,INFOCOM (C),,204,A1
dblp:conf/icde,ICDE (C),,113,A1
dblp:conf/dac,DAC (C),,102,A1
dblp:journals/tc,TC (J),,,A1
dblp:conf/ipps,IPPS (C),,71,A1
dblp:journals/tcs,TCS (J),,,A1
dblp:conf/isca,ISCA (C),,110,A1
dblp:conf/chi,CHI (C),,147,A1
dblp:journals/jcss,JCSS (J),,,A2
dblp:conf/iccv,ICCV (C),,120,A1
dblp:journals/pami,PAMI (J),,,A1
dblp:conf/icml,ICML (C),,124,A1
dblp:conf/vldb,VLDB (C),,,A1
dblp:journals/computer,COMPUTER (J),,,
dblp:conf/compgeom,COMPGEOM (C),,,A2
dblp:journals/tcad,TCAD (J),,,A1
dblp:conf/sigcomm,SIGCOMM (C),,145,A1
dblp:journals/eccc,ECCC (J),,,
dblp:conf/icip,ICIP (C),,69,A1
dblp:conf/popl,POPL (C),,89,A1
dblp:journals/ipl,IPL (J),,,A2
dblp:conf/siggraph,SIGGRAPH (C),,,A2
dblp:journals/ai,AI (J),,,A1
dblp:conf/uai,UAI (C),,70,A1
dblp:conf/icdcs,ICDCS (C),,78,A1
dblp:conf/sc,SC (C),,76,A1
dblp:conf/podc,PODC (C),,61,A1
dblp:conf/kdd,KDD (C),,133,A1
dblp:conf/icalp,ICALP (C),,61,A1
dblp:journals/iandc,IANDC (J),,,A2
dblp:journals/sigmod,SIGMOD (J),,,A1
dblp:conf/iccad,ICCAD (C),,75,A1
dblp:journals/tse,TSE (J),,,A1
dblp:conf/miccai,MICCAI (C),,56,A1
qualis:j/0178-4617_algorithmica,Algorithmica,,,A2
dblp:journals/tit,TIT (J),,,A1
dblp:conf/sigmetrics,SIGMETRICS (C),,73,A1
dblp:journals/ijcv,IJCV (J),,,A1
dblp:conf/pldi,PLDI (C),,98,A1
dblp:conf/eccv,ECCV (C),,95,A1
dblp:journals/jpdc,JPDC (J),,,A2
dblp:journals/iacr,IACR (J),,,
dblp:conf/icpp,ICPP (C),,42,A2
dblp:journals/tpds,TPDS (J),,,A1
dblp:conf/ccs,CCS (C),,100,A1
dblp:conf/www,WWW (C),,145,A1
dblp:conf/asplos,ASPLOS (C),,72,A1
dblp:conf/icse,ICSE (C),,117,A1
dblp:conf/acl,ACL (C),,110,A1
dblp:conf/mm,MM (C),,,A1
dblp:journals/tkde,TKDE (J),,,A1
dblp:conf/cikm,CIKM (C),,85,A1
dblp:journals/entcs,ENTCS (J),,,B1
dblp:journals/ton,TON (J),,,A1
dblp:conf/oopsla,OOPSLA (C),,76,A1
dblp:conf/sosp,SOSP (C),,71,A1
dblp:journals/toplas,TOPLAS (J),,,A2
dblp:conf/rtss,RTSS (C),,57,A1
dblp:journals/jmlr,JMLR (J),,,A1
dblp:conf/icmcs,ICMCS (C),,6,B3
dblp:conf/spaa,SPAA (C),,46,A2
dblp:journals/cn,CN (J),,,A1
dblp:conf/crypto,CRYPTO (C),,92,A1
dblp:conf/dagstuhl,DAGSTUHL (C),,,
dblp:conf/mobicom,MOBICOM (C),,112,A1
dblp:journals/ccr,CCR (J),,,A1
dblp:journals/ijrr,IJRR (J),,,A1
dblp:conf/iros,IROS (C),,58,A1
dblp:conf/colt,COLT (C),,46,A2
dblp:journals/aim,AIM (J),,,A2
dblp:journals/tocs,TOCS (J),,,A2
dblp:journals/dcg,DCG (J),,,B1
dblp:conf/sensys,SENSYS (C),,86,A1
dblp:journals/debu,DEBU (J),,,
dblp:conf/icdm,ICDM (C),,77,A1
dblp:journals/jsac,JSAC (J),,,A1
dblp:conf/ics,ICS (C),,52,A2
dblp:conf/sigcse,SIGCSE (C),,53,A2
dblp:conf/sp,SP (C),,,B1
dblp:conf/cav,CAV (C),,82,A1
dblp:conf/ppopp,PPOPP (C),,53,A2
dblp:conf/pods,PODS (C),,69,A1
dblp:journals/jal,JAL (J),,,A2
dblp:journals/tvcg,TVCG (J),,,A1
dblp:conf/sigir,SIGIR (C),,122,A1
dblp:journals/bioinformatics,BIOINFORMATICS (J),,,A1
dblp:journals/ml,ML (J),,,A1
dblp:conf/hpca,HPCA (C),,73,A1
dblp:conf/nsdi,NSDI (C),,69,A1
dblp:journals/micro,MICRO (J),,,A1
dblp:conf/interspeech,INTERSPEECH (C),,80,A1
dblp:conf/ipsn,IPSN (C),,88,A1
dblp:journals/csur,CSUR (J),,,A1
dblp:conf/ifip,IFIP (C),,,
dblp:conf/micro,MICRO (C),,86,A1
dblp:conf/lics,LICS (C),,52,A2
dblp:conf/sigecom,SIGECOM (C),,,
dblp:journals/spe,SPE (J),,,A2
dblp:journals/sigops,SIGOPS (J),,,B1
dblp:conf/atal,ATAL (C),,,
dblp:conf/iccd,ICCD (C),,41,A2
dblp:conf/naacl,NAACL (C),,73,A1
dblp:conf/usenix,USENIX (C),,67,A1
dblp:conf/recomb,RECOMB (C),,54,A2
dblp:conf/osdi,OSDI (C),,76,A1
dblp:journals/pvldb,PVLDB (J),,,A1
dblp:journals/tods,TODS (J),,,A2
dblp:conf/isbi,ISBI (C),,34,B1
dblp:conf/cccg,CCCG (C),,19,B2
dblp:conf/si3d,SI3D (C),,,
dblp:journals/comgeo,COMGEO (J),,,
dblp:conf/lcpc,LCPC (C),,9,B4
dblp:conf/hpdc,HPDC (C),,62,A1
dblp:conf/sac,SAC (C),,61,A1
dblp:journals/cgf,CGF (J),,,A2
dblp:conf/sigsoft,SIGSOFT (C),,,
dblp:conf/itc,ITC (C),,62,A1
dblp:conf/icnp,ICNP (C),,65,A1
dblp:conf/dsn,DSN (C),,65,A1
dblp:journals/tip,TIP (J),,,A1
dblp:journals/cga,CGA (J),,,A2
dblp:conf/hicss,HICSS (C),,97,A1
dblp:conf/srds,SRDS (C),,40,A2
dblp:conf/uist,UIST (C),,77,A1
dblp:conf/coco,COCO (C),,,
dblp:conf/iptps,IPTPS (C),,63,A1
dblp:conf/wdag,WDAG (C),,,
dblp:journals/concurrency,CONCURRENCY (J),,,
dblp:journals/mst,MST (J),,,B2
dblp:conf/IEEEpact,IEEEPACT (C),,,
dblp:conf/emnlp,EMNLP (C),,72,A1
dblp:journals/comcom,COMCOM (J),,,A2
dblp:journals/pc,PC (J),,,A2
dblp:conf/rt,RT (C),,,
dblp:conf/approx,APPROX (C),,31,B1
dblp:conf/fsttcs,FSTTCS (C),,33,B1
dblp:conf/cdc,CDC (C),,30,B1
dblp:conf/birthday,BIRTHDAY (C),,,
dblp:conf/rtas,RTAS (C),,42,A2
dblp:conf/ndss,NDSS (C),,64,A1
dblp:conf/sigopsE,SIGOPSE (C),,,
dblp:conf/iscas,ISCAS (C),,159,A1
dblp:conf/percom,PERCOM (C),,54,A2
dblp:journals/jair,JAIR (J),,,A1
dblp:conf/visualization,VISUALIZATION (C),,,
dblp:conf/icassp,ICASSP (C),,84,A1
dblp:conf/imc,IMC (C),,93,A1
dblp:conf/globecom,GLOBECOM (C),,90,A1
dblp:conf/edbt,EDBT (C),,52,A2
dblp:journals/dc,DC (J),,,B1
dblp:conf/esa,ESA (C),,46,A2
dblp:conf/icc,ICC (C),,53,A2
dblp:conf/fpga,FPGA (C),,53,A2
dblp:conf/sdm,SDM (C),,51,A2
dblp:journals/winet,WINET (J),,,A1
dblp:conf/tacas,TACAS (C),,68,A1
dblp:conf/cade,CADE (C),,41,A2
dblp:conf/ppsc,PPSC (C),,6,B4
dblp:conf/islped,ISLPED (C),,66,A1
dblp:conf/hotos,HOTOS (C),,44,A2
dblp:conf/uss,USS (C),,,
dblp:conf/eurocrypt,EUROCRYPT (C),,97,A1
dblp:conf/mobisys,MOBISYS (C),,66,A1
dblp:conf/date,DATE (C),,79,A1
dblp:conf/acsac,ACSAC (C),,63,A1
dblp:conf/pvm,PVM (C),,,
dblp:journals/jcb,JCB (J),,,A1
dblp:journals/ijpp,IJPP (J),,,B2
dblp:conf/dcc,DCC (C),,45,A2
dblp:conf/concur,CONCUR (C),,50,A2
dblp:journals/bmcbi,BMCBI (J),,,A1
dblp:journals/monet,MONET (J),,,A2
