Key,NameAZList,ShortNameAZList
econpapers:article/abphehehe,História Econômica & História de Empresas,HEHEHE
econpapers:article/adranecst,Annales d'Economie et de Statistique,ANECST
econpapers:article/aeaaecrev,American Economic Review,AECREV
econpapers:article/aeaaejapp,American Economic Journal: Applied Economics,AEJAPP
econpapers:article/aeaaejmac,American Economic Journal: Macroeconomics,AEJMAC
econpapers:article/aeaaejmic,American Economic Journal: Microeconomics,AEJMIC
econpapers:article/aeaaejpol,American Economic Journal: Economic Policy,AEJPOL
econpapers:article/aeajeclit,Journal of Economic Literature,JECLIT
econpapers:article/aeajecper,Journal of Economic Perspectives,JECPER
econpapers:article/aenjournl,The Energy Journal,JOURNL
econpapers:article/aeqaeqaeq,Applied Economics Quarterly (formerly: Konjunkturpolitik),AEQAEQ
econpapers:article/aeqaeqsjb,Schmollers Jahrbuch : Journal of Applied Social Science Studies / Zeitschrift für Wirtschafts- und Sozialwissenschaften,AEQSJB
econpapers:article/aesamfeco,The AMFITEATRU ECONOMIC journal,AMFECO
econpapers:article/afccliome,"Cliometrica, Journal of Historical Economics and Econometric History",CLIOME
econpapers:article/afcecosoc,Economies et Sociétés (Serie 'Histoire Economique Quantitative'),ECOSOC
econpapers:article/afjjournl,The African Finance Journal,JOURNL
econpapers:article/agrjournl,Theoretical and Applied Economics,JOURNL
econpapers:article/agsaaeach,Choices,AAEACH
econpapers:article/agsaareaj,Australian Journal of Agricultural and Resource Economics,AAREAJ
econpapers:article/agsaergaa,Agricultural Economics Review,AERGAA
econpapers:article/agsafbmau,AFBM Journal,AFBMAU
econpapers:article/agsafjare,African Journal of Agricultural and Resource Economics,AFJARE
econpapers:article/agsajaeap,American Journal of Agricultural Economics Appendices,AJAEAP
econpapers:article/agsajaeau,Australian Journal of Agricultural Economics,AJAEAU
econpapers:article/agsaolpei,AGRIS on-line Papers in Economics and Informatics,AOLPEI
econpapers:article/agsapstra,APSTRACT: Applied Studies in Agribusiness and Commerce,APSTRA
econpapers:article/agsarerjl,Agricultural and Resource Economics Review,ARERJL
econpapers:article/agsasagre,Asian Agricultural Research,ASAGRE
econpapers:article/agsauagre,Australasian Agribusiness Review,AUAGRE
econpapers:article/agscafric,"CAFRI: Current Agriculture, Food and Resource Issues",CAFRIC
econpapers:article/agsearnsa,Economia Agraria y Recursos Naturales,EARNSA
econpapers:article/agsecjilt,Estey Centre Journal of International Law and Trade Policy,ECJILT
econpapers:article/agsejadef,eJADE: electronic Journal of Agricultural and Development Economics,EJADEF
econpapers:article/agsfabtho,Farm and Business - The Journal of The Caribbean Agro-Economic Society,FABTHO
econpapers:article/agsfrcagl,AgLetter: the agricultural newsletter from the Federal Reserve Bank of Chicago,FRCAGL
econpapers:article/agsfrisst,Food Research Institute Studies,FRISST
econpapers:article/agsifaamr,International Food and Agribusiness Management Review,IFAAMR
econpapers:article/agsiuppap,Increasing Understanding of Public Problems and Policies,IUPPAP
econpapers:article/agsjasfmr,Journal of the ASFMRA,JASFMR
econpapers:article/agsjlaare,Journal of Agricultural and Resource Economics,JLAARE
econpapers:article/agsjlcoop,Journal of Cooperatives,JLCOOP
econpapers:article/agsjloagb,Journal of Agribusiness,JLOAGB
econpapers:article/agsjlofdr,Journal of Food Distribution Research,JLOFDR
econpapers:article/agsjoaaec,Journal of Agricultural and Applied Economics,JOAAEC
econpapers:article/agsjoagco,Journal of Agricultural Cooperation,JOAGCO
econpapers:article/agsjordng,Journal of Rural Development/Nongchon-Gyeongje,JORDNG
econpapers:article/agsjrapmc,Journal of Regional Analysis and Policy,JRAPMC
econpapers:article/agsluawrr,Land Use and Water Resources Research,LUAWRR
econpapers:article/agsmareec,,MAREEC
econpapers:article/agsnejare,Northeastern Journal of Agricultural and Resource Economics,NEJARE
econpapers:article/agsorarao,Organizacoes Rurais e Agroindustriais/Rural and Agro-Industrial Organizations,ORARAO
econpapers:article/agsrdecag,Brazilian Journal of Rural Economy and Sociology (RESR),RDECAG
econpapers:article/agsrdeeag,Revista de Economia e Agronegocio / Brazilian Review of Economics and Agribusiness,RDEEAG
econpapers:article/agsreapec,Review of Applied Economics,REAPEC
econpapers:article/agsremaae,Review of Marketing and Agricultural Economics,REMAAE
econpapers:article/agsremeag,Revista Mexicana de Agronegocios,REMEAG
econpapers:article/agssojoae,Southern Journal of Agricultural Economics,SOJOAE
econpapers:article/agsstagec,Studies in Agricultural Economics,STAGEC
econpapers:article/agsueraer,Agricultural Economics Research,UERAER
econpapers:article/agsuersaw,Amber Waves,UERSAW
econpapers:article/agsuersja,Journal of Agricultural Economics Research,UERSJA
econpapers:article/agsweecfo,Western Economics Forum,WEECFO
econpapers:article/agswjagec,Western Journal of Agricultural Economics,WJAGEC
econpapers:article/aheinvest,Investigaciones de Historia Económica (IHE) Journal of the Spanish Economic History Association,INVEST
econpapers:article/aiofpvfcf,Finante - provocarile viitorului (Finance - Challenges of the Future),FPVFCF
econpapers:article/ajearticl,Australasian Journal of Economics Education (AJEE),ARTICL
econpapers:article/anpeconom,Economia,ECONOM
econpapers:article/anrrefeco,Annual Review of Financial Economics,REFECO
econpapers:article/anrreseco,Annual Review of Resource Economics,RESECO
econpapers:article/anrreveco,Annual Review of Economics,REVECO
econpapers:article/aptjouiss,INRA Sciences Sociales,JOUISS
econpapers:article/asiaeafrj,Asian Economic and Financial Review,AEAFRJ
econpapers:article/asijoasrj,Journal of Asian Scientific Research,JOASRJ
econpapers:article/banbancar,BANCARIA,BANCAR
econpapers:article/bbzfcpbbr,Brazilian Business Review,FCPBBR
econpapers:article/bcabcarev,Bank of Canada Review,BCAREV
econpapers:article/bcrensayo,Ensayos Económicos,ENSAYO
econpapers:article/bejissued,Brazilian Electronic Journal of Economics,ISSUED
econpapers:article/besamstat,The American Statistician,AMSTAT
econpapers:article/besjnlasa,Journal of the American Statistical Association,JNLASA
econpapers:article/besjnlbes,Journal of Business & Economic Statistics,JNLBES
econpapers:article/bfrfisrev,Financial Stability Review,FISREV
econpapers:article/bicjournl,Baltic Journal of Economics,JOURNL
econpapers:article/binbpeajo,Brookings Papers on Economic Activity,BPEAJO
econpapers:article/binindiap,India Policy Forum,INDIAP
econpapers:article/bisbisqtr,BIS Quarterly Review,BISQTR
econpapers:article/blaabacus,Abacus,ABACUS
econpapers:article/blaacctfi,Accounting and Finance,ACCTFI
econpapers:article/blaafrdev,African Development Review,AFRDEV
econpapers:article/blaagecon,Agricultural Economics,AGECON
econpapers:article/blaajarec,Australian Journal of Agricultural and Resource Economics,AJAREC
econpapers:article/blaajecsc,American Journal of Economics and Sociology,AJECSC
econpapers:article/blaannpce,Annals of Public and Cooperative Economics,ANNPCE
econpapers:article/blaanzsta,Australian & New Zealand Journal of Statistics,ANZSTA
econpapers:article/blaapacel,Asian-Pacific Economic Literature,APACEL
econpapers:article/blaasiaec,Asian Economic Journal,ASIAEC
econpapers:article/blaasiapr,Asian Economic Policy Review,ASIAPR
econpapers:article/blaausecp,Australian Economic Papers,AUSECP
econpapers:article/blaausecr,Australian Economic Review,AUSECR
econpapers:article/blabrjirl,British Journal of Industrial Relations,BRJIRL
econpapers:article/blabuecrs,Bulletin of Economic Research,BUECRS
econpapers:article/blacanjag,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,CANJAG
econpapers:article/blachinae,China & World Economy,CHINAE
econpapers:article/blacoecpo,Contemporary Economic Policy,COECPO
econpapers:article/blacorgov,Corporate Governance: An International Review,CORGOV
econpapers:article/bladeveco,The Developing Economies,DEVECO
econpapers:article/bladevpol,Development Policy Review,DEVPOL
econpapers:article/blaecaffa,Economic Affairs,ECAFFA
econpapers:article/blaecgeog,Economic Geography,ECGEOG
econpapers:article/blaecinqu,Economic Inquiry,ECINQU
econpapers:article/blaecnote,Economic Notes,ECNOTE
econpapers:article/blaeconom,Economica,ECONOM
econpapers:article/blaeconpa,Economic Papers,ECONPA
econpapers:article/blaecopol,Economics and Politics,ECOPOL
econpapers:article/blaecorec,The Economic Record,ECOREC
econpapers:article/blaecpoli,Economic Policy,ECPOLI
econpapers:article/blaehsrev,Economic History Review,EHSREV
econpapers:article/blaetrans,The Economics of Transition,ETRANS
econpapers:article/blaeufman,European Financial Management,EUFMAN
econpapers:article/blaeurcho,EuroChoices,EURCHO
econpapers:article/blafinmgt,Financial Management,FINMGT
econpapers:article/blafinrev,The Financial Review,FINREV
econpapers:article/blageneva,The Geneva Papers on Risk and Insurance,GENEVA
econpapers:article/blagermec,German Economic Review,GERMEC
econpapers:article/blagrowch,Growth and Change,GROWCH
