	Name	Link	NPubs_list	NCits_list	ShortName
69	IEEE INFOCOM	/Conference/69/infocom-ieee-infocom	6555	190545	INFOCOM
38	International Conference on Robotics and Automation	/Conference/38/icra-international-conference-on-robotics-and-automation	17210	181825	ICRA
2771	International Conference on Acoustics, Speech, and Signal Processing	/Conference/2771/icassp-international-conference-on-acoustics-speech-and-signal-processing	30934	172334	ICASSP
838	Computer Vision and Pattern Recognition	/Conference/838/cvpr-computer-vision-and-pattern-recognition	7713	169965	CVPR
789	Computer Human Interaction	/Conference/789/chi-computer-human-interaction	8315	131916	CHI
610	Design Automation Conference	/Conference/610/dac-design-automation-conference	9030	123037	DAC
392	ACM Symposium on Theory of Computing	/Conference/392/stoc-acm-symposium-on-theory-of-computing	2885	121625	STOC
458	Very Large Data Bases	/Conference/458/vldb-very-large-data-bases	2720	120947	VLDB
64	International Joint Conference on Artificial Intelligence	/Conference/64/ijcai-international-joint-conference-on-artificial-intelligence	5322	114547	IJCAI
187	Neural Information Processing Systems	/Conference/187/nips-neural-information-processing-systems	4283	114213	NIPS
251	National Conference on Artificial Intelligence	/Conference/251/aaai-national-conference-on-artificial-intelligence	5401	112503	AAAI
1223	IEEE International Symposium on Circuits and Systems	/Conference/1223/iscas-ieee-international-symposium-on-circuits-and-systems	23067	108372	ISCAS
706	IEEE Symposium on Foundations of Computer Science	/Conference/706/focs-ieee-symposium-on-foundations-of-computer-science	3089	107482	FOCS
2819	Conference on Decision and Control	/Conference/2819/cdc-conference-on-decision-and-control	27624	102329	CDC
1563	Annual Conference on Computer Graphics	/Conference/1563/siggraph-annual-conference-on-computer-graphics	3479	101583	SIGGRAPH
20	International Conference on Computer Vision	/Conference/20/iccv-international-conference-on-computer-vision	2968	88112	ICCV
172	Mobile Computing and Networking	/Conference/172/mobicom-mobile-computing-and-networking	940	83914	MOBICOM
35	International Conference on Machine Learning	/Conference/35/icml-international-conference-on-machine-learning	2463	81658	ICML
1073	IEEE International Conference on Communications	/Conference/1073/icc-ieee-international-conference-on-communications	8280	78821	ICC
1589	Storage and Retrieval for Image and Video Databases	/Conference/1589/storage-and-retrieval-for-image-and-video-databases	6785	77378	
40	International Conference on Software Engineering	/Conference/40/icse-international-conference-on-software-engineering	4690	75027	ICSE
368	Research and Development in Information Retrieval	/Conference/368/sigir-research-and-development-in-information-retrieval	2719	72110	SIGIR
225	ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages	/Conference/225/popl-acm-sigplan-sigact-symposium-on-principles-of-programming-languages	1280	69683	POPL
120	Knowledge Discovery and Data Mining	/Conference/120/kdd-knowledge-discovery-and-data-mining	2064	69566	KDD
260	Meeting of the Association for Computational Linguistics	/Conference/260/acl-meeting-of-the-association-for-computational-linguistics	3217	68728	ACL
2821	International Conference on Intelligent RObots and Systems - IROS	/Conference/2821/iros-international-conference-on-intelligent-robots-and-systems-iros	11960	68197	IROS
22	International Conference on Data Engineering	/Conference/22/icde-international-conference-on-data-engineering	4015	67398	ICDE
370	International Conference on Management of Data	/Conference/370/sigmod-international-conference-on-management-of-data	2130	67029	SIGMOD
603	International Crytology Conference	/Conference/603/crypto-international-crytology-conference	1257	64773	CRYPTO
537	Biomedical Engineering	/Conference/537/biomed-biomedical-engineering	2262	64723	BioMED
736	Hawaii International Conference on System Sciences	/Conference/736/hicss-hawaii-international-conference-on-system-sciences	11755	62658	HICSS
11	International Conference on Computer Aided Design	/Conference/11/iccad-international-conference-on-computer-aided-design	2758	61455	ICCAD
526	World Wide Web Conference Series	/Conference/526/www-world-wide-web-conference-series	2921	60826	WWW
657	European Conference on Computer Vision	/Conference/657/eccv-european-conference-on-computer-vision	2142	58805	ECCV
96	International Symposium on Physical Design	/Conference/96/ispd-international-symposium-on-physical-design	2703	57770	ISPD
2133	International Symposium on Neural Networks	/Conference/2133/isnn-international-symposium-on-neural-networks	16642	55798	ISNN
1108	International Conference on Pattern Recognition	/Conference/1108/icpr-international-conference-on-pattern-recognition	9575	52906	ICPR
