Name	Link	NCits_list	NPubs_list	ShortName
Nucleic Acids Research	/Journal/188/nar-nucleic-acids-research	34615	281	NAR
Journal of Biological Chemistry	/Journal/1647/j-biol-chem-journal-of-biological-chemistry	81124	234	J BIOL CHEM
Annual Review of Biochemistry	/Journal/1430/annu-rev-biochem-annual-review-of-biochemistry	2524	226	ANNU REV BIOCHEM
Journal of Molecular Biology	/Journal/7737/j-mol-biol-journal-of-molecular-biology	32576	195	J MOL BIOL
Analytical Biochemistry	/Journal/1421/anal-biochem-analytical-biochemistry	25185	173	ANAL BIOCHEM
Chemical Reviews	/Journal/1964/chem-rev-chemical-reviews	4665	171	CHEM REV
Trends in Biochemical Sciences	/Journal/1825/trends-biochem-sci-trends-in-biochemical-sciences	6894	161	TRENDS BIOCHEM SCI
Biochemical and Biophysical Research Communications	/Journal/1452/biochem-biophys-res-commun-biochemical-and-biophysical-research-communications	73481	156	BIOCHEM BIOPHYS RES COMMUN
Biochemistry	/Journal/1462/biochemistry-usa-biochemistry	60006	156	BIOCHEMISTRY-USA
Febs Letters	/Journal/1601/febs-lett-febs-letters	49299	148	FEBS LETT
Journal of The American Chemical Society	/Journal/2083/j-am-chem-soc-journal-of-the-american-chemical-society	107702	145	J AM CHEM SOC
Angewandte Chemie-international Edition	/Journal/1885/angew-chem-int-ed-angewandte-chemie-international-edition	36914	140	ANGEW CHEM INT ED
Analytical Chemistry	/Journal/1880/anal-chem-analytical-chemistry	48694	135	ANAL CHEM
Free Radical Biology and Medicine	/Journal/1607/free-radical-biol-med-free-radical-biology-and-medicine	9889	130	FREE RADICAL BIOL MED
Journal of Virology	/Journal/7498/j-virol-journal-of-virology	15027	126	J VIROL
European Journal of Biochemistry	/Journal/1585/eur-j-biochem-european-journal-of-biochemistry	28366	123	EUR J BIOCHEM
Biomaterials	/Journal/6724/biomaterials	10865	116	
Proteins-structure Function and Bioinformatics	/Journal/1792/proteins-proteins-structure-function-and-bioinformatics	6028	113	PROTEINS
Archives of Biochemistry and Biophysics	/Journal/1435/arch-biochem-biophys-archives-of-biochemistry-and-biophysics	29189	108	ARCH BIOCHEM BIOPHYS
Biochemical Journal	/Journal/1455/biochem-j-biochemical-journal	7955	107	BIOCHEM J
Journal of Agricultural and Food Chemistry	/Journal/1260/j-agr-food-chem-journal-of-agricultural-and-food-chemistry	31357	105	J AGR FOOD CHEM
Accounts of Chemical Research	/Journal/1837/account-chem-res-accounts-of-chemical-research	3676	101	ACCOUNT CHEM RES
Biochimica Et Biophysica Acta-bioenergetics	/Journal/1443/bba-bioenergetics-biochimica-et-biophysica-acta-bioenergetics	9909	95	BBA-BIOENERGETICS
Pharmacology Biochemistry and Behavior	/Journal/8086/pharmacol-biochem-behav-pharmacology-biochemistry-and-behavior	13204	93	PHARMACOL BIOCHEM BEHAV
Journal of Computational Chemistry	/Journal/391/jcc-journal-of-computational-chemistry	5340	89	JCC
Journal of Cellular Biochemistry	/Journal/7722/j-cell-biochem-journal-of-cellular-biochemistry	7763	88	J CELL BIOCHEM
Electrophoresis	/Journal/2023/electrophoresis	9805	86	
Journal of Medicinal Chemistry	/Journal/2148/j-med-chem-journal-of-medicinal-chemistry	22828	85	J MED CHEM
Clinica Chimica Acta	/Journal/2873/clin-chim-acta-clinica-chimica-acta	17805	85	CLIN CHIM ACTA
The Journal of Physical Chemistry	/Journal/15120/the-journal-of-physical-chemistry	42897	84	
Mutation Research-fundamental and Molecular Mechanisms of Mutagenesis	/Journal/7775/mutat-res-fundam-mol-mech-mut-mutation-research-fundamental-and-molecular-mechanisms-of	10112	84	MUTAT RES-FUNDAM MOL MECH MUT
Methods in Enzymology	/Journal/1729/meth-enzymology-methods-in-enzymology	7960	84	METH ENZYMOLOGY
Bioresource Technology	/Journal/1500/bioresource-technol-bioresource-technology	9660	83	BIORESOURCE TECHNOL
Macromolecules	/Journal/2218/macromolecules	47996	82	
Journal of Membrane Science	/Journal/2149/j-membrane-sci-journal-of-membrane-science	10050	82	J MEMBRANE SCI
Angewandte Chemie	/Journal/13152/angewandte-chemie	56640	78	
Journal of Physical Chemistry B	/Journal/2169/j-phys-chem-b-journal-of-physical-chemistry-b	29457	78	J PHYS CHEM B
Polymer	/Journal/2284/polymer	25096	78	
Journal of Colloid and Interface Science	/Journal/2121/j-colloid-interface-sci-journal-of-colloid-and-interface-science	24677	78	J COLLOID INTERFACE SCI
