Name	Link	NPubs_list	NCits_list	ShortName
Journal of Political Economy	/Journal/4915/j-polit-econ-journal-of-political-economy	11206	286977	J POLIT ECON
Journal of Financial Economics	/Journal/4868/j-finan-econ-journal-of-financial-economics	1994	165626	J FINAN ECON
Strategic Management Journal	/Journal/5050/strateg-manage-j-strategic-management-journal	1904	151151	STRATEG MANAGE J
Management Science	/Journal/4956/manage-sci-management-science	5428	145035	MANAGE SCI
Journal of Econometrics	/Journal/4862/j-econometrics-journal-of-econometrics	3514	111871	J ECONOMETRICS
American Economic Review	/Journal/1085/aer-american-economic-review	2589	109580	AER
American Journal of Agricultural Economics	/Journal/4617/amer-j-agr-econ-american-journal-of-agricultural-economics	8378	96678	AMER J AGR ECON
Journal of Economic Theory	/Journal/4861/j-econ-theor-journal-of-economic-theory	4102	93686	J ECON THEOR
Journal of Consumer Research	/Journal/4842/j-consum-res-journal-of-consumer-research	1764	92196	J CONSUM RES
Journal of Monetary Economics	/Journal/4907/j-monetary-econ-journal-of-monetary-economics	2228	85705	J MONETARY ECON
Journal of Finance	/Journal/4867/j-finan-journal-of-finance	1212	80167	J FINAN
Quarterly Journal of Economics	/Journal/5000/quart-j-econ-quarterly-journal-of-economics	560	77733	QUART J ECON
Journal of Public Economics	/Journal/4921/j-public-econ-journal-of-public-economics	3507	76252	J PUBLIC ECON
Organization Science	/Journal/4978/organ-sci-organization-science	1028	72623	ORGAN SCI
Management Information Systems Quarterly	/Journal/172/misq-management-information-systems-quarterly	795	69316	MISQ
Research Policy	/Journal/5008/res-policy-research-policy	2713	68356	RES POLICY
European Economic Review	/Journal/4726/eur-econ-rev-european-economic-review	3481	66504	EUR ECON REV
Journal of International Business Studies	/Journal/4885/j-int-bus-stud-journal-of-international-business-studies	3967	61344	J INT BUS STUD
Journal of International Economics	/Journal/4886/j-int-econ-journal-of-international-economics	2514	59054	J INT ECON
Review of Financial Studies	/Journal/5024/rev-financ-stud-review-of-financial-studies	1050	55437	REV FINANC STUD
Rand Journal of Economics	/Journal/5003/rand-j-econ-rand-journal-of-economics	1058	54686	RAND J ECON
Journal of Management	/Journal/4901/j-manage-journal-of-management	1930	53806	J MANAGE
Journal of The Operational Research Society	/Journal/5581/j-oper-res-soc-journal-of-the-operational-research-society	10399	52022	J OPER RES SOC
Economics Letters	/Journal/4693/econ-lett-economics-letters	8001	51531	ECON LETT
Journal of Business	/Journal/4829/j-bus-journal-of-business	2696	50519	J BUS
Journal of Banking & Finance	/Journal/4828/j-bank-finan-journal-of-banking-&-finance	3584	50420	J BANK FINAN
Organizational Behavior and Human Decision Processes	/Journal/4975/organ-behav-hum-decision-proc-organizational-behavior-and-human-decision-processes	1570	50223	ORGAN BEHAV HUM DECISION PROC
Human Relations	/Journal/4765/hum-relat-human-relations	3619	50216	HUM RELAT
Journal of Development Economics	/Journal/4847/j-develop-econ-journal-of-development-economics	2642	48430	J DEVELOP ECON
Economic History Review	/Journal/4687/econ-hist-rev-economic-history-review	11597	48259	ECON HIST REV
Ecological Economics	/Journal/4684/ecol-econ-ecological-economics	3872	48187	ECOL ECON
Journal of Business Ethics	/Journal/4832/j-bus-ethics-journal-of-business-ethics	4993	47284	J BUS ETHICS
Economic Journal	/Journal/4691/econ-j-economic-journal	1500	45560	ECON J
Journal of Law & Economics	/Journal/4897/j-law-econ-journal-of-law-&-economics	1180	44443	J LAW ECON
Economic Geology	/Journal/19514/economic-geology	8969	44101	
Econometrica	/Journal/4708/econometrica	645	43504	
International Journal of Production Economics	/Journal/5448/int-j-prod-econ-international-journal-of-production-economics	4322	42998	INT J PROD ECON
Journal of The Academy of Marketing Science	/Journal/4815/j-acad-mark-sci-journal-of-the-academy-of-marketing-science	2630	42655	J ACAD MARK SCI
Journal of Accounting & Economics	/Journal/4816/j-account-econ-journal-of-accounting-&-economics	887	41266	J ACCOUNT ECON
Journal of Business Research	/Journal/4836/j-bus-res-journal-of-business-research	3385	41003	J BUS RES
Journal of Environmental Economics and Management	/Journal/4864/j-environ-econ-manage-journal-of-environmental-economics-and-management	1561	40564	J ENVIRON ECON MANAGE
Review of Economics and Statistics	/Journal/5018/rev-econ-statist-review-of-economics-and-statistics	1259	40530	REV ECON STATIST
