	Name	Link	NPubs_list	NCits_list	ShortName
433	IEEE Transactions on Information Theory	/Journal/433/tit-ieee-transactions-on-information-theory	14742	388008	TIT
209	Communications of The ACM	/Journal/209/cacm-communications-of-the-acm	13103	361278	CACM
25	IEEE Transactions on Pattern Analysis and Machine Intelligence	/Journal/25/pami-ieee-transactions-on-pattern-analysis-and-machine-intelligence	5382	348095	PAMI
8447	Journal of The Acoustical Society of America	/Journal/8447/j-acoust-soc-amer-journal-of-the-acoustical-society-of-america	179097	322347	J ACOUST SOC AMER
416	Proceedings of The IEEE	/Journal/416/pieee-proceedings-of-the-ieee	17069	259305	PIEEE
431	IEEE Transactions on Communications	/Journal/431/tcom-ieee-transactions-on-communications	12788	244276	TCOM
278	Bioinformatics/computer Applications in The Biosciences	/Journal/278/bioinformatics-bioinformatics-computer-applications-in-the-biosciences	7352	227784	BIOINFORMATICS
902	Mathematics of Computation	/Journal/902/math-comput-mathematics-of-computation	13260	210367	Math. Comput.
16	IEEE Journal on Selected Areas in Communications	/Journal/16/jsac-ieee-journal-on-selected-areas-in-communications	5895	193484	JSAC
828	European Journal of Operational Research	/Journal/828/ejor-european-journal-of-operational-research	14782	189522	EJOR
18	IEEE Transactions on Computers	/Journal/18/tc-ieee-transactions-on-computers	8635	186424	TC
854	IEEE Transactions on Signal Processing	/Journal/854/tsp-ieee-transactions-on-signal-processing	12416	185353	TSP
242	Artificial Intelligence	/Journal/242/ai-artificial-intelligence	3408	170189	AI
28	IEEE Transactions on Systems, Man, and Cybernetics	/Journal/28/tsmc-ieee-transactions-on-systems-man-and-cybernetics	8277	165157	TSMC
215	Sigplan Notices	/Journal/215/sigplan-sigplan-notices	9705	157208	SIGPLAN
27	IEEE Transactions on Software Engineering	/Journal/27/tse-ieee-transactions-on-software-engineering	3916	156846	TSE
89	Journal of The ACM	/Journal/89/jacm-journal-of-the-acm	3035	152996	JACM
11	IEEE Computer	/Journal/11/computer-ieee-computer	8908	141965	COMPUTER
800	Automatica	/Journal/800/automatica	7982	134737	
670	IEEE Transactions on Image Processing	/Journal/670/ieee-transactions-on-image-processing	5568	129146	
269	Theoretical Computer Science	/Journal/269/tcs-theoretical-computer-science	10165	125942	TCS
299	Computing Research Repository	/Journal/299/corr-computing-research-repository	26079	120384	CORR
373	International Journal of Computer Vision	/Journal/373/ijcv-international-journal-of-computer-vision	2146	117978	IJCV
677	IEEE Transactions on Neural Networks	/Journal/677/ieee-transactions-on-neural-networks	3498	114191	
294	Computer Communication Review	/Journal/294/ccr-computer-communication-review	2867	112585	CCR
5438	International Journal for Numerical Methods in Engineering	/Journal/5438/int-j-numer-method-eng-international-journal-for-numerical-methods-in-engineering	9052	111629	INT J NUMER METHOD ENG
1005	Operations Research	/Journal/1005/operations-research	5538	111562	
147	Siam Journal on Computing	/Journal/147/siamcomp-siam-journal-on-computing	3325	110726	SIAMCOMP
253	Sigmod Record	/Journal/253/sigmod-record	3886	109076	
359	Fuzzy Sets and Systems	/Journal/359/fss-fuzzy-sets-and-systems	7213	107619	FSS
418	Pattern Recognition	/Journal/418/pr-pattern-recognition	5796	106578	PR
4498	Computer Methods in Applied Mechanics and Engineering	/Journal/4498/comput-method-appl-mech-eng-computer-methods-in-applied-mechanics-and-engineering	7840	105467	COMPUT METHOD APPL MECH ENG
1041	IEEE Communications Magazine	/Journal/1041/ieee-commun-mag-ieee-communications-magazine	5695	105029	IEEE Commun. Mag.
183	Neural Computation	/Journal/183/neco-neural-computation	2847	103687	NECO
7	IEEE/ACM Transactions on Networking	/Journal/7/ton-ieee-acm-transactions-on-networking	2733	98764	TON
157	Machine Learning	/Journal/157/ml-machine-learning	1751	94562	ML
210	ACM Computing Surveys	/Journal/210/csur-acm-computing-surveys	1508	92987	CSUR
40	Information and Computation/information and Control	/Journal/40/iandc-information-and-computation-information-and-control	4350	86244	IANDC
667	IEEE Transactions on Computer-aided Design of Integrated Circuits and Systems	/Journal/667/ieee-transactions-on-computer-aided-design-of-integrated-circuits-and-systems	4636	84142	TCAD
903	Mathematical Programming	/Journal/903/mathematical-programming	4088	80226	
225	ACM Transactions on Graphics	/Journal/225/tog-acm-transactions-on-graphics	1961	80048	TOG
913	Neural Networks	/Journal/913/neural-networks	3403	73595	
850	IEEE Transactions on Circuits and Systems for Video Technology	/Journal/850/tcsv-ieee-transactions-on-circuits-and-systems-for-video-technology	2746	68967	TCSV
468	ACM Siggraph Computer Graphics	/Journal/468/acm-siggraph-computer-graphics	2551	68924	
423	Siam Journal on Applied Mathematics	/Journal/423/siamam-siam-journal-on-applied-mathematics	5321	68465	SIAMAM
102	Journal of Computer and System Sciences	/Journal/102/jcss-journal-of-computer-and-system-sciences	2952	65163	JCSS
454	ACM Sigarch Computer Architecture News	/Journal/454/acm-sigarch-computer-architecture-news	3073	65101	
190	Operating Systems Review	/Journal/190/sigops-operating-systems-review	2540	63502	SIGOPS
46	Information Processing Letters	/Journal/46/ipl-information-processing-letters	7047	62758	IPL
5362	IEEE Transactions on Robotics and Automation	/Journal/5362/ieee-trans-robotics-automat-ieee-transactions-on-robotics-and-automation	1407	62304	IEEE TRANS ROBOTICS AUTOMAT
350	Discrete Mathematics	/Journal/350/dm-discrete-mathematics	12647	61041	DM
22	IEEE Transactions on Knowledge and Data Engineering	/Journal/22/tkde-ieee-transactions-on-knowledge-and-data-engineering	2743	61005	TKDE
200	ACM Transactions on Programming Languages and Systems	/Journal/200/toplas-acm-transactions-on-programming-languages-and-systems	1134	60552	TOPLAS
17	IEEE Software	/Journal/17/software-ieee-software	4066	58919	SOFTWARE
75	International Journal of Human-computer Studies / International Journal of Man-machine Studies	/Journal/75/ijmms-international-journal-of-human-computer-studies-international-journal-of-man-machine	3199	58111	IJMMS
81	International Journal of Robotic Research	/Journal/81/ijrr-international-journal-of-robotic-research	2138	58040	IJRR
98	Journal of Combinatorial Theory	/Journal/98/jct-journal-of-combinatorial-theory	6738	57909	JCT
419	Pattern Recognition Letters	/Journal/419/prl-pattern-recognition-letters	4807	56740	PRL
5409	International Journal of Control	/Journal/5409/int-j-contr-international-journal-of-control	8567	55915	INT J CONTR
796	Applied Mathematics and Computation	/Journal/796/amc-applied-mathematics-and-computation	12474	55416	AMC
222	ACM Transactions on Database Systems	/Journal/222/tods-acm-transactions-on-database-systems	1069	54499	TODS
4503	Computers & Structures	/Journal/4503/comput-struct-computers-&-structures	9533	53944	COMPUT STRUCT
26	IEEE Transactions on Parallel and Distributed Systems	/Journal/26/tpds-ieee-transactions-on-parallel-and-distributed-systems	2744	53898	TPDS
855	IEEE Transactions on Wireless Communications	/Journal/855/twc-ieee-transactions-on-wireless-communications	4344	53392	TWC
346	Graphical Models /graphical Models and Image Processing /computer Vision, Graphics, and Image Processing	/Journal/346/cvgip-graphical-models-graphical-models-and-image-processing-computer-vision-graphics-and	2505	51068	CVGIP
48	Information Sciences	/Journal/48/isci-information-sciences	5419	50402	ISCI
929	Siam Journal on Scientific Computing	/Journal/929/siam-journal-on-scientific-computing	2781	49867	
804	BMC Bioinformatics	/Journal/804/bmc-bioinformatics	4808	49601	
3	Ibm Journal of Research and Development	/Journal/3/ibmrd-ibm-journal-of-research-and-development	3712	49335	IBMRD
414	IEEE Computer Graphics and Applications	/Journal/414/cga-ieee-computer-graphics-and-applications	3344	48935	CGA
221	ACM Transactions on Computer Systems	/Journal/221/tocs-acm-transactions-on-computer-systems	519	48441	TOCS
968	Computers & Chemical Engineering	/Journal/968/computers-&-chemical-engineering	6083	47847	
669	IEEE Transactions on Fuzzy Systems	/Journal/669/tfs-ieee-transactions-on-fuzzy-systems	1578	47597	TFS
182	Computer Networks and Isdn Systems	/Journal/182/cn-computer-networks-and-isdn-systems	2050	45346	CN
815	Computers & Operations Research	/Journal/815/cor-computers-&-operations-research	3933	44798	CoR
318	Discrete Applied Mathematics	/Journal/318/dam-discrete-applied-mathematics	5516	44096	DAM
160	Computational Linguistics	/Journal/160/coli-computational-linguistics	1386	43458	COLI
402	Mathematics of Operations Research	/Journal/402/mor-mathematics-of-operations-research	2048	43301	MOR
337	IEEE Transactions on Reliability	/Journal/337/tr-ieee-transactions-on-reliability	5110	43260	TR
141	Journal of The American Society for Information Science and Technology	/Journal/141/jasis-journal-of-the-american-society-for-information-science-and-technology	3216	41545	JASIS
293	Computer-aided Design	/Journal/293/cad-computer-aided-design	7325	40646	CAD
4501	Computer Networks	/Journal/4501/comput-netw-computer-networks	2649	40341	COMPUT NETW
485	ACM Sigsoft Software Engineering Notes	/Journal/485/acm-sigsoft-software-engineering-notes	5017	40247	
813	Computer Vision and Image Understanding	/Journal/813/cviu-computer-vision-and-image-understanding	1653	39973	CVIU
31	Image and Vision Computing	/Journal/31/ivc-image-and-vision-computing	2727	39393	IVC
126	Journal of Machine Learning Research	/Journal/126/jmlr-journal-of-machine-learning-research	1182	38879	JMLR
932	Signal Processing	/Journal/932/signal-processing	5689	38832	
1045	IEEE Communications Letters	/Journal/1045/ieee-commun-lett-ieee-communications-letters	4060	38813	IEEE Commun. Lett.
130	Journal of Parallel and Distributed Computing	/Journal/130/jpdc-journal-of-parallel-and-distributed-computing	3143	37986	JPDC
829	Expert Systems With Applications	/Journal/829/eswa-expert-systems-with-applications	6954	37963	ESWA
20	IEEE Transactions on Evolutionary Computation	/Journal/20/tec-ieee-transactions-on-evolutionary-computation	874	37381	TEC
4496	Computers & Mathematics With Applications	/Journal/4496/comput-math-appl-computers-&-mathematics-with-applications	8840	36915	COMPUT MATH APPL
198	Sigmetrics Performance Evaluation Review	/Journal/198/sigmetrics-sigmetrics-performance-evaluation-review	2956	35683	SIGMETRICS
355	Electronic Notes in Theoretical Computer Science	/Journal/355/entcs-electronic-notes-in-theoretical-computer-science	6047	35408	ENTCS
51	ACM Transactions on Information Systems	/Journal/51/tois-acm-transactions-on-information-systems	661	35285	TOIS
259	Software - Practice and Experience	/Journal/259/spe-software-practice-and-experience	3244	35175	SPE
168	ACM Transactions on Mathematical Software	/Journal/168/toms-acm-transactions-on-mathematical-software	1553	34869	TOMS
4	Ibm Systems Journal	/Journal/4/ibmsj-ibm-systems-journal	1770	34559	IBMSJ
137	Journal of Symbolic Logic	/Journal/137/jsyml-journal-of-symbolic-logic	11767	33844	JSYML
5507	Journal of Dynamic Systems Measurement and Control-transactions of The Asme	/Journal/5507/j-dyn-syst-meas-contr-journal-of-dynamic-systems-measurement-and-control-transactions-of-the-asme	2995	33723	J DYN SYST MEAS CONTR
