Jie Lu,
Stefano Ceri,
Wei Zhou,
Dong Xu,
Krithi Ramamritham,
Yi Sun,
Hideharu Amano,
Yannis Manolopoulos,
Bin Liu,
David J. Evans,
Truong Q. Nguyen,
Ning Xi,
Sanjay Jain,
Avi Wigderson,
Paul M. Thompson,
Jianping Wu,
Mitsuru Ishizuka,
J. J. Garcia-Luna-Aceves,
Tamer Basar,
Floriana Esposito,
Lei He,
Shlomi Dolev,
Lei Liu,
Li Xu,
Franco Zambonelli,
Atsuo Takanishi,
Chen Wang,
Barry Smyth,
Dennis Sylvester,
Enrique Alba,
Enrico Macii,
Vijay Varadharajan,
Ness B. Shroff,
Ning Zhang,
Petre Stoica,
Daniel A. Keim,
Wei Lu,
Manfred Broy,
Jörg Becker,
Soo-Chang Pei,
David Dagan Feng,
Kai Wang,
Alan C. Bovik,
José M. F. Moura,
Gang Liu,
Vipin Kumar,
Min Wang,
Bing Li,
Hao Wu,
Jianer Chen,
Sridha Sridharan,
Bo Wang,
Jie Zhou,
John M. Carroll,
Zheng Li,
Moncef Gabbouj,
Liang-Gee Chen,
Beng Chin Ooi,
Kwang-Ting Cheng,
Xiaohua Jia,
Andrzej Pelc,
Jun Luo,
MengChu Zhou,
Kiyohiro Shikano,
Cheng Wang,
Adel M. Alimi,
Roberto Cipolla,
Carlos A. Coello Coello,
Ingrid Verbauwhede,
Ali H. Sayed,
Pascal Frossard,
Hong Zhu,
Karl Henrik Johansson,
Jeng-Shyang Pan,
Michael G. Strintzis,
Robert L. Glass,
Shuzhi Sam Ge,
Ge Yu,
Chin-Hui Lee,
Lei Shi,
Hong Wang,
Dacheng Yang,
Diego Calvanese,
Xi Li,
Howard Jay Siegel,
Jan A. Bergstra,
Uwe Aickelin,
Xin Zhang,
Jing Chen,
Hermann A. Maurer,
Robert H. Deng,
Li Deng,
Jianzhong Li,
Andreas Uhl,
Björn Schuller,
Luc Vandendorpe,
Li Yang,
Christos Bouras,
Jörg Henkel,
Robert K. Brayton,
Aoying Zhou,
Jia Wang,
Yu-Chee Tseng,
Changsheng Xu,
Feng Chen,
Arto Salomaa,
Changshui Zhang,
Oscar Pastor,
Stan Z. Li,
Yuanyuan Yang,
Emilio Luque,
Leendert W. N. van der Torre,
Charu C. Aggarwal,
Satoshi Goto,
Lei Yang,
Jiajun Bu,
Marco Conti,
Minyi Guo,
T. D. Wilson,
Ming Li,
Jianxin Wang,
Elisabeth André,
Chen Chen,
Ahmed H. Tewfik,
Vijay K. Bhargava,
Zhe Wang,
Yao Wang,
Yong Li,
Yang Wang,
Fumihito Arai,
Gerhard Tröster,
Paolo Dario,
C. Pandu Rangan,
Jon W. Mark,
Xian-Sheng Hua,
Nirwan Ansari,
Ping Zhang 0003,
Alois Knoll,
Timothy K. Shih,
Manfred Reichert,
Tughrul Arslan,
Jun Hu,
Ming Yang,
Jing Huang,
Moe Z. Win,
Jong Hyuk Park,
Lei Chen 0002,
Bernhard Thalheim,
Chengqi Zhang,
Sachin S. Sapatnekar,
Roger Wattenhofer,
Manuel Graña,
Manish Parashar,
Tao Liu,
Yi-Bing Lin,
Qiang Zhang,
Jiming Liu,
Chang Wen Chen,
Panos M. Pardalos,
Arthur W. Toga,
Yuan Yuan,
Ramjee Prasad,
Yuan Li,
Gareth J. F. Jones,
Lihua Xie,
Joseph O'Rourke,
Krishnendu Chatterjee,
Ophir Frieder,
Hans L. Bodlaender,
Ting Wang,
Jin Zhang,
Hisao Ishibuchi,
Prithviraj Banerjee,
Konstantinos N. Plataniotis,
Eric Horvitz,
Jun Wu,
Long Wang,
Tao Chen,
Amir Pnueli,
Eduard Ayguadé,
Nanning Zheng,
Brian D. O. Anderson,
Jun Guo,
Rui Li,
Xiaotie Deng,
Neri Merhav,
Wayne Wolf,
János Pach,
Guang R. Gao,
Bernhard Steffen,
Ning Li,
Mehdi Dehghan,
Makoto Ikeda,
Takahiro Hara,
Sankar K. Pal,
Martin Buss,
Hannu Tenhunen,
Fei Liu,
Anthony Ephremides,
Xiaolin Wu,
H. V. Jagadish,
Wang-Chien Lee,
P. Sadayappan,
Bhaskar D. Rao,
Han-Chieh Chao,
Sheng Li,
Branka Vucetic,
Alfredo Cuzzocrea,
Wilfried Philips,
Reinhard Klette,
Joachim Hornegger,
Sonia Aïssa,
Joseph S. B. Mitchell,
Robert M. Haralick,
Catholijn M. Jonker,
Yueh-Min Huang,
Patrick Valduriez,
Ling Chen,
Xiaohua Hu,
Vikram Krishnamurthy,
Mohamed Ould-Khaoua,
Herbert Edelsbrunner,
Lionel C. Briand,
Mark A. Musen,
Jaakko Astola,
Giancarlo Mauri,
A. Murat Tekalp,
Weimin Zheng,
Ebroul Izquierdo,
Dengguo Feng,
Enrico Pontelli,
Weijia Jia,
Mohamed S. Kamel,
Dov M. Gabbay,
Feng Bao,
Sy-Yen Kuo,
Bo Hu,
Keikichi Hirose,
Yuan Yan Tang,
Hanan Samet,
Heung-Yeung Shum,
Shipeng Li,
Yao Zhao,
Omer F. Rana,
Weihua Zhuang,
Chin-Teng Lin,
Xianlong Hong,
Mohsen Guizani,
Lin Li,
Bernd Freisleben,
Bo Chen,
Moni Naor,
Dan Wang,
Swagatam Das,
Xin Jin,
Ling Guan,
Bin Zhou,
Henning Schulzrinne,
Kaoru Hirota,
Kurt Rothermel,
Andreas Zell,
Chi Zhang,
Jue Wang,
Pierangela Samarati,
Pascal Bouvry,
Bernhard Preim,
Venu Govindaraju,
Iain B. Collings,
Darwin G. Caldwell,
Edward J. Delp,
Baochun Li,
David Maier,
Wan-Chi Siu,
Jesús Labarta,
Zhenfu Cao,
Maurizio Lenzerini,
Grigoris Antoniou,
Luc De Raedt,
Vojtech Rödl,
Andreas F. Molisch,
Jan Marco Leimeister,
Qingming Huang,
Josep Domingo-Ferrer,
Dorothea Wagner,
Kee-Young Yoo,
Isabelle Bloch,
Wanlei Zhou,
Peng Liu,
Umeshwar Dayal,
Jie Tang,
Ming C. Lin,
Diane Crawford,
Juan M. Corchado,
Minoru Asada,
El-Ghazali Talbi,
Raghu Ramakrishnan,
Yao-Wen Chang,
Béla Bollobás,
Fei Li,
Lang Tong,
Geyong Min,
Masayuki Inaba,
Dong Li,
Urbashi Mitra,
Ravi S. Sandhu,
David Harel,
C. Siva Ram Murthy,
Hong Mei,
Won Kim,
Rami G. Melhem,
Theo Härder,
Andrzej Skowron,
Arkady B. Zaslavsky,
Zakaria Maamar,
John C. S. Lui,
Hong Li,
Robert J. Kauffman,
Seong-Whan Lee,
Yang Song,
Pin-Han Ho,
Hans-Peter Meinzer,
Yoshihiko Nakamura,
Wei Sun,
Costas S. Iliopoulos,
Peter Sanders,
Norihiro Hagita,
Babak Hassibi,
Norio Shiratori,
Narayanan Vijaykrishnan,
Jonathan Katz,
Chao Chen,
Bu-Sung Lee,
Zheng Chen,
Frank Stephan,
Andrea J. Goldsmith,
Wojciech Rytter,
Peter Y. K. Cheung,
Zsolt Tuza,
Zhengyou Zhang,
Yanchun Zhang,
Salem Benferhat,
Jun Zhu,
Kazuyuki Aihara,
Richard G. Baraniuk,
Gregory Gutin,
Shouyang Wang,
Weisi Lin,
Manuel V. Hermenegildo,
Antonio Ortega,
Kalle Lyytinen,
Zhi Ding,
Jan Mendling,
Masashi Sugiyama,
A Min Tjoa,
Haim Kaplan,
Xiang Chen,
Gang Wu,
Lawrence Carin,
Robert B. France,
Fabio Paternò,
Sándor P. Fekete,
Georges G. E. Gielen,
Hee Yong Youn,
Debin Zhao,
David E. Goldberg,
Klaus Jansen,
Ian H. Witten,
Li Guo,
Xiaobo Zhou,
Harald Haas,
Yun Yang,
Hiroshi Nagamochi,
Michael Kaufmann 0001,
Frank Dignum,
Osvaldo Simeone,
Andrew B. Whinston,
Chau Yuen,
Abbas Jamalipour,
Toru Ishida,
Derick Wood,
Xiaokang Yang,
Janusz Kacprzyk,
Yu Wang,
Shie Mannor,
Hugo De Man,
Bin Yang,
