,Paper,Area
0,journals/mr/AzambujaBKC14	2014,Algorithms & Theory
1,journals/mr/AgostiniSB04	2004,Algorithms & Theory
2,journals/mr/GirardiB04	2004,Algorithms & Theory
3,journals/mr/CortesFB04	2004,Algorithms & Theory
4,journals/mr/BastosSKRR10	2010,Algorithms & Theory
5,journals/mr/ButzenBRR12	2012,Algorithms & Theory
6,journals/mr/SilvaRR09	2009,Algorithms & Theory
7,journals/mr/ButzenBRR10	2010,Algorithms & Theory
8,journals/mr/SilvaRR10	2010,Algorithms & Theory
9,journals/mr/NunesBRR13	2013,Algorithms & Theory
10,journals/mr/ButzenBRR13	2013,Algorithms & Theory
11,journals/mr/AgostiniSB04	2004,Algorithms & Theory
12,journals/mr/BrusamarelloWS09	2009,Algorithms & Theory
13,journals/asc/ZanchettinL07	2007,Algorithms & Theory
14,journals/asc/SantosB12	2012,Algorithms & Theory
15,journals/asc/NaldiCHC11	2011,Algorithms & Theory
16,journals/asc/GouveaA12	2012,Algorithms & Theory
17,journals/asc/NaldiCHC11	2011,Algorithms & Theory
18,journals/asc/PimentelS13	2013,Algorithms & Theory
19,journals/jda/LaenderO04	2004,Algorithms & Theory
20,journals/jda/CorreaFS13	2013,Algorithms & Theory
21,journals/jda/GuimaraesS08	2008,Algorithms & Theory
22,journals/jda/PeterlongoPBLS08	2008,Algorithms & Theory
23,journals/anor/MateusLR01	2001,Algorithms & Theory
24,journals/anor/DuranLS02	2002,Algorithms & Theory
25,journals/anor/DuranLMS08	2008,Algorithms & Theory
26,journals/anor/DouradoRS09	2009,Algorithms & Theory
27,journals/anor/DouradoRSSST13	2013,Algorithms & Theory
28,journals/anor/MateusLR01	2001,Algorithms & Theory
29,journals/anor/SilvaRM02	2002,Algorithms & Theory
30,journals/anor/DantasFGKM11	2011,Algorithms & Theory
31,journals/anor/HellKNP05	2005,Algorithms & Theory
32,journals/anor/SantosUOM12	2012,Algorithms & Theory
33,journals/anor/AlmeidaGGGD12	2012,Algorithms & Theory
34,journals/anor/AlmeidaGGGD12	2012,Algorithms & Theory
35,journals/anor/SalesMMS14	2014,Algorithms & Theory
36,journals/anor/HellKNP05	2005,Algorithms & Theory
