author,a_name,score
0,H. Vincent Poor,1
3173,Junshan Zhang,1
10669,Dong Zheng,1
29139,Man-On Pun,1
155791,Chandrashekhar Thejaswi P. S.,1
1,Wei Wang,1
1040,Zhao Zhang,1
1298,Wei Gao,1
1327,Weili Wu,1
5144,Donghyun Kim,1
61863,Xianyue Li,1
121254,Min Kyung An,1
4,Wen Gao,1
46947,Youjian Zhao,1
53937,Simin He,1
75668,Qiang Zheng,1
145136,Shutao Sun,1
393658,Hong-Tao Guan,1
13,Yang Yang,1
550,Ness B. Shroff,1
2733,Li Xiao,1
20203,Yong Ding,1
17,Tao Li,1
5097,Shigang Chen,1
19841,Jih-Kwon Peir,1
79311,MyungKeun Yoon,1
38097,Yibei Ling,1
185906,Mark C. K. Yang,1
468235,Samuel Wu,1
19460,Yan Qiao,1
61178,Wen Luo,1
214,Ming Zhang,1
21,Xiaodong Wang,1
17714,Ali Tajer,1
23,Jian Li,1
2292,Aravind Srinivasan,1
5712,Bo Han,1
26,Ying Zhang,1
1931,Zheng Zhang,1
2848,Y. Charlie Hu,1
5162,Zhuoqing Morley Mao,1
55992,Randy Bush,1
31,Sajal K. Das,1
4894,Archan Misra,1
28744,Abhishek Roy,1
32,Bin Li,1
9681,Atilla Eryilmaz,1
134149,Ruogu Li,1
211,Donald F. Towsley,1
20612,Arun Venkataramani,1
118533,Antonio Augusto de Aragão Rocha,1
159197,Daniel S. Menasché,1
33,Georgios B. Giannakis,1
59934,Nikolaos Gatsis,1
88834,Ketan Rajawat,1
35,Lei Zhang,1
5468,Dongning Guo,1
39,Victor C. M. Leung,1
1088,Song Guo,1
3313,Vincent W. S. Wong,1
118029,Mark E. Lewis,1
42,Kang G. Shin,1
58413,Chun-Ting Chou,1
70720,Sai Shankar N.,1
237,Xi Zhang,1
5725,Haining Wang,1
15001,Cheng Jin,1
18585,Debanjan Saha,1
27484,Wu-chang Feng,1
29375,Dilip D. Kandlur,1
3155,Sunghyun Choi,1
315,Wenbo Wang 0007,1
32229,Wei Wang 0021,1
77162,Abhijit Bose,1
170675,Mohamed A. El-Gendy,1
16358,Daji Qiao,1
164929,Seok-Kyu Kweon,1
6567,Xinyu Zhang,1
923,Wei Sun,1
33041,Hani Jamjoom,1
37221,Kyu-Han Kim,1
1535,Jennifer Rexford,1
23952,Anees Shaikh,1
26968,Padmanabhan Pillai,1
47654,Taejoon Park,1
178426,Ashwini Kumar,1
45,Bo Zhang,1
7322,Peter Druschel,1
29796,Guohui Wang,1
41686,Rudolf H. Riedi,1
86620,Animesh Nandi,1
309991,Tze Sing Eugene Ng,1
50,Jing Wang,1
14880,Ioannis Ch. Paschalidis,1
189565,Reza Moazzez Estanjini,1
53,Yang Liu,1
589,Jun Luo,1
53559,Kai Han,1
55,Mario Gerla,1
2240,Emilio Leonardi,1
6233,Fabio Neri,1
176814,Prasasth Palnati,1
17070,Luigi Fratta,1
29804,Flaminio Borgonovo,1
61959,Joseph A. Bannister,1
21513,Saverio Mascolo,1
47543,Dirceu Cavendish,1
56,Xin Li,1
366,Bin Wu,1
1907,Mounir Hamdi,1
15776,Kwan L. Yeung,1
61,Hao Wang,1
4587,Bill Lin,1
14503,Jun (Jim) Xu,1
127145,Haiquan (Chuck) Zhao,1
63,Jie Wu 0001,1
2968,Cong Liu,1
69,K. J. Ray Liu,1
2582,Yan Sun,1
5214,Min Wu 0001,1
106838,Yinian Mao,1
3461,Wade Trappe,1
24228,Yuke Wang,1
73,Yan Chen,1
520,Bin Liu,1
570,Hao Wu,1
1491,Yu Cheng,1
20678,Chengchen Hu,1
56104,Kai Chen 0005,1
188386,Hongbo Zhao,1
4553,Lei Xu,1
46163,Yueping Zhang,1
69990,Ankit Singla,1
84575,Atul Singh,1
89465,Kishore Ramachandran,1
276989,Xitao Wen,1
2335,Xing Li,1
21821,Fabián E. Bustamante,1
67999,Guohan Lu,1
197732,Stefan Birrer,1
1001,Yin Zhang,1
1723,Ming-Yang Kao,1
4190,Yan Gao,1
7286,Gokhan Memik,1
8554,Peter A. Dinda,1
22972,Robert T. Schweller,1
53056,Zhichun Li,1
178835,Ashish Gupta 0003,1
4648,Jing Yuan,1
5784,Songwu Lu,1
20189,Haitao Wu,1
40674,Chuanxiong Guo,1
102298,Zhenqian Feng,1
159580,Wenfei Wu,1
819,Yao Zhao,1
68544,David Bindel,1
870,Randy H. Katz,1
102200,Han Hee Song,1
183266,Zhi Fu,1
353568,Lanjia Wang,1
74,Xin Wang,1
6738,Yong Cui,1
43420,Hongyi Wang,1
76039,Yining Wang,1
114121,Lian Wang,1
524,Qiang Liu,1
2495,Nageswara S. V. Rao,1
80,Robert Schober,1
1818,Jianwei Huang,1
85906,Hamed Mohsenian Rad,1
83,Peng Wang,1
27719,Stephan Bohacek,1
84,Hong Liu,1
17277,Raymond E. Miller,1
90,Qian Zhang,1
1176,Bo Li 0001,1
99561,Gabriel Yik Keung,1
94,Xuemin Shen,1
6837,Miao Wang,1
10712,Fan Bai,1
14098,Ning Lu,1
53553,Tom H. Luan,1
98,Yong Liu,1
4427,Kee Chaing Chua,1
35340,Mohan Gurusamy,1
47643,Jian Qiu,1
425,Di Wu,1
3818,Keith W. Ross,1
12467,Chao Liang,1
38415,Miao Zhao,1
323,Yang Xu,1
433952,Chenguang Yu,1
667256,Jingjiang Li,1
102,Jiannong Cao,1
4027,Bin Xiao,1
55352,Kai Bu,1
66705,Qingjun Xiao,1
107,Eitan Altman,1
4120,Anurag Kumar 0001,1
21909,Rajesh Sundaresan,1
102175,Chandramani Kishore Singh,1
12147,Philippe Nain,1
55605,Yuedong Xu,1
60679,Adam Shwartz,1
44967,Oran Sharon,1
103087,Venkatesh Ramaiyan,1
47412,Daniel Kofman,1
4437,Rachid El Azouzi,1
53529,Veeraruna Kavitha,1
3932,Konstantin Avrachenkov,1
10328,Chadi Barakat,1
8213,Daniele Miorandi,1
165043,Munish Goyal,1
534,Tamer Basar,1
13542,Francesco De Pellegrini,1
61908,Amar Prakash Azad,1
5688,Saswati Sarkar,1
57542,M. H. R. Khouzani,1
108,Joseph Y. Halpern,1
708,Roger Wattenhofer,1
9054,Yi-Min Wang,1
15565,Paramvir Bahl,1
189229,Li Li 0002,1
4550,Zygmunt J. Haas,1
110,Tao Zhang,1
1431,Imrich Chlamtac,1
24839,András Faragó,1
111,Xin Liu,1
25292,Srinivas Shakkottai,1
44757,Rayadurgam Srikant,1
20096,Richard J. La,1
36505,Youguang Zhang,1
63164,Chenxi Zhu,1
163403,Huasen Wu,1
374367,Eric Jung,1
112,Erik D. Demaine,1
384,Daniela Rus,1
5107,Mohammad Taghi Hajiaghayi,1
138144,Jonathan Bredin,1
118,Christos Faloutsos,1
2991,Michalis Faloutsos,1
16776,Petros Faloutsos,1
73786,Georgos Siganos,1
123,Jie Li,1
1353,Keqin Li,1
20388,Hisao Kameda,1
129,Hui Zhang,1
15569,Vyas Sekar,1
44896,Junchen Jiang,1
130,Wei Zhao,1
5656,Dong Xuan,1
12319,Riccardo Bettati,1
42093,Shengquan Wang,1
806,Weijia Jia,1
29135,Xiaole Bai,1
152916,Ziqiu Yun,1
136,Yu Liu,1
9736,David Tipper,1
169570,Peerapon Siripongwutikorn,1
137,Moti Yung,1
9818,Yoram Ofek,1
3739,Amir Herzberg,1
3864,Shay Kutten,1
4882,Refik Molva,1
30086,Inder S. Gopal,1
76520,Philippe A. Janson,1
376953,Ray Bird,1
12593,Bülent Yener,1
46178,Alain J. Mayer,1
140,Jun Li,1
25051,Erran L. Li,1
192541,Minho Sung,1
142,Bo Liu,1
23275,Anna Hac,1
155,Mihaela van der Schaar,1
31798,Jaeok Park,1
244578,Khoa Tran Phan,1
14680,Shaolei Ren,1
159,Ling Liu,1
5662,Jian Yin,1
8630,Arun Iyengar,1
10318,Mudhakar Srivatsa,1
165,Khaled Ben Letaief,1
2288,Zhigang Cao,1
12125,Wei Chen 0002,1
173,Piet Demeester,1
2810,Ingrid Moerman,1
11871,Sofie Pollin,1
130197,Opher Yaron,1
186244,Lieven Tytgat,1
184,Hua Wang,1
13111,Michael Rabinovich,1
189,Feng Wang,1
19904,Lin Gu,1
31123,Kuai Xu,1
642,Jia Wang,1
3400,Lixin Gao,1
194,Yang Xiao,1
6845,Douglas J. Leith,1
9105,Thierry Turletti,1
15242,David Malone,1
15948,Qiang Ni,1
99043,Tianji Li,1
197,Michele Zorzi,1
3102,Srikanth V. Krishnamurthy,1
16788,Anthony S. Acampora,1
2113,James F. Kurose,1
93669,Victor Firoiu,1
15445,Ping Ji,1
16158,Jim Kurose,1
27653,Zihui Ge,1
43266,Supratik Bhattacharyya,1
50599,Ramesh Nagarajan,1
1598,Zhi-Li Zhang,1
188427,James D. Salehi,1
10659,Dan Rubenstein,1
7898,Xiaolin Wang,1
14895,Weibo Gong,1
59445,Yan Cai,1
21335,Jitendra Padhye,1
13066,Ernst Biersack,1
100995,Jörg Nonnenmacher,1
25495,Francesco Lo Presti,1
6072,Ren-Hung Hwang,1
3132,Christophe Diot,1
20695,Gianluca Iannaccone,1
60393,Sharad Jaiswal,1
5489,Nick G. Duffield,1
126543,Joseph Horowitz,1
317,Zhen Liu,1
19011,Sneha Kumar Kasera,1
51701,Gísli Hjálmtýsson,1
14381,Xi-Ren Cao,1
1915,R. Srikant,1
125735,C. V. Hollot,1
520850,Huaizhong Han,1
3455,Honggang Zhang,1
8479,Vishal Misra,1
148933,Yossi Chait,1
343,Muriel Médard,1
1092,Mung Chiang,1
3827,Michelle Effros,1
8460,Ning Cai,1
9877,Ralf Koetter,1
12386,Raymond W. Yeung,1
12784,Balaji Prabhakar,1
1537,Mostafa H. Ammar,1
41007,Zesheng Chen,1
41252,Tian Bu,1
43325,Cliff Changchun Zou,1
3567,Vern Paxson,1
3357,Thomas F. La Porta,1
18351,Ramachandran Ramjee,1
126340,Ying Jian,1
217,Guy Pujolle,1
6569,Dominique Gaïti,1
221,Wei Yu,1
1929,Junzhou Luo,1
8153,Xinwen Fu,1
59495,Zhen Ling,1
232,Liang Zhang,1
482,Yuguang Fang,1
166710,Zhen Mo,1
233,Athanasios V. Vasilakos,1
826,Mohsen Guizani,1
1279,Nei Kato,1
4249,Tarik Taleb,1
34219,Zubair Md. Fadlullah,1
15021,Holger Claussen,1
18107,Xiaoli Chu,1
22104,David López-Pérez,1
622,Xin Zhang,1
1800,Adrian Perrig,1
7135,Haibing Guan,1
63819,Haiyang Sun,1
292091,Xinyu Zhu,1
593164,Fanfu Zhou,1
1146,Yong He,1
43332,Xiaojun Ma,1
46589,Ruixi Yuan,1
376359,Jie Sun 0006,1
239,Klara Nahrstedt,1
11114,King-Shan Lui,1
240,Kishor S. Trivedi,1
138102,Dimitris Logothetis,1
46227,Hairong Sun,1
222498,Xinyu Zang,1
2599,Tadashi Dohi,1
11545,Hiroyuki Okamura,1
242,Ian F. Akyildiz,1
3686,Luciano Lenzini,1
31624,Claudio Cicconetti,1
5866,Eylem Ekici,1
166913,Michael D. Bender,1
712,Yi-Bing Lin,1
184473,Joseph S. M. Ho,1
11768,Caterina M. Scoglio,1
43198,Jaudelice Cavalcante de Oliveira,1
226984,George Uhl,1
20782,Inwhee Joe,1
813595,Yung-Lung Ho,1
1294899,Henry Driver,1
8260,Giorgio Ventre,1
28436,Stefano Avallone,1
8166,Özgür B. Akan,1
4927,Pu Wang,1
151029,Weilian Su,1
33674,Mehmet C. Vuran,1
10341,Giacomo Morabito,1
5922,Sergio Palazzo,1
84562,Berk Canberk,1
113463,Sema Oktug,1
203158,David A. Levine,1
24243,Mahmoud Naghshineh,1
5937,Wenye Wang,1
87438,Vehbi C. Gungor,1
245,Hsiao-Hwa Chen,1
469179,Wee-Teck Tea,1
259,Xiang-Yang Li,1
357,Yunhao Liu,1
4945,Zheng Yang,1
6869,Yuan He,1
16421,Jizhong Zhao,1
36397,Wei Xi,1
102663,Lufeng Mo,1
2152,Peng-Jun Wan,1
3527,Shaojie Tang,1
36078,XiaoHua Xu,1
4159,Mo Li,1
12811,Xiangke Liao,1
67245,Dezun Dong,1
32464,Ping Xu,1
12876,Yin Wang,1
19815,XuFei Mao,1
27850,Shi Li,1
260,Hong Shen,1
1838,Xiaohong Jiang,1
2664,Susumu Horiguchi,1
198479,Md. Mamun-ur-Rashid Khandker,1
6974,Si-Qing Zheng,1
15926,Ashwin Gumaste,1
261,Meng Wang,1
8850,Weiyu Xu,1
13304,Ao Tang,1
21248,Chee Wei Tan,1
263,Chun Chen,1
1390,Wei Dong,1
53563,Tong Zhu,1
264,Qi Li,1
531,Jianping Wu,1
7268,Mingwei Xu,1
23348,Yuan Yang,1
283,Wei Wei,1
1503,Bing Wang,1
3905,Don Towsley,1
83542,Kyoungwon Suh,1
285,Chuang Lin,1
8160,Fengyuan Ren,1
242237,Wanchun Jiang,1
287,Hussein T. Mouftah,1
918,Pin-Han Ho,1
327927,Abdelhamid E. Eshoul,1
86604,Hassan Naser,1
293,Masayuki Murata,1
6731,Naoki Wakamiya,1
10211,Hiroyuki Ohsaki,1
14103,Hideo Miyahara,1
6799,Eiji Oki,1
11840,Shingo Ata,1
13906,Kohei Shiomoto,1
23060,Shin'ichi Arakawa,1
52675,Takashi Miyamura,1
98010,Yuichi Ohsita,1
24819,Hiroaki Harai,1
301,Michael T. Goodrich,1
307,Gang Feng,1
12215,Feng Xie,1
25305,Chee Kheong Siew,1
310,Ke Xu,1
846,Jiangchuan Liu,1
2757,Dan Li,1
316,Yi Pan,1
423,Fan Yang,1
12235,Xiaojun Shen,1
10934,Cheng-Shang Chang,1
4158,H. Jonathan Chao,1
495288,Zhaobo Liu,1
723328,Zhuoyuan Zhang,1
332,Holger Boche,1
21205,Martin Schubert,1
88544,Siddharth Naik,1
334,Rui Wang,1
465,Biswanath Mukherjee,1
12098,Massimo Tornatore,1
13333,Charles U. Martel,1
201979,Chaitanya S. K. Vadrevu,1
340,Victor O. K. Li,1
112470,Chun-Yin Li,1
146299,Alexander Ping-Kong Wai,1
405029,Ji-Her Ju,1
491,Jon Crowcroft,1
9327,Dina Katabi,1
26079,Sachin Katti,1
54104,Wenjun Hu,1
168305,Hariharan Rahul,1
24164,Wenbo He,1
92489,Richard A. Barry,1
129973,Steven Lumetta,1
240143,Steven G. Finn,1
82061,Michael Heindlmaier,1
150143,Danail Traskov,1
6914,Parastoo Sadeghi,1
246597,Amy Fu,1
349,Ming-Syan Chen,1
28002,Chung-Min Chen,1
78638,Shan-Hung Wu,1
26851,Kebin Liu,1
13074,Xiaoping Wang,1
15442,Shanshan Li,1
704,Lei Chen 0002,1
7962,Kshirasagar Naik,1
34922,Jie Lian,1
41994,Jiliang Wang,1
82115,Zhichao Cao,1
13503,János Tapolcai,1
18105,Lajos Rónyai,1
371,Pankaj K. Agarwal,1
4549,Alon Efrat,1
15885,Gil Zussman,1
31346,David Hay,1
101740,Swaminathan Sankararaman,1
387935,Shashidhara K. Ganjugunte,1
374,Leandros Tassiulas,1
8600,Iordanis Koutsopoulos,1
143954,Jinoo Joung,1
71979,Vahid Tabatabaee,1
2413,Symeon Papavassiliou,1
9683,Leonidas Georgiadis,1
388013,Jae-Hwan Chang,1
3879,Shivendra S. Panwar,1
677972,Yaochung Hung,1
40451,Farooq Anjum,1
387,Ivan Stojmenovic,1
2263,Amiya Nayak,1
91586,Stefan Rührup,1
728775,Hanna Kalosha,1
406,Martin Vetterli,1
12859,Baltasar Beferull-Lozano,1
84573,Razvan Cristescu,1
22431,Matthias Grossglauser,1
184478,Henri Dubois-Ferrière,1
82351,Guillermo Barrenetxea,1
242425,Mark W. Garrett,1
426,Feng Li,1
843,Chi Zhang,1
9862,Ying He,1
62598,Shi-Qing Xin,1
439,Giuseppe Caire,1
16155,Konstantinos Psounis,1
170854,Antonios Michaloliakos,1
184207,Horia Vlad Balan,1
200794,Ryan Rogalin,1
447,Raouf Boutaba,1
19978,Nizar Bouabdallah,1
25805,Rami Langar,1
143316,Mosharaf Chowdhury,1
144119,Muntasir Raihan Rahman,1
26009,Jin Xiao,1
55573,Reaz Ahmed,1
41228,Jérôme François,1
64159,Issam Aib,1
457,Yishay Mansour,1
4405,Boaz Patt-Shamir,1
461,Lin Chen,1
3066,Antonio Capone,1
17153,Fabio Martignon,1
54889,Ilario Filippini,1
56463,Stefano Paris,1
246184,Ramu S. Ramamurthy,1
213257,Jason Iness,1
285234,Feiling Jia,1
209461,Marwan Batayneh,1
324081,Dragos Andrei,1
26408,Hui Zang,1
80500,Keyao Zhu,1
230921,Hongyue Zhu,1
296787,Aysegül Gençata,1
131457,Amarnath Mukherjee,1
208655,Dhritiman Banerjee,1
309892,S. Ramamurthy,1
20645,Sudhir S. Dixit,1
59587,Hong-Hsu Yen,1
110478,Suman Sarkar,1
51360,Ming Xia,1
135382,Ferhat Dikbiyik,1
151537,Laxman H. Sahasrabuddhe,1
126225,Ching-Fong Su,1
221806,Smita Rai,1
187523,Narendra K. Singhal,1
4672,Byrav Ramamurthy,1
293676,Srini B. Tridandapani,1
679456,Geir Hallingstad,1
28090,Dominic A. Schupke,1
66093,Marco Hoffmann,1
93661,Andreas Kirstädter,1
31844,Jing Zhang 0003,1
70354,Norman S. Matloff,1
91400,Subrata Banerjee,1
117886,Canhui Ou,1
398910,Omkar Deshpande,1
6075,Jason P. Jue,1
17601,Lei Song,1
13771,Sheng Huang,1
917,Yang Song,1
14065,Yanchao Zhang,1
24429,Miao Pan,1
57574,Hao Yue,1
19677,Pan Li 0001,1
483,S. Muthukrishnan,1
2453,Graham Cormode,1
504,Sartaj Sahni,1
329766,Meongchul Song,1
61423,Haibin Lu,1
124585,Wencheng Lu,1
106183,Kun Suk Kim,1
523,Calton Pu,1
70277,Michael F. Schwartz,1
15302,Sen Su,1
259314,Yuanjie Li,1
735138,Jiangwei Yu,1
14228,Yongguang Zhang,1
30636,Kun Tan,1
3760,David Lee,1
23260,Xia Yin,1
63802,Ruibing Hao,1
309807,Dongluo Chen,1
533,J. J. Garcia-Luna-Aceves,1
152230,Shree Murthy,1
15822,Qing Zhu,1
336429,Mehrdad Parsa,1
59313,Rolando Menchaca-Mendez,1
5992,Tansu Alpcan,1
169759,Shao Liu,1
537,Shlomi Dolev,1
8689,Amos Beimel,1
711303,Noam Singer,1
4737,Jennifer L. Welch,1
35277,Arkady Kanevsky,1
41207,Brian A. Coan,1
93982,Hosame Abu-Amara,1
10641,Xiaojun Lin,1
269274,Longbi Lin,1
8813,Prasun Sinha,1
24504,Changhee Joo,1
35959,Shengbo Chen,1
7698,Song Chong,1
9119,Yung Yi,1
9342,Injong Rhee,1
42441,Kyunghan Lee,1
159232,Yoora Kim,1
111078,Sungoh Kwon,1
119151,Jinwoo Choe,1
16002,Chih-Chun Wang,1
30828,Abdallah Khreishah,1
48670,Jin-Ghoo Choi,1
17167,Shuang Li,1
50560,Zizhan Zheng,1
17409,Jang-Won Lee,1
32736,Ravi Mazumdar,1
4166,Sonia Fahmy,1
236548,Yan Wu 0004,1
25519,Do Young Eun,1
3602,Edwin K. P. Chong,1
181472,Mingbo Xiao,1
102478,Gagan Raj Gupta,1
100124,Dongyu Qiu,1
105713,Joohwan Kim,1
92843,Bo Ji,1
1846,Eytan Modiano,1
8350,Long Bao Le,1
