Journals	Publications	Citation
PNAS - Proceedings of The National Academy of Sciences	2796	1045
Science	2323	812
PLOS One	17797	510
Nature	4687	274
NANO LETT - Nano Letters	682	68
NAT METHODS - Nature Methods	397	41
Ergonomics	262	37
NANOSCALE RES LETT - Nanoscale Research Letters	376	33
ANN N Y ACAD SCI - Annals of The New York Academy of Sciences	299	31
Aorn	411	28
Analyst	535	27
Nature Communications	645	23
CHIN SCI BULL - Chinese Science Bulletin	408	13
Experientia	211	13
Chance	25	11
Nano Today	35	9
NEW SCI - New Scientist	1796	8
World Pumps	595	7
Journal of Applied Sciences	463	7
BMC Res Notes - BMC Research Notes	261	7
NANO RES - Nano Research	75	7
Footwear Science	146	6
Journal of Land Use Science	87	6
Naturwissenschaften	122	6
Journal of Agromedicine	61	6
SYNTH REACT INORG MET-ORG NAN - Synthesis and Reactivity in Inorganic Metal-organic and Nano-metal Chemistry	559	5
HER RUSS ACAD SCI - Herald of The Russian Academy of Sciences	46	5
J ROY SOC N Z - Journal of The Royal Society of New Zealand	41	5
SCI AMER - Scientific American	483	4
Australian Planner	80	4
Codesign	26	3
Sas Journal	16	3
Central European Journal of Operations Research	16	3
Piel	144	2
CHILDHOOD - Childhood-a Global Journal of Child Research	66	2
Journal of Interlibrary Loan,document Delivery & Electronic Reserve	29	2
The Journal of Applied Behavioral Science	31	2
Nanoethics	14	2
J ZHEJIANG UNIV-SCI B - Journal of Zhejiang University-science B	83	2
Dth	6	2
J INSTRUM - Journal of Instrumentation	855	1
Datenschutz Und Datensicherheit - Dud	101	1
Resonance	65	1
General Music Today	62	1
Journal of Urbanism: International Research on Placemaking and Urban Sustainability	38	1
Computational Science & Discovery	23	1
Kew Bulletin	22	1
Bioscope: South Asian Screen Studies	16	1
Journal of African American Studies	17	1
Text	14	1
Morphologie	13	1
Ornithological Monographs	9	1
INT J PHYS SCI - International Journal of Physical Sciences	7	1
SCI RES ESSAYS - Scientific Research and Essays	4	1
Nature Precedings	2	1
Silence	4	1
Notes	694	0
ANN SCI - Annals of Science	209	0
American Quarterly	162	0
American Imago	128	0
Nature China	123	0
Wirtschaftsdienst	91	0
Heilberufe	89	0
The Contemporary Pacific	89	0
Wsq: Women's Studies Quarterly	90	0
Journal of Breath Research	83	0
Shakespeare Bulletin	75	0
The Journal of Japanese Studies	71	0
The Americas	62	0
ANAL LETT - Analytical Letters	234	0
Acs Nano	58	0
China Review International	56	0
Advances in Science and Research	54	0
The Global South	48	0
Nature India	47	0
Wuhan University Journal of Natural Sciences	64	0
Biography	42	0
The Sixties	43	0
Contemporary Southeast Asia: A Journal of International and Strategic Affairs	39	0
The Moving Image	38	0
Alpha Omegan	32	0
Astropolitics	27	0
Fourth Genre: Explorations in Nonfiction	27	0
IJES - International Journal of Emerging Sciences	27	0
Sportwissenschaft	27	0
China Report	28	0
Procare	29	0
Standort	23	0
TRANS ROY SOC S AFR - Transactions of The Royal Society of South Africa	35	0
Gastronomica	21	0
Anthropologie	19	0
Journal of Asian American Studies	18	0
Nanoscale	16	0
International Journal of Learning and Media	17	0
Studies in American Naturalism	16	0
J VIS - Journal of Visualization	25	0
The Journal of Comparative Asian Development	20	0
Uwf Umweltwirtschaftsforum	14	0
The Journal of General Education	14	0
Journal of Shanghai University (english Edition)	47	0
