Journals	Publications	Citation
Nature	480572	680194
PNAS - Proceedings of The National Academy of Sciences	158920	543940
Science	289997	535739
NANO LETT - Nano Letters	7789	45958
SCI AMER - Scientific American	26268	41018
ANN N Y ACAD SCI - Annals of The New York Academy of Sciences	88712	37124
PLOS One	45290	30341
AICHE J - Aiche Journal	13151	28552
Analyst	27530	26725
Naturwissenschaften	47645	22745
Experientia	29429	18238
Ergonomics	6237	15668
J APPL METEOROL - Journal of Applied Meteorology	11293	12196
Sid Symposium Digest of Technical Papers	4679	7908
Journal of Magnetic Resonance (1969)	6586	7308
The Journal of Applied Behavioral Science	1887	6385
Acs Nano	1674	4649
CHIN SCI BULL - Chinese Science Bulletin	9665	4424
Transportation Research Part A: General	608	4311
AMER SCI - American Scientist	2781	4161
System	1706	4043
J R SOC INTERFACE - Journal of The Royal Society Interface	827	3967
Journal of Ultrastructure Research	3199	3597
Siam Journal on Control	464	3554
Science's Stke	1364	3529
NAT METHODS - Nature Methods	2667	3509
ANAL LETT - Analytical Letters	7588	2851
Engei Gakkai Zasshi	4119	2640
Aorn	11848	2634
The Progressive Fish-culturist	4699	2266
Thescientificworldjournal	1368	2119
Analysis	1713	2048
POLAR REC - Polar Record	3249	2038
Journal of Verbal Learning and Verbal Behavior	1841	1912
J PLAN LIT - Journal of Planning Literature	306	1785
Endeavour	4457	1597
Journal De Physique Et Le Radium	4545	1581
Proceedings of The Japan Academy	3001	1566
Zeolites	2140	1566
Netherlands Journal of Sea Research	1144	1512
CALPHAD-COMPUT COUP PHASE DIA - Calphad-computer Coupling of Phase Diagrams and Thermochemistry	1249	1499
J ROY SOC N Z - Journal of The Royal Society of New Zealand	1061	1353
ANN SCI - Annals of Science	1701	1143
TRANS ROY SOC S AFR - Transactions of The Royal Society of South Africa	1733	1015
CONCEPT MAGNETIC RESONANCE - Concepts in Magnetic Resonance	473	999
Chesapeake Science	957	964
Eppo Bulletin	2337	961
Nano Today	673	953
Journal of Applied Sciences	4217	948
CHILDHOOD - Childhood-a Global Journal of Child Research	621	933
Umweltwissenschaften Und Schadstoff-forschung	2238	882
EUR MASS SPECTROM - European Mass Spectrometry	987	776
Syntax	129	740
Science News	9171	723
Elements	225	723
Journal of Occupational Accidents	426	574
Resonance	2052	568
Iee Proceedings C Generation, Transmission and Distribution	856	565
BULL LAT AM RES - Bulletin of Latin American Research	1148	563
NOTES REC ROY SOC - Notes and Records of The Royal Society	1354	541
J INSTRUM - Journal of Instrumentation	1567	523
Thescientificworld	353	502
Journal of Fermentation Technology	327	487
PAC SCI - Pacific Science	391	484
AN ACAD BRASIL CIENC - Anais Da Academia Brasileira De Ciencias	759	476
J VIS - Journal of Visualization	920	473
Journal of Interior Design	468	473
NANOSCALE RES LETT - Nanoscale Research Letters	1288	472
NEW SCI - New Scientist	10848	467
American Quarterly	1194	401
Significance	285	358
Shigen-to-sozai	770	354
Anthropologie	684	353
Sportwissenschaft	1240	344
Journal of Ultrastructure and Molecular Structure Research	219	344
Wuhan University Journal of Natural Sciences	2581	329
Text	178	326
Gerontechnology	1369	319
Analytical Proceedings	876	316
The Contemporary Pacific	657	314
NANO RES - Nano Research	363	314
The Journal of General Education	231	298
Advances in Science and Technology	963	297
Journal of Interlibrary Loan,document Delivery & Electronic Reserve	522	294
Australian Planner	1221	283
IEEE Transactions on Industry and General Applications	604	281
Science Progress	125	277
INTERDISCIPLIN SCI REV - Interdisciplinary Science Reviews	356	272
Netnomics	131	261
Biography	1332	259
J ZHEJIANG UNIV-SCI B - Journal of Zhejiang University-science B	876	258
Journal of Land Use Science	159	246
Nanoethics	133	241
Codesign	138	239
Acta Amazonica	561	221
Complexus	63	217
Communicatio	502	216
Plant/operations Progress	550	197
Pesquisa Operacional	264	194
Nature Precedings	1116	186
