Conferences	Publications	Citation
ISMB - Intelligent Systems in Molecular Biology	191	3002
RECOMB - Research in Computational Molecular Biology	360	1439
Pacific Symposium on Biocomputing	300	1411
ICNSC - International Conference on Networking, Sensing and Control	1192	1201
CBMS - IEEE Symposium on Computer-Based Medical Systems	672	1025
BioMED - Biomedical Engineering	42	866
BIBE - IEEE International Conference on Bioinformatics and Bioengineering	701	592
ICCI(ieee) - International Conference on Cognitive Informatics	615	526
WABI - Algorithms in Bioinformatics	168	524
CMSB - Computational Methods in Systems Biology	95	489
BMEI - International Conference on BioMedical Engineering and Informatics	2205	464
CIBCB - Symposium on Computational Intelligence in Bioinformatics and Computational Biology	336	355
ECCB - European Conference on Computational Biology	38	318
APBC - Asia-Pacific Bioinformatics Conference	111	310
BIOCOMP - Bioinformatics & Computational Biology	659	254
ISBRA - International Symposium on Bioinformatics Research and Applications	203	247
BIBM - IEEE International Conference on Bioinformatics and Biomedicine	538	233
BIOSTEC - International Joint Conference on Biomedical Engineering Systems and Technologies	576	184
MedInfo - World Congress on Medical and Health Informatics	181	181
AB - Algebraic Biology	43	156
WBIR - Workshop on Biomedical Image Registration	63	150
PRIB - Pattern Recognition in Bioinformatics	175	142
BIRD - Bioinformatics Research and Development	86	130
Geoinformatics - International Conference on GeoInformatics	1326	119
ESIAT - Environmental Science and Information Application Technology	1254	114
FBIT - Frontiers in the Convergence of Bioscience and Information Technologies	157	108
WGEC - Genetic and Evolutionary Computing	334	101
ECEH - European Conference on eHealth	45	98
GCB - German Conference on Bioinformatics	90	90
ECCE - European Conference on Cognitive Ergonomics	75	77
WOB - Brazilian Workshop on Bioinformatics	70	59
BioSurveillance	42	57
COMPLIFE - Computational Life Sciences	25	55
KDECB - Knowledge Discovery and Emergent Complexity in Bioinformatics	13	52
SAGA - Stochastic Algorithms	32	47
ICMB - Medical Biometrics	86	40
MDA - Mass Data Analysis of Signals and Images in Medicine, Biotechnology and Chemistry	34	35
MIMI - Medical Imaging and Informatics	44	32
Nursing Informatics	224	25
CSB - IEEE Computer Society Bioinformatics Conference	4	21
POSTA - International Symposium on Positive Systems	3	8
JOBIM - International Conference on Biology, Informatics, and Mathematics	8	5
BCGBC - Bioinformatics, Computational Biology, Genomics and Chemoinformatics	21	3
BMEI - International Conference on BioMedical Engineering and Informatics	1	0
