Conferences	Publications	Citation
BioMED - Biomedical Engineering	2262	64723
ISMB - Intelligent Systems in Molecular Biology	795	27041
Pacific Symposium on Biocomputing	791	15658
RECOMB - Research in Computational Molecular Biology	883	13583
CBMS - IEEE Symposium on Computer-Based Medical Systems	1845	4339
ECCB - European Conference on Computational Biology	176	3166
WABI - Algorithms in Bioinformatics	351	2734
CSB - IEEE Computer Society Bioinformatics Conference	413	2722
ICNSC - International Conference on Networking, Sensing and Control	1764	2588
VBC - Visualization in Biomedical Computing	181	2334
BIBE - IEEE International Conference on Bioinformatics and Bioengineering	1004	2187
CMSB - Computational Methods in Systems Biology	161	1623
ICCI(ieee) - International Conference on Cognitive Informatics	774	1255
GCB - German Conference on Bioinformatics	605	1241
APBC - Asia-Pacific Bioinformatics Conference	229	994
CIBCB - Symposium on Computational Intelligence in Bioinformatics and Computational Biology	456	814
MedInfo - World Congress on Medical and Health Informatics	235	772
SAGA - Stochastic Algorithms	106	538
BMEI - International Conference on BioMedical Engineering and Informatics	2205	464
MIE - Medical Informatics Europe	50	455
ECCE - European Conference on Cognitive Ergonomics	108	429
WBIR - Workshop on Biomedical Image Registration	108	371
AB - Algebraic Biology	47	278
BIOCOMP - Bioinformatics & Computational Biology	668	267
JBI - Spanish Bioinformatics Conference	68	261
METMBS - Mathematics and Engineering Techniques in Medicine and Biological Scienes	244	250
ISBRA - International Symposium on Bioinformatics Research and Applications	203	247
BIBM - IEEE International Conference on Bioinformatics and Biomedicine	538	233
WOB - Brazilian Workshop on Bioinformatics	193	191
BIOSTEC - International Joint Conference on Biomedical Engineering Systems and Technologies	576	184
POSTA - International Symposium on Positive Systems	58	183
COMPLIFE - Computational Life Sciences	51	175
Evolution and Biocomputation	12	164
BCEC - Biocomputing and Emergent Computation	26	163
JOBIM - International Conference on Biology, Informatics, and Mathematics	33	145
PRIB - Pattern Recognition in Bioinformatics	175	142
Geoinformatics - International Conference on GeoInformatics	1331	130
BIRD - Bioinformatics Research and Development	86	130
ESIAT - Environmental Science and Information Application Technology	1254	114
FBIT - Frontiers in the Convergence of Bioscience and Information Technologies	157	108
WGEC - Genetic and Evolutionary Computing	335	106
ECEH - European Conference on eHealth	45	98
BioSurveillance	42	57
KDECB - Knowledge Discovery and Emergent Complexity in Bioinformatics	13	52
Nursing Informatics	225	49
MIMI - Medical Imaging and Informatics	48	49
Mathematical Methods for Protein Structure Analysis and Design	12	43
ICMB - Medical Biometrics	86	40
MDA - Mass Data Analysis of Signals and Images in Medicine, Biotechnology and Chemistry	34	35
BCGBC - Bioinformatics, Computational Biology, Genomics and Chemoinformatics	21	3
History of Medical Informatics	1	0
BMEI - International Conference on BioMedical Engineering and Informatics	1	0
