Journals	Publications	Citation
BIOINFORMATICS - Bioinformatics/computer Applications in The Biosciences	3510	41029
BMC Bioinformatics	4038	28616
PLOS COMPUT BIOL - PLOS Computational Biology	3310	14973
BIB - Briefings in Bioinformatics	302	3745
TITB - IEEE Transactions on Information Technology in Biomedicine	801	3277
JBI - Journal of Biomedical Informatics	568	2966
JCB - Journal of Computational Biology	512	2763
CMPB - Computer Methods and Programs in Biomedicine	746	2570
TCBB - IEEE/ACM Transactions on Computational Biology and Bioinformatics	898	2432
BIOL DIRECT - Biology Direct	284	1847
CANDC - Computational Biology and Chemistry / Computers & Chemistry	348	1173
JBCB - Journal of Bioinformatics and Computational Biology	342	952
Ecological Informatics	263	891
International Journal of Biomedical Imaging	197	618
Algorithms Mol Biol - Algorithms for Molecular Biology	132	581
Graphs and Combinatorics	399	564
TCSB - Transactions on Computational Systems Biology	48	483
HIJ - Health Informatics Journal	156	366
Genomics, Proteomics & Bioinformatics	148	337
Eurasip Journal on Bioinformatics and Systems Biology	83	305
IJBRA - International Journal of Bioinformatics Research and Applications	205	292
IJDMB - International Journal of Data Mining and Bioinformatics	126	199
Journal of Integrative Bioinformatics	91	150
International Journal of Bio-inspired Computation	81	133
Applied Bioinformatics	36	126
Advances in Bioinformatics	35	126
Biodata Mining	54	109
The Journal of Biological Database and Curation	43	106
IJISCM - International Journal of Information Systems and Change Management	94	69
ISB - in Silico Biology	9	49
International Journal of Computational Biology and Drug Design	83	46
The Open Bioinformatics Journal	23	33
J Biomed Sem - Journal of Biomedical Semantics	23	28
International Journal of Experimental and Computational Biomechanics	12	13
International Journal of Computational Intelligence in Bioinformatics and Systems Biology	19	12
Ipsj Transactions on Bioinformatics	22	11
JOCN - Journal of Cognitive Neuroscience	1	10
International Journal of Knowledge Discovery in Bioinformatics	20	7
Schedae Informaticae	6	5
Sri Lanka Journal of Bio-medical Informatics	34	2
International Journal of Computational Bioscience	6	0
Trends in Bioinformatics	4	0
