Journals	Publications	Citation
BIOINFORMATICS - Bioinformatics/computer Applications in The Biosciences	7343	227663
BMC Bioinformatics	4802	49097
JCB - Journal of Computational Biology	1232	25104
PLOS COMPUT BIOL - PLOS Computational Biology	3687	19865
BIB - Briefings in Bioinformatics	603	15575
CMPB - Computer Methods and Programs in Biomedicine	2624	15283
TITB - IEEE Transactions on Information Technology in Biomedicine	1216	11081
CANDC - Computational Biology and Chemistry / Computers & Chemistry	1799	9319
JBI - Journal of Biomedical Informatics	865	8006
Graphs and Combinatorics	1395	5234
TCBB - IEEE/ACM Transactions on Computational Biology and Bioinformatics	1082	4471
JBCB - Journal of Bioinformatics and Computational Biology	497	2872
ISB - in Silico Biology	216	2722
ACM Sigbio Newsletter	307	2299
BIOL DIRECT - Biology Direct	284	1847
HIJ - Health Informatics Journal	617	1414
Ecological Informatics	289	893
TCSB - Transactions on Computational Systems Biology	71	786
International Journal of Biomedical Imaging	197	618
Applied Bioinformatics	104	605
Algorithms Mol Biol - Algorithms for Molecular Biology	133	582
IJBRA - International Journal of Bioinformatics Research and Applications	240	401
Genomics, Proteomics & Bioinformatics	151	343
Eurasip Journal on Bioinformatics and Systems Biology	83	305
IJDMB - International Journal of Data Mining and Bioinformatics	132	256
Journal of Integrative Bioinformatics	109	208
International Journal of Bio-inspired Computation	81	133
Advances in Bioinformatics	35	126
Biodata Mining	54	109
The Journal of Biological Database and Curation	43	106
IJISCM - International Journal of Information Systems and Change Management	94	69
JOCN - Journal of Cognitive Neuroscience	3	50
International Journal of Computational Biology and Drug Design	83	46
The Open Bioinformatics Journal	23	33
J Biomed Sem - Journal of Biomedical Semantics	23	28
International Journal of Experimental and Computational Biomechanics	12	13
International Journal of Computational Intelligence in Bioinformatics and Systems Biology	19	12
Ipsj Transactions on Bioinformatics	22	11
International Journal of Knowledge Discovery in Bioinformatics	20	7
Schedae Informaticae	6	5
Sri Lanka Journal of Bio-medical Informatics	34	2
International Journal of Computational Bioscience	6	0
Trends in Bioinformatics	4	0
