Conferences	Publications	Citation
KDD - Knowledge Discovery and Data Mining	2063	69270
ICDE - International Conference on Data Engineering	4012	67386
CIKM - International Conference on Information and Knowledge Management	2636	28621
ICDM - IEEE International Conference on Data Mining	2506	18362
SDM - SIAM International Conference on Data Mining	708	9095
PKDD - Principles of Data Mining and Knowledge Discovery	994	8875
PAKDD - Pacific-Asia Conference on Knowledge Discovery and Data Mining	1255	6400
DASFAA - Database Systems for Advanced Applications	1251	4001
RIAO - Recherche d'Information Assistee par Ordinateur	574	3551
DMKD - Research Issues on Data Mining and Knowledge Discovery	103	3264
DaWaK - Data Warehousing and Knowledge Discovery	503	2648
DS - Discovery Science	553	2256
Fuzzy Systems and Knowledge Discovery	4626	2171
DOLAP - International Workshop on Data Warehousing and OLAP	177	1830
IDEAL - Intelligent Data Engineering and Automated Learning	1032	1789
WSDM - Web Search and Data Mining	196	1499
GRC - IEEE International Conference on Granular Computing	1351	1434
ICWSM - International Conference on Weblogs and Social Media	238	1142
DMDW - Design and Management of Data Warehouses	70	993
FIMI - Workshop on Frequent Itemset Mining Implementations	32	849
MLDM - Machine Learning and Data Mining in Pattern Recognition	313	822
PJW - Workshop on Persistence and Java	41	712
ADMA - Advanced Data Mining and Applications	562	676
ICETET - International Conference on Emerging Trends in Engineering & Technology	712	376
WKDD - Workshop on Knowledge Discovery and Data Mining	527	342
KDID - International Workshop on Knowledge Discovery in Inductive Databases	70	328
ICDM - Industrial Conference on Data Mining	304	323
DMIN - Int. Conf. on Data Mining	434	278
MineNet - Mining Network Data	22	278
WebMine - Workshop on Web Mining	15	245
TSDM - Temporal, Spatial, and Spatio-Temporal Data Mining	13	217
CINQ - cInQ project	35	203
ASONAM - Advances in Social Network Analysis and Mining	277	183
ESF Exploratory Workshops	17	151
Japanese Discovery Science Project	53	110
DW - Data Warehousing	66	96
MLG - Mining and Learning with Graphs	39	88
AMINING - Active Mining	23	66
KELSI - Knowledge Exploration in Life Science Informatics	22	48
ICDM2 - Industrial Conference on Data Mining	19	37
Actes dIC - Journées Francophones dIngénierie des Connaissances	74	8
