Conferences	Publications	Citation
SIGIR - Research and Development in Information Retrieval	1014	9547
CIKM - International Conference on Information and Knowledge Management	1470	5355
ECIR - European Colloquium on IR Research	490	1679
JCDL - ACM/IEEE Joint Conference on Digital Libraries	519	1586
Multimedia Information Retrieval	218	1501
CLEF - Cross-Language Evaluation Forum	645	1488
TREC - Text REtrieval Conference	282	1343
MIE - Medical Informatics Europe	506	610
ECDL - European Conference on Digital Libraries	354	581
INEX - INitiative for the Evaluation of XML Retrieval	185	514
TRECVID - TREC Video Retrieval Evaluation	83	495
SPIRE - String Processing and Information Retrieval	160	489
ICETET - International Conference on Emerging Trends in Engineering & Technology	712	376
AIRS - Asia Information Retrieval Symposium	237	293
ICADL - International Conference on Asian Digital Libraries	250	289
CISSE - International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering	604	175
DRR - Document Recognition and Retrieval	107	161
RIAO - Recherche d'Information Assistee par Ordinateur	105	158
IIIX - Information Interaction in Context	50	144
AMR - Adaptive Multimedia Retrieval	70	139
IRP2PN - Information Retrieval In Peer-To-Peer Networks	5	80
CORIA - Conference en Recherche d'Infomations et Applications	247	43
IWRIDL - International Workshop On Research Issues in Digital Libraries	17	14
DL - Digital Libraries	4	12
