Conferences	Publications	Citation
SIGIR - Research and Development in Information Retrieval	2717	72116
CIKM - International Conference on Information and Knowledge Management	2636	28621
TREC - Text REtrieval Conference	1433	23782
JCDL - ACM/IEEE Joint Conference on Digital Libraries	1269	7203
DL - Digital Libraries	351	6546
ECDL - European Conference on Digital Libraries	841	4765
CLEF - Cross-Language Evaluation Forum	1059	4087
RIAO - Recherche d'Information Assistee par Ordinateur	574	3551
ECIR - European Colloquium on IR Research	686	3548
Multimedia Information Retrieval	248	2847
SPIRE - String Processing and Information Retrieval	444	2806
Dublin Core Conference	65	1928
INEX - INitiative for the Evaluation of XML Retrieval	305	1851
TRECVID - TREC Video Retrieval Evaluation	137	1352
ICADL - International Conference on Asian Digital Libraries	604	1037
DRR - Document Recognition and Retrieval	218	980
MIE - Medical Informatics Europe	506	610
AIRS - Asia Information Retrieval Symposium	344	539
AMR - Adaptive Multimedia Retrieval	114	462
IRAL - International Workshop on Information Retrieval with Asia Languages	73	457
ICETET - International Conference on Emerging Trends in Engineering & Technology	712	376
HIM - Hypertext, Information Retrieval, Multimedia	125	292
COLIS - Conference on Conceptions of Library and Information Sciences	66	263
RIAO - Recherche dInformation Assistée par Ordinateur	17	250
ADCS - Australasian Document Computing Symposium - ADCS	53	183
MIRA - Multimedia Information Retrieval Applications	30	179
Information Retrieval	55	176
CISSE - International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering	604	175
ESSIR - European Summer School in Information Retrieval	13	146
IIIX - Information Interaction in Context	50	144
IRP2PN - Information Retrieval In Peer-To-Peer Networks	11	113
ISIWI - Internationales Symposium für Informationswissenschaft	137	110
IR Workshop	1	98
CORIA - Conference en Recherche d'Infomations et Applications	293	85
Networked Information Retrieval	11	70
New Developments in Digital Libraries	34	68
Current Trends in SNePS - Semantic Network Processing System	13	31
ELSNET Summer School	8	15
IWRIDL - International Workshop On Research Issues in Digital Libraries	17	14
IuK - Information and Communication of the Learned Societies in Germany	47	4
CAW - Computer Architecture Workshop	2	4
