Journals	Publications	Citation
ISCI - Information Sciences	2016	16483
JASIS - Journal of The American Society for Information Science and Technology	1247	7064
IPM - Information Processing and Management	642	3985
IPL - Information Processing Letters	1354	3221
INFFUS - Information Fusion	290	1766
TOIS - ACM Transactions on Information Systems	182	1174
IR - Information Retrieval	205	953
Sigir Forum	249	827
The Electronic Library	363	814
DLIB - D-lib Magazine	246	736
JODL - International Journal on Digital Libraries	83	688
IJITDM - International Journal of Information Technology and Decision Making	239	684
FTIR - Foundations and Trends in Information Retrieval	17	507
LIBT - Library Trends	438	314
Applied Ontology	74	295
