Journals	Publications	Citation
IPL - Information Processing Letters	7044	62746
ISCI - Information Sciences	5418	50371
JASIS - Journal of The American Society for Information Science and Technology	3216	41545
TOIS - ACM Transactions on Information Systems	661	35285
IPM - Information Processing and Management	3344	33360
Sigir Forum	1189	12919
DLIB - D-lib Magazine	1045	7732
IR - Information Retrieval	482	6151
INFFUS - Information Fusion	567	5617
LIBT - Library Trends	1126	4571
JODL - International Journal on Digital Libraries	269	4126
The Electronic Library	1495	3359
IJITDM - International Journal of Information Technology and Decision Making	403	1358
Applied Ontology	91	857
FTIR - Foundations and Trends in Information Retrieval	17	507
TGIS - Transactions in Gis	2	27
