Conferences	Publications	Citation
INFOCOM - IEEE INFOCOM	2562	23340
ICC - IEEE International Conference on Communications	3600	15312
SIGCOMM - ACM SIGCOMM Conference	367	9057
MOBICOM - Mobile Computing and Networking	487	7881
PIMRC - IEEE International Symposium on Personal, Indoor and Mobile Radio Communications	3653	5976
IPSN - Information Processing in Sensor Networks	533	4970
SenSys - Conference On Embedded Networked Sensor Systems	354	4400
MobiHoc - Mobile Ad Hoc Networking and Computing	230	4163
AINA - Advanced Information Networking and Applications	2558	4040
NSDI - Networked Systems Design and Implementation	203	4039
IEEE International Conference on Pervasive Computing and Communications	1169	3734
IMC - Internet Measurement Conference	194	3529
MobiSys - International Conference on Mobile Systems, Applications, and Services	159	2816
SECON - Sensor and Ad Hoc Communications and Networks	434	2652
SIGMETRICS - Measurement and Modeling of Computer Systems	221	2642
UbiComp(HUC) - Ubiquitous Computing/Handheld and Ubiquitous Computing	266	2279
IWCMC - International Conference on Wireless Communications and Mobile Computing	1476	2085
CoNEXT - Conference on Emerging Network Experiment and Technology	268	1710
WIOPT - Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks	509	1689
LCN - IEEE Conference on Local Computer Networks	1128	1680
ICNP - International Conference on Network Protocols	244	1594
ISCC - International Symposium on Computers and Communications	1137	1505
ICCCN - International Conference on Computer Communications and Networks	1003	1462
Pervasive Computing	139	1382
MSWiM - International Workshop on Modeling Analysis and Simulation of Wireless and Mobile Systems	393	1346
Networking - Networking	510	1339
MDM - Mobile Data Management	477	1303
ICNSC - International Conference on Networking, Sensing and Control	1192	1201
AICT - Advanced Industrial Conference on Telecommunications	494	1191
ICDCS(Workshop) - International Conference on Distributed Computing Systems	489	1142
European Workshop on Wireless Sensor Networks	128	1108
SAINT - Symposium on Applications and the Internet	564	1070
BROADNETS - International Conference on Broadband Networks	989	1044
Information Theory and Applications	418	1033
ISICT - International Symposium on Information and Communication Technologies	1363	998
MOBIQUITOUS - International Conference on Mobile and Ubiquitous Systems: Networking and Services	315	947
IWQoS - International Workshop on Quality of Service	243	934
DCOSS - Distributed Computing in Sensor Systems	156	911
Integrated Network Management	443	840
EUC - Embedded and Ubiquitous Computing	740	834
ANCS - Architecture for Networking and Communications Systems	150	827
SUTC - Sensor Networks, Ubiquitous, and Trustworthy Computing	365	800
NCA - Network Computing and Applications	298	752
BSN - Wearable and Implantable Body Sensor Networks	233	744
ICNS - International Conference on Networking and Services	448	734
UIC - Ubiquitous Intelligence and Computing	381	728
VALUETOOLS - Performance Evaluation Methodologies and Tools	152	720
MASCOTS - Modeling, Analysis, and Simulation On Computer and Telecommunication Systems	360	719
CEAS - Conference on Email and Anti-Spam	88	692
APSCC - Asia-Pacific Services Computing Conference	709	661
Network Security	112	644
MUE - Multimedia and Ubiquitous Engineering	497	633
Policies for Distributed Systems and Networks	218	633
Passive and Active Network Measurement	131	612
CNSR - Conference on Communication Networks and Services Research	383	526
Network and System Support for Games	97	512
ICSNC - International Conference on Systems and Networks Communications	341	495
NOSSDAV - Network and Operating System Support for Digital Audio and Video	105	489
ICN - International Conference on Networking	364	488
ICMB - International Conference on Mobile Business	258	481
WONS - Wireless on Demand Network Systems and Service	171	475
International Zurich Seminar on Digital Communications	90	474
TRIDENTCOM - Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities	178	470
VTC - Vehicular Technology Conference	51	468
ICWMC - International Conference on Wireless and Mobile Communications	414	467
MSN - Mobile Sensor Networks	395	456
ICAS - International Conference on Autonomic and Autonomous Systems	192	456
WMCSA - Workshop on Mobile Computing Systems and Applications	74	450
ICPS - International Conference on Pervasive Services	125	447
FGCN - Future Generation Communication and Networking	451	435
FORTE - Formal Techniques for Networked and Distributed Systems	118	417
ICCC - International Conference on Computer Communication	1208	405
NCM - Networked Computing and Advanced Information Management	814	401
SCN - Security and Cryptography for Networks	84	393
ICETET - International Conference on Emerging Trends in Engineering & Technology	712	376
WICON - International Wireless Internet Conference	80	371
LOCA - Location- and Context-Awareness	54	369
IPCCC - International Performance, Computing, and Communications Conference	93	365
WASA - Wireless Algorithms, Systems, and Applications	263	360
IPTPS - Peer-to-Peer Systems	13	356
TestCom - IFIP International Conference on Testing of Communicating Systems	108	347
ICT - International Conference on Telecommunications	631	342
ESAS - European Workshop on Security in Ad-hoc and Sensor Networks	35	338
PETRA - International Conference on Pervasive Technologies Related to Assistive Environments	246	337
EmNets - Embedded Networked Sensors	25	328
MOBIWAC - ACM International Workshop on Mobility Management and Wireless Access	111	326
ONDM - Optical Network Design and Modelling	190	324
ICOIN - International Conference on Information Networking	482	315
ICDCN - International Conference of Distributed Computing and Networking	259	294
SASN - workshop on security of ad hoc and sensor networks	18	292
iTrust	38	285
NEW2AN - Next Generation Teletraffic and Wired/Wireless Advanced Networking	199	280
ICUIMC - International Conference on Ubiquitous Information Management and Communication	337	277
Ad-Hoc Networks and Wireless	151	277
ICUMT - Ultra Modern Telecommunications	548	273
ITC - International Teletraffic Congress	104	273
NBiS - Network-Based Information Systems	384	267
WWIC - Wired/Wireless Internet Communications	129	253
PE-WASUN - Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks	101	244
APNOMS - Asia-Pacific Network Operations and Management Symposium	304	223
