Journals	Publications	Citation
TWC - IEEE Transactions on Wireless Communications	3497	27049
JSAC - IEEE Journal on Selected Areas in Communications	1449	18410
TCOM - IEEE Transactions on Communications	2460	11881
IEEE Commun. Mag. - IEEE Communications Magazine	1824	11002
IEICE - Ieice Transactions	8846	9541
TON - IEEE/ACM Transactions on Networking	1489	9221
TMC - IEEE Transactions on Mobile Computing	893	8608
COMCOM - Computer Communications	1782	7709
IEEE Commun. Lett. - IEEE Communications Letters	2416	7602
IEEE Wireless Communications	580	4102
FGCS - Future Generation Computer Systems	692	4097
CCR - Computer Communication Review	623	3901
Ad Hoc Networks	498	3689
JCMC - Journal of Computer-mediated Communication	504	3569
IEEE Trans. on Broadcast. - IEEE Transactions on Broadcasting	541	2958
COMSUR - IEEE Communications Surveys and Tutorials	213	2558
MONET - Mobile Networks and Applications	338	2499
WINET - Wireless Networks	518	2393
NETWORK - IEEE Network	364	2355
TOSN - ACM Transactions on Sensor Networks	212	2274
TR - IEEE Transactions on Reliability	562	1954
Wireless Communications and Mobile Computing	717	1911
JNCA - Journal of Network and Computer Applications	509	1415
Networks	321	1147
QUESTA - Queueing Systems - Theory and Applications	366	1138
IJSNet - International Journal of Sensor Networks	211	1050
MCCR - Mobile Computing and Communications Review	229	1012
JCM - Journal of Communications	297	998
SIGMETRICS - Sigmetrics Performance Evaluation Review	663	779
TELSYS - Telecommunication Systems	367	690
IJMC - International Journal of Mobile Communications	215	591
Int. J. Communication Systems - International Journal of Communication Systems	366	573
IJAHUC - International Journal of Ad Hoc and Ubiquitous Computing	158	560
JNW - Journal of Networks	339	557
AdT - Annales Des Télécommunications	251	467
IJNM - International Journal of Network Management	184	405
APJOR - Asia-pacific Journal of Operational Research	230	363
IJDSN - International Journal of Distributed Sensor Networks	211	335
Optical Switching and Networking	150	303
IEEE Trans. Profess. Commun. - IEEE Transactions on Professional Communication	283	302
ETT - European Transactions on Telecommunications	385	293
IJWIN - International Journal of Wireless Information Networks	125	280
AHSWN - Ad Hoc & Sensor Wireless Networks	72	252
IJWMC - International Journal of Wireless and Mobile Computing	108	237
Security and Communication Networks	247	231
JOIN - Journal of Interconnection Networks	117	224
Networker	171	204
Mobile Information Systems	94	191
IMA MCI - Ima Journal of Mathematical Control and Information	137	182
JHSN - Journal of High Speed Networks	72	157
IJNVO - International Journal of Networking and Virtual Organisations	180	150
IJAMC - International Journal of Advanced Media and Communication	105	135
LOBJET - Logiciel, Base De Données, Réseaux / Software, Databases, Networks	51	121
IJRFITA - International Journal of Radio Frequency Identification Technology and Applications	43	119
IJHPCN - International Journal of High Performance Computing and Networking	106	114
Transactions on Data Hiding and Multimedia Security	32	101
IJICT - International Journal of Information and Communication Technology	98	88
FTWEB - Foundations and Trends in Web Science	5	83
PIK - Praxis Der Informationsverarbeitung Und Kommunikation	198	73
JCN - Journal of Communications and Networks	160	70
Reviews of Human Factors and Ergonomics	22	24
IEEE Pers. Commun. - IEEE Personal Communications	7	15
CN - Computer Networks and Isdn Systems	4	11
RML - Reports on Mathematical Logic	12	10
EN - Electronic Networking: Research, Applications and Policy	1	2
ISM - Information Systems Management	7	1
IT - It Professional	1	0
