Journals	Publications	Citation
TCOM - IEEE Transactions on Communications	12784	244183
JSAC - IEEE Journal on Selected Areas in Communications	5893	193324
CCR - Computer Communication Review	2867	112585
IEEE Commun. Mag. - IEEE Communications Magazine	5691	104947
TON - IEEE/ACM Transactions on Networking	2733	98764
TWC - IEEE Transactions on Wireless Communications	4344	53332
CN - Computer Networks and Isdn Systems	2049	45346
TR - IEEE Transactions on Reliability	5108	43317
IEEE Commun. Lett. - IEEE Communications Letters	4060	38802
SIGMETRICS - Sigmetrics Performance Evaluation Review	2956	35683
NETWORK - IEEE Network	1196	31372
COMCOM - Computer Communications	6016	30034
WINET - Wireless Networks	1265	27808
MCCR - Mobile Computing and Communications Review	615	26655
IEEE Pers. Commun. - IEEE Personal Communications	410	25802
Networks	1844	24344
TMC - IEEE Transactions on Mobile Computing	1096	22580
QUESTA - Queueing Systems - Theory and Applications	1806	17889
IEICE - Ieice Transactions	10988	17021
FGCS - Future Generation Computer Systems	2130	16507
IEEE Wireless Communications	885	16363
MONET - Mobile Networks and Applications	1082	16208
JCMC - Journal of Computer-mediated Communication	820	14358
Ad Hoc Networks	712	10959
IEEE Trans. on Broadcast. - IEEE Transactions on Broadcasting	1759	10622
ETT - European Transactions on Telecommunications	816	8123
COMSUR - IEEE Communications Surveys and Tutorials	309	7185
Wireless Communications and Mobile Computing	1042	7126
TELSYS - Telecommunication Systems	1554	6583
JNCA - Journal of Network and Computer Applications	829	4631
IEEE Trans. Profess. Commun. - IEEE Transactions on Professional Communication	1244	4193
JHSN - Journal of High Speed Networks	261	3566
Int. J. Communication Systems - International Journal of Communication Systems	1153	3203
IMA MCI - Ima Journal of Mathematical Control and Information	771	3107
TOSN - ACM Transactions on Sensor Networks	243	3101
AdT - Annales Des Télécommunications	3824	3057
IJWIN - International Journal of Wireless Information Networks	443	2658
IJNM - International Journal of Network Management	881	2205
JCM - Journal of Communications	351	1927
IJMC - International Journal of Mobile Communications	306	1528
JNW - Journal of Networks	357	1411
JCN - Journal of Communications and Networks	242	1407
IJSNet - International Journal of Sensor Networks	215	1064
AHSWN - Ad Hoc & Sensor Wireless Networks	96	1053
JOIN - Journal of Interconnection Networks	263	979
Networker	530	947
IJAHUC - International Journal of Ad Hoc and Ubiquitous Computing	169	660
IJDSN - International Journal of Distributed Sensor Networks	232	611
ACM Sigcsim Installation Management Review	75	595
APJOR - Asia-pacific Journal of Operational Research	246	562
PIK - Praxis Der Informationsverarbeitung Und Kommunikation	940	489
Optical Switching and Networking	188	460
EN - Electronic Networking: Research, Applications and Policy	8	448
LOBJET - Logiciel, Base De Données, Réseaux / Software, Databases, Networks	232	446
IJWMC - International Journal of Wireless and Mobile Computing	128	326
Mobile Information Systems	109	302
RML - Reports on Mathematical Logic	144	300
IJHPCN - International Journal of High Performance Computing and Networking	186	299
IJNVO - International Journal of Networking and Virtual Organisations	215	287
NIS - Networking and Information Systems Journal	57	249
Security and Communication Networks	247	231
IJAMC - International Journal of Advanced Media and Communication	110	148
IJICT - International Journal of Information and Communication Technology	111	125
IJRFITA - International Journal of Radio Frequency Identification Technology and Applications	43	119
Transactions on Data Hiding and Multimedia Security	32	101
FTWEB - Foundations and Trends in Web Science	5	83
Reviews of Human Factors and Ergonomics	28	73
Ire Transactions on Vehicular Communications	196	61
ISM - Information Systems Management	11	12
Transactions of The Ire Professional Group on Communications Systems	93	5
IT - It Professional	1	0
