Conferences	Publications	Citation
SODA - ACM-SIAM Symposium on Discrete Algorithms	716	6718
STOC - ACM Symposium on Theory of Computing	347	5259
ICALP - International Colloquium on Automata, Languages and Programming	497	2986
FOCS - IEEE Symposium on Foundations of Computer Science	258	2878
ICCS - International Conference on Computational Science	1795	2723
CADE - Conference on Automated Deduction	254	1786
LICS - Logic in Computer Science	268	1745
ESA - European Symposium on Algorithms	299	1506
SOCG - Symposium on Computational Geometry	248	1368
STACS - Symposium on Theoretical Aspects of Computer Science	226	1216
COLT - Computational Learning Theory	192	1149
ISSAC - International Symposium on Symbolic and Algebraic Computation	274	1005
CONCUR - International Conference on Concurrency Theory	177	971
Birthday ...	548	908
MFCS - Mathematical Foundations of Computer Science	274	886
APPROX - Approximation Algorithms for Combinatorial Optimization	208	875
SOFSEM - Conference on Current Trends in Theory and Practice of Informatics	392	868
ISAAC - International Symposium on Algorithms and Computation	359	800
WINE - Workshop on Internet and Network Economics	258	768
LPAR(RCLP) - Logic Programming and Automated Reasoning/Russian Conference on Logic Programming	193	752
CSL - Computer Science Logic	188	679
LATIN - Latin American Theoretical INformatics	179	671
CPM - Combinatorial Pattern Matching	155	631
WEA - Workshop on Experimental and Efficient Algorithms	180	619
ICM - International Congress of Mathematicans	35	586
FSTTCS - Foundations of Software Technology and Theoretical Computer Science	175	570
CIE - Conference on Computability in Europe	301	535
DLT - Developments in Language Theory	187	510
TPHOLs - Theorem Proving in Higher Order Logics	106	504
ACSD - Int. Conf. on Application of Concurrency to System Design	155	502
COCOON - Computing and Combinatorics	256	499
WSFM - Web Services and Formal Methods	65	486
TAMC - Theory and Applications of Models of Computation	327	479
GG - Graph Grammars Workshops	124	470
CSR - Computer Science Symposium in Russia	205	465
IPCO - Integer Programming and Combinatorial Optimization	102	463
GD - Symposium on Graph Drawing	201	459
APN - Application and Theory of Petri Nets	119	437
WG - Workshop on Graph-Theoretic Concepts in Computer Science	140	433
SIROCCO - Colloquium on Structural Information & Communication Complexity	110	408
IWPEC - International Workshop on Parameterized and Exact Computation	84	398
ICYCS - International Conference for Young Computer Scientists	535	393
ALENEX - Algorithm Engineering and Experimentation	59	393
EUSFLAT - European Society for Fuzzy Logic and Technology	466	388
SYNASC - Symbolic and Numeric Algorithms for Scientific Computing	450	363
ICTAC - International Colloquium on Theoretical Aspects of Computing	141	363
CIAA(WIA) - Workshop on Implementing Automata/Conference on Implementation and Application of Automata	159	357
Workshop on Membrane Computing	155	333
AAIM - Algorithmic Applications in Management	165	329
WADS - Workshop on Algorithms and Data Structures	90	303
SWAT - Scandinavian Workshop on Algorithm Theory	99	301
CCCG - Canadian Conference on Computational Geometry	278	295
IMR - International Meshing Roundtable	63	291
Mathematical Knowledge Management	94	290
DNA - DNA Computing	106	285
ASIAN - Asian Computing Science Conference	68	258
ALT - Algorithmic Learning Theory	147	256
COCOA - Conference on Combinatorial Optimization and Applications	189	226
FCT - Fundamentals of Computation Theory	71	226
WAOA - Workshop on Approximation and Online Algorithms	100	223
IFIP TCS - IFIP International Conference on Theoretical Computer Science	81	223
AAECC - Applied Algebra, Algebraic Algorithms and Error-Correcting Codes	103	211
IMCSIT - International Multiconference on Computer Science and Information Technology - IMCSIT	370	206
RelMiCS - Relational Methods in Computer Science	103	206
Types for Proofs and Programs	52	199
UC - Unconventional Computing	128	194
ISVD - International Symposium on Voronoi Diagrams in Science and Engineering	137	192
TLCA - Typed Lambda Calculus and Applications	54	190
CALCO - Conference on Algebra and Coalgebra in Computer Science	63	181
WOLLIC - Workshop on Logic, Language, Information and Computation	126	172
ICMS - International Congress on Mathematical Software	100	165
WAW - Workshop on Algorithms and Models for the Web-Graph	53	162
LFCS - Logical Foundations of Computer Science	63	155
SAGT - Algorithmic Game Theory	81	152
ESCAPE - Combinatorics, Algorithms, Probabilistic and Experimental Methodologies	46	149
CIAC - Italian Conference on Algorithms and Complexity	65	142
ASM - Workshops on Abstract State Machines	94	137
FAW - Frontiers in Algorithmics	132	128
APVIS - Asia Pacific Symposium on Information Visualisation	37	128
GTITC - General Theory of Information Transfer and Combinatorics	82	126
SETA - Sequences and Their Applications	108	119
CATS - Computing: The Australasian Theory Symposium	55	115
WALCOM - Workshop on Algorithms and Computation	116	97
CASC - Computer Algebra in Scientific Computing	120	91
SLS - Stochastic Local Search Algorithms	38	87
ASMTA - Analytical and Stochastic Modeling Techniques and Applications	79	74
WADT - Workshop on Algebraic Development Techniques	33	71
MCU - Machines, Computations, and Universality	27	64
ACID - Algorithms and Complexity in Durham	21	63
STRINGOLOGY - Prague Stringology Conference	58	60
CCA - Computability and Complexity in Analysis	29	60
FUN - Fun with Algorithms	59	59
European Workshop on Computational Geometry	21	55
CAAN - Combinatorial and Algorithmic Aspects of Networking	25	51
COGSYS - Cognitive Systems	10	48
SAGA - Stochastic Algorithms	32	47
EPK - Geschäftsprozessmanagement mit Ereignisgesteuerten Prozessketten	19	43
TACS - Theoretical Aspects of Computer Software	2	43
Imperial College Workshops	3	36
ADG - Automated Deduction in Geometry	26	33
1 2 
