Conferences	Publications	Citation
STOC - ACM Symposium on Theory of Computing	2884	121268
FOCS - IEEE Symposium on Foundations of Computer Science	3086	107338
SODA - ACM-SIAM Symposium on Discrete Algorithms	2333	50906
ICALP - International Colloquium on Automata, Languages and Programming	2510	37224
LICS - Logic in Computer Science	1345	36850
SOCG - Symposium on Computational Geometry	1310	27235
COLT - Computational Learning Theory	937	20825
CONCUR - International Conference on Concurrency Theory	900	17972
CADE - Conference on Automated Deduction	1188	17233
STACS - Symposium on Theoretical Aspects of Computer Science	1368	15408
ESA - European Symposium on Algorithms	1010	12259
MFCS - Mathematical Foundations of Computer Science	1958	11859
FSTTCS - Foundations of Software Technology and Theoretical Computer Science	932	11516
ISSAC - International Symposium on Symbolic and Algebraic Computation	1198	9759
APN - Application and Theory of Petri Nets	774	8730
ICM - International Congress of Mathematicans	450	8505
ICCS - International Conference on Computational Science	3881	8467
GD - Symposium on Graph Drawing	820	8339
Birthday ...	1597	8068
CoCo - Structure in Complexity Theory Conference	534	8052
ISAAC - International Symposium on Algorithms and Computation	1226	6706
CSL - Computer Science Logic	855	6635
CPM - Combinatorial Pattern Matching	530	6274
IPCO - Integer Programming and Combinatorial Optimization	488	5832
WG - Workshop on Graph-Theoretic Concepts in Computer Science	817	5550
TPHOLs - Theorem Proving in Higher Order Logics	569	5373
COCOON - Computing and Combinatorics	905	4824
WADS - Workshop on Algorithms and Data Structures	499	4793
DIMACS Series in Discrete Mathematics and Theoretical Computer Science	158	4650
CCCG - Canadian Conference on Computational Geometry	974	4648
EuroCOLT - European Conference on Computational Learning Theory	84	4617
ALT - Algorithmic Learning Theory	603	4139
LPAR(RCLP) - Logic Programming and Automated Reasoning/Russian Conference on Logic Programming	599	4046
FCT - Fundamentals of Computation Theory	848	3811
IMR - International Meshing Roundtable	343	3521
SWAT - Scandinavian Workshop on Algorithm Theory	440	3455
GG - Graph Grammars Workshops	371	3426
LATIN - Latin American Theoretical INformatics	462	3381
TACS - Theoretical Aspects of Computer Software	153	3367
Logic of Programs	130	3347
ASM - Workshops on Abstract State Machines	247	3326
TLCA - Typed Lambda Calculus and Applications	262	3237
AAECC - Applied Algebra, Algebraic Algorithms and Error-Correcting Codes	566	2835
APPROX - Approximation Algorithms for Combinatorial Optimization	348	2825
CHARME - Conference on Correct Hardware Design and Verification Methods	220	2701
Imperial College Workshops	96	2610
DNA - DNA Computing	295	2439
Types for Proofs and Programs	231	2398
SOFSEM - Conference on Current Trends in Theory and Practice of Informatics	780	2374
ISTCS - Israel Symposium on Theory of Computing Systems	151	2322
RANDOM - Randomization and Approximation Techniques in Computer Science	158	2151
Logic Colloquium	124	2117
TCS - Theoretical Computer Science	149	2079
SIROCCO - Colloquium on Structural Information & Communication Complexity	383	2059
ASIAN - Asian Computing Science Conference	414	2035
ALENEX - Algorithm Engineering and Experimentation	194	1989
CAAP - Colloquium on Trees in Algebra and Programming	233	1908
CIAA(WIA) - Workshop on Implementing Automata/Conference on Implementation and Application of Automata	441	1845
IFIP TCS - IFIP International Conference on Theoretical Computer Science	226	1767
DLT - Developments in Language Theory	532	1642
ACSD - Int. Conf. on Application of Concurrency to System Design	307	1465
Category Theory and Computer Science	127	1403
WINE - Workshop on Internet and Network Economics	364	1305
WEA - Workshop on Experimental and Efficient Algorithms	302	1303
RelMiCS - Relational Methods in Computer Science	300	1289
Mathematical Foundations of Programming Semantics	152	1275
Aussois - Combinatorial Optimization	19	1236
CIE - Conference on Computability in Europe	385	1173
WADT - Workshop on Algebraic Development Techniques	174	1162
WAE - Workshop on Algorithmic Engineering	90	1118
LFCS - Logical Foundations of Computer Science	201	1025
CIAC - Italian Conference on Algorithms and Complexity	170	1024
EUSFLAT - European Society for Fuzzy Logic and Technology	1094	1007
Workshop on Membrane Computing	239	945
Mathematical Knowledge Management	173	870
AWOC - Aegean Workshop on Computing	76	838
WACG - Workshop on Applied Computational Geometry	25	821
ICTAC - International Colloquium on Theoretical Aspects of Computing	229	817
TAGT - Theory and Application of Graph Transformations	80	737
WAOA - Workshop on Approximation and Online Algorithms	173	692
ISA - International Symposium on Algorithms	68	678
APVIS - Asia Pacific Symposium on Information Visualisation	117	649
IWPEC - International Workshop on Parameterized and Exact Computation	113	646
SYNASC - Symbolic and Numeric Algorithms for Scientific Computing	532	622
Category Theory	74	598
ICTCS - Italian Conference on Theoretical Computer Science	122	597
LITP Spring School on Theoretical Computer Science	85	580
WAW - Workshop on Algorithms and Models for the Web-Graph	81	541
SAGA - Stochastic Algorithms	106	538
WMC/WMP - Workshop on Membrane Computing/Workshop on Multiset Processing	47	537
European Workshop on Computational Geometry	145	533
UC - Unconventional Computing	167	530
LCC - Logical and Computational Complexity	30	529
Banff Higher Order Workshop	7	526
QCQC - Quantum Computing and Quantum Communications	44	519
WSFM - Web Services and Formal Methods	66	488
TAMC - Theory and Applications of Models of Computation	329	484
JCDCG - Japanese Conference on Discrete and Computational Geometry	140	481
CSR - Computer Science Symposium in Russia	207	474
SETA - Sequences and Their Applications	152	473
