Journals	Publications	Citation
TIT - IEEE Transactions on Information Theory	14743	388035
Automatica	7981	134728
TCS - Theoretical Computer Science	10162	125872
SIAMCOMP - Siam Journal on Computing	3321	108307
IANDC - Information and Computation/information and Control	4349	86243
JCSS - Journal of Computer and System Sciences	2952	63596
JCT - Journal of Combinatorial Theory	6738	57909
DAM - Discrete Applied Mathematics	5512	44048
TR - IEEE Transactions on Reliability	5108	43317
TEC - IEEE Transactions on Evolutionary Computation	874	37381
ENTCS - Electronic Notes in Theoretical Computer Science	6046	35407
TOMS - ACM Transactions on Mathematical Software	1554	34890
Algorithmica	2188	31625
JAL - Journal of Algorithms	1531	31342
ACTA - Acta Informatica	1722	26312
JAT - Journal of Approximation Theory	4977	23632
INFORMS - Informs Journal on Computing	1041	22528
ORL - Operations Research Letters	2512	21956
EC - Evolutionary Computation	587	20839
Microelectronics Reliability	24614	20798
BIT - Bit Numerical Mathematics	2789	19760
Journal of Global Optimization	1814	19380
CONCURRENCY - Concurrency and Computation: Practice and Experience	1680	18436
SIAMDM - Siam Journal on Discrete Mathematics	1698	18072
MST - Theory of Computing Systems / Mathematical Systems Theory	1824	15608
RSA - Random Structures and Algorithms	1228	14401
FUIN - Fundamenta Informaticae	2215	14149
LOGCOM - Journal of Logic and Computation	1062	13828
APAL - Annals of Pure and Applied Logic	2179	13798
ECCC - Electronic Colloquium on Computational Complexity	1489	13192
EJC - European Journal of Combinatorics	2376	12247
SCL - Systems & Control Letters	361	12234
COMGEO - Computational Geometry: Theory and Applications	1066	11007
SIGACT - Sigact News	1428	10065
Journal of Complexity	1135	9688
Electr. J. Comb. - The Electronic Journal of Combinatorics	1295	9625
MSCS - Mathematical Structures in Computer Science	752	8946
NGC - New Generation Computing	773	8829
Numerical Algorithms	1768	8289
Cybernetics and Systems	1594	7839
MA - Journal of Multivariate Analysis	349	7434
ASC - Applied Soft Computing	1418	7051
CPC - Combinatorics, Probability & Computing	915	6786
IJCGA - International Journal of Computational Geometry and Applications	599	6135
IJUFKS - International Journal of Uncertainty, Fuzziness and Knowledge-based Systems	839	6026
Microprocessors and Microsystems	5804	5817
MLQ - Mathematical Logic Quarterly	2701	5673
IJFCS - International Journal of Foundations of Computer Science	1024	5567
TOCL - ACM Transactions on Computational Logic	360	5415
DEDS - Discrete Event Dynamic Systems	367	4831
CC - Computational Complexity	379	4796
Arch. Math. Log. - Archive for Mathematical Logic	1415	4577
ITA - Theoretical Informatics and Applications	940	4532
AAECC - Applicable Algebra in Engineering, Communication and Computing	669	4347
JCO - Journal of Combinatorial Optimization	865	4278
IGPL - Logic Journal of The Igpl / Bulletin of The Igpl	727	4149
ARSCOM - Ars Combinatoria	1489	3980
JOLLI - Journal of Logic, Language and Information	649	3705
Order - A Journal on The Theory of Ordered Sets and Its Applications	966	3306
IJAC - International Journal of Algebra and Computation	680	3286
JANCL - Journal of Applied Non-classical Logics	603	3011
NC - Natural Computing	385	3008
ACS - Applied Categorical Structures	693	2938
JDA - Journal of Discrete Algorithms	439	2842
TALG - ACM Transactions on Algorithms	480	2699
JGAA - Journal of Graph Algorithms and Applications	219	2140
JEA - ACM Journal of Experimental Algorithms	394	2040
PerCom - Pervasive and Mobile Computing	323	1827
ACTAC - Acta Cybernetica	684	1792
Algol Bulletin	350	1495
ACR - Advances in Computing Research	39	1353
Optimization Letters	413	1285
Discrete Optimization	297	1155
LMCS - Logical Methods in Computer Science	236	1121
CMOT - Computational & Mathematical Organization Theory	100	1062
DMTCS - Discrete Mathematics & Theoretical Computer Science	302	1031
JMMA - Journal of Mathematical Modelling and Algorithms	284	981
Theory of Computing	79	815
CJTCS - Chicago Journal of Theoretical Computer Science	227	811
FTNET - Foundations and Trends in Networking	13	705
JMM - Journal of Mobile Multimedia	149	601
JAMDS - Journal of Applied Mathematics and Decision Sciences	243	407
FTTCS - Foundations and Trends in Theoretical Computer Science	24	349
JIKM - Journal of Information & Knowledge Management	266	338
JTAER - Journal of Theoretical and Applied Electronic Commerce Research	139	333
FFA - Finite Fields and Their Applications	65	143
AOR - Algorithmic Operations Research	69	94
CYS - Computación Y Sistemas	39	58
ACM Communications in Computer Algebra	222	55
JOCN - Journal of Cognitive Neuroscience	3	50
Annals - Annals of Operations Research	14	45
FTSTO - Foundations and Trends in Stochastic Systems	4	40
TOCT - ACM Transactions on Computation Theory	26	32
ENDM - Electronic Notes in Discrete Mathematics	29	20
Synthese	1	0
