Sigla,Índice-­‐H,Estrato
3DIM,29,B1
3DUI,18,B2
3PGCIC,4,B4
AAAI,93,A1
AAECC,17,B2
AAIM,14,B3
AAIP,3,B5
AAMAS,84,A1
ABiALS,14,B3
ABS,5,B4
ABZ,18,B2
AC,9,B4
ACC,76,A1
ACE,21,B2
ACE_A,30,B1
ACHI,11,B3
ACiD,6,B4
ACII,24,B1
ACIIDS,7,B4
ACIL,9,B4
ACIS-­‐ICIS,15,B3
ACIVS,18,B2
ACL,110,A1
ACL2,12,B3
ACMC,9,B4
ACNS,34,B1
ACOM,3,B5
ACRI,20,B2
ACSAC,63,A1
ACSD,23,B1
Ada-­‐Europe,18,B2
ADBIS,24,B1
ADC,32,B1
AdCom,12,B3
ADHOC-­‐NOW,22,B1
ADHOCNETS,2,B5
ADMA,18,B2
ADMI,3,B5
ADPRL,13,B3
ADS,3,B5
ADT,7,B4
AEM,6,B4
AES-­‐Brasil,2,B5
AFRICACRYPT,15,B3
AGI,9,B4
Agile,26,B1
AGILE_A,10,B3
AGO,2,B5
AGS,6,B4
AI,24,B1
AI*IA,15,B3
AIA,6,B4
AIAI,10,B4
AICCSA,23,B1
AICT,22,B1
AIED,29,B1
AIED_A,3,B5
AIIDE,19,B2
AIME,19,B2
AiML,15,B3
AIMS,9,B4
AIMSA,16,B2
AINA,39,A2
AIRS,14,B3
AIS,2,B5
AISAT,2,B5
AISC,13,B3
AISec,9,B4
AISM,8,B4
ALAMAS,3,B5
ALENEX,27,B1
ALG,22,B1
AlgOR,8,B4
ALGOSENSORS,15,B3
ALIFE,6,B4
ALIFE_A,19,B2
ALIO/EURO,3,B5
ALPIT,7,B4
ALT,24,B1
ALTA,5,B4
AMAI,15,B3
AMAS-­‐BT,1,B5
AMAST,27,B1
AMCIS,32,B1
AMCS,2,B5
AMIA,39,A2
AMINING,6,B4
AMS,9,B4
AMSTA,13,B3
AMTA,4,B4
AMW,5,B4
ANALCO,8,B4
ANCS,25,B1
ANDESCON,4,B4
ANIREM,1,B5
ANNPR,8,B4
ANPPOM,1,B5
ANSS,28,B1
ANTS,27,B1
ANTS_A,10,B4
ANTS_C,6,B4
AOIS,8,B3
AOM,19,B2
AOSD,55,A1
AOSE,7,B3
APCIP,6,B4
APEID,3,B5
APGV,19,B2
APLAS,28,B1
APPROX,31,B1
APSCC,15,B3
APTC,1,B5
APWEB,20,B2
ARC,14,B3
ARCS,17,B2
ARES,27,B1
ArgMas,5,B4
ARM,7,B4
ArtAbilitation,2,B5
ARVLSI,9,B4
ASAMA,24,B1
ASAP,29,B1
ASE,55,A1
ASIACCS,32,B1
ASIACRYPT,69,A1
ASID,6,B4
